Gene = eya
index = 1698
Annotated 5SS: [11148 14071 18402 18709]
Annotated 3SS: [14023 16646 18463 18784]
SMsplice 5SS: [  528 18402 18709]
SMsplice 3SS: [16646 18463 18784]
top_k =  1000
Partition function (log Z): -1.2260407250705785

Sorted 5' Splice Sites (High to Low Probability):
Position 18402: 0.9962727613767296
Position 18709: 0.9891280594540838
Position 528: 0.9785985866551833
Position 14071: 0.3280647520044266
Position 3782: 0.2528510767412504
Position 3620: 0.16766447923361
Position 18978: 0.1384712916412962
Position 16949: 0.09529291309904969
Position 1603: 0.05708363112231083
Position 1105: 0.04996428176079857
Position 5013: 0.038094627164236367
Position 875: 0.035662088572998615
Position 5158: 0.026768466882359992
Position 14397: 0.024742637216063623
Position 1195: 0.019914402407904364
Position 14289: 0.01845413251990027
Position 4786: 0.015893064504475297
Position 13898: 0.015755812652627276
Position 2445: 0.009601721426975157
Position 3688: 0.009584307418117884
Position 2658: 0.009439338368650766
Position 3204: 0.008881856085023527
Position 2075: 0.008835801204730492
Position 6568: 0.008434428657430989
Position 289: 0.008021126159920703
Position 15102: 0.006861145413518974
Position 1607: 0.005575071985472281
Position 2460: 0.005491257217599349
Position 5699: 0.005360506855496533
Position 15131: 0.005142305839780088
Position 18729: 0.0046828881416160545
Position 287: 0.0038037478580070527
Position 14130: 0.0037040501358653853
Position 7040: 0.003192990665498199
Position 201: 0.003058312135706915
Position 667: 0.0028668000107388444
Position 2772: 0.002793370706527857
Position 14121: 0.0027929553495334315
Position 80: 0.0027393456685126942
Position 1457: 0.002302386451849534
Position 5428: 0.0022788175523912086
Position 3627: 0.0021654110643111813
Position 6879: 0.0021310351354739206
Position 14666: 0.0019733453366663437
Position 6939: 0.0019151880790624558
Position 832: 0.0015012684282018616
Position 18609: 0.0013261019642268083
Position 19041: 0.0013145660308727732
Position 2475: 0.0012688345743466845
Position 3359: 0.0012613079822322098
Position 19215: 0.0011931861530027651
Position 18713: 0.0011492300994045282
Position 479: 0.0011272588296898593
Position 845: 0.0011156654251885715
Position 577: 0.0011004564498847316
Position 1090: 0.001084833134464061
Position 17906: 0.0009815336249339084
Position 307: 0.0009620089188459371
Position 3270: 0.0009617824577293083
Position 776: 0.0007931522883052737
Position 19213: 0.0007681990079633302
Position 296: 0.0007653555526540331
Position 18694: 0.0006850350541898592
Position 19228: 0.0006179828428319624
Position 1414: 0.0005333822013812502
Position 19053: 0.0004923503354014828
Position 4584: 0.0004108412318456121
Position 3741: 0.00039490879166860005
Position 19084: 0.0003904141078934264
Position 11148: 0.00036719167958611877
Position 3643: 0.00035987279895109887
Position 4581: 0.00035113336967261804
Position 219: 0.0003304328766003932
Position 19045: 0.00027849769161559254
Position 19204: 0.00026460458940195345
Position 291: 0.00024619776283272567
Position 19387: 0.00022010043129619435
Position 2231: 0.00020914483399438557
Position 2704: 0.00020319336777642263
Position 293: 0.00019406877349832457
Position 19409: 0.00018945461403376465
Position 1157: 0.00017056210620175556
Position 19002: 0.0001358182689881802
Position 311: 0.00011395530856083716
Position 2688: 0.00010017456269787334
Position 19257: 9.29003569914322e-05
Position 18645: 8.416688990069787e-05
Position 19049: 7.843408543456425e-05
Position 19047: 7.540663009509028e-05
Position 1080: 7.317660442167786e-05
Position 19059: 6.973548229992546e-05
Position 868: 5.187381574071082e-05
Position 748: 4.93917074703112e-05
Position 863: 4.738914482196863e-05
Position 2249: 4.142422117397339e-05
Position 19351: 3.965518512095772e-05
Position 19207: 3.238201087716339e-05
Position 18995: 3.195085178183789e-05
Position 2146: 2.9925247587075762e-05
Position 1255: 2.4473964763008663e-05
Position 19150: 1.6535349406630785e-05
Position 571: 1.588723628281657e-05
Position 332: 1.5462377189248004e-05
Position 486: 1.4478945611670126e-05
Position 23: 1.4221637602655415e-05
Position 194: 1.3903641545289805e-05
Position 18844: 1.336444957671924e-05
Position 714: 1.1808176288024718e-05
Position 19185: 1.1067950151815527e-05
Position 1154: 1.0038568908270436e-05
Position 309: 8.233427545431246e-06
Position 19358: 7.167916214314714e-06
