Gene = GXIVsPLA2
index = 1178
Annotated 5SS: [214 452]
Annotated 3SS: [291 514]
SMsplice 5SS: [214 452]
SMsplice 3SS: [291 514]
top_k =  1000
Partition function (log Z): -5.220387047965782

Sorted 5' Splice Sites (High to Low Probability):
Position 452: 0.811704867369479
Position 214: 0.5850207073803166
Position 219: 0.1087643295771057
Position 233: 0.09232949698390952
Position 457: 0.08433529454789775
Position 476: 0.03328170118049578
Position 498: 0.029077156220088884
Position 244: 0.020363365631191874
Position 6: 0.008780780469127804
Position 454: 0.00734229804329302
Position 1031: 0.003093550434128198
Position 58: 0.002839891796922576
Position 890: 0.002566835088795927
Position 980: 0.00231269829492434
Position 1048: 0.0014107241436950451
Position 696: 0.001114381137738353
Position 145: 0.0006793733045676616
Position 996: 0.0005476861398487742
Position 1238: 0.0004445253174388187
Position 1010: 0.00039496297537311426
Position 708: 0.0002196350648145268
Position 1092: 0.00017535833324993272
Position 957: 0.00015326452854605609
Position 63: 0.0001437049804688552
Position 1269: 0.00012037061184891894
Position 358: 0.00011663901465995318
Position 1026: 9.78973848244905e-05
Position 254: 9.408898980975869e-05
Position 385: 9.213319011994506e-05
Position 902: 8.98550220135073e-05
Position 208: 7.845835808462493e-05
Position 675: 6.929946652675514e-05
Position 1017: 6.21821890660434e-05
Position 702: 4.802445155406505e-05
Position 46: 3.879690395092282e-05
Position 500: 2.6790359075415915e-05
Position 1024: 2.478342588410974e-05
Position 269: 2.4240585341290878e-05
Position 1127: 2.144569579000095e-05
Position 1035: 1.6726978642428508e-05
Position 1220: 1.322410399333858e-05
Position 1183: 1.1542810978714549e-05
Position 260: 8.213013311350295e-06
Position 502: 6.4706228933071285e-06
Position 1104: 5.242511642824939e-06
Position 1273: 5.14012469818833e-06
Position 423: 4.049775653500199e-06
Position 1217: 3.5198771504736954e-06
Position 1118: 3.313713268363753e-06
Position 329: 3.08588815449384e-06
Position 376: 2.846291684131482e-06
Position 1029: 2.473574726393055e-06
Position 1202: 1.946909703417664e-06
Position 29: 1.8784336546533832e-06
Position 129: 1.5374808717957608e-06
Position 165: 1.008642723361851e-06
Position 729: 3.9842496608326567e-07
Position 352: 1.0042309657621756e-08
Position 334: 7.334561221783507e-09
Position 563: 6.6484202274279345e-09
Position 336: 4.0685380837668095e-09
Position 566: 2.865203124032313e-09
Position 400: 2.4525703893604217e-09
Position 623: 1.923609410845068e-09
Position 526: 1.6985722239349054e-09
Position 537: 2.953765546520205e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 514: 0.8930570026299677
Position 291: 0.7507729324373412
Position 556: 0.0863319794246188
Position 310: 0.03098915578293474
Position 342: 0.007961995853370395
Position 58: 0.007077365386350699
Position 1104: 0.006976648181399652
Position 296: 0.002609822700220521
Position 1291: 0.0023198633038198514
Position 118: 0.002177438437237384
Position 1160: 0.002047954291892301
Position 1035: 0.0012948248796797342
Position 63: 0.0009378333366147334
Position 129: 0.0007724057250608343
Position 1051: 0.0004848720159950105
Position 187: 0.0004392620976840489
Position 352: 0.000397650066414414
Position 834: 0.0002231190938900758
Position 719: 0.0002080900307026598
Position 756: 0.00017529404661467904
Position 1317: 0.00014757196427774173
Position 384: 0.00011412180776362102
Position 318: 0.00011137137553420704
Position 765: 6.833085167451384e-05
Position 91: 5.967726007476233e-05
Position 537: 5.9066185065660015e-05
Position 1343: 5.681083069080805e-05
Position 521: 5.1427255942853026e-05
Position 884: 4.7917514576397066e-05
Position 587: 4.725521372594553e-05
Position 662: 2.8669440864294042e-05
Position 831: 2.191066618783407e-05
Position 423: 2.003299853839425e-05
Position 1232: 1.2937068030685387e-05
Position 1331: 1.167368516341394e-05
Position 488: 1.1196404816001115e-05
Position 609: 1.1191842932096014e-05
Position 962: 8.262400516861802e-06
Position 736: 7.325596490126547e-06
Position 236: 6.518964310092154e-06
Position 861: 5.840083989730188e-06
Position 144: 4.089407153919189e-06
Position 1269: 3.4645120540459824e-06
Position 939: 3.047741701174942e-06
Position 200: 2.8899397495856192e-06
Position 888: 2.6460814940352674e-06
Position 1123: 2.6361183378644e-06
Position 612: 1.7713017369612319e-06
Position 592: 1.580641421476034e-06
Position 531: 1.3795638014451793e-06
Position 957: 1.3648859329333486e-06
Position 208: 1.1382317993914118e-06
Position 905: 1.0540392311803129e-06
Position 218: 8.58399387533712e-07
Position 740: 8.229560484331066e-07
Position 248: 4.4593374786806907e-07
Position 451: 2.5451429157433754e-07
Position 254: 1.3223121271434896e-07
Position 445: 4.975365525798334e-08
Position 693: 4.042707181157518e-09
Position 729: 7.127792391862026e-10
Position 672: 3.4237074297565235e-10
Position 408: 2.514533578302867e-10
Position 581: 5.6858033553280206e-11
Position 708: 1.552252376719044e-11
Position 250: 2.208277465198705e-18
