Gene = NUCB1
index = 1307
Annotated 5SS: [388]
Annotated 3SS: [2726]
SMsplice 5SS: [388]
SMsplice 3SS: [2726]
top_k =  1000
Partition function (log Z): -4.619644291706185

Sorted 5' Splice Sites (High to Low Probability):
Position 388: 0.9889484215790486
Position 2601: 0.22008154880905645
Position 1418: 0.02784262244202941
Position 2415: 0.008955205274790538
Position 350: 0.008042852520903148
Position 2001: 0.00773607121290323
Position 592: 0.007433227011352616
Position 2646: 0.006368491189160016
Position 1585: 0.005962225586078418
Position 1308: 0.005446530385732125
Position 1960: 0.004534718535602256
Position 1855: 0.0040864336638902115
Position 1883: 0.0040222950021169815
Position 613: 0.003707279238078717
Position 1189: 0.0036629411668782277
Position 644: 0.0036545781806957504
Position 1332: 0.003331047181617952
Position 2212: 0.0032503750839411568
Position 392: 0.0027828910842926805
Position 2498: 0.002688260330786237
Position 2877: 0.0026678554621429587
Position 1255: 0.0020916684134675923
Position 686: 0.002048629590425884
Position 606: 0.0020420721616371536
Position 11: 0.002034514691411345
Position 2511: 0.001767597323253383
Position 1392: 0.0014286534271900342
Position 3792: 0.0013864210924509621
Position 641: 0.0012679570746266576
Position 2515: 0.0012222171930695786
Position 4253: 0.0010943208225167836
Position 3352: 0.001066498670371048
Position 756: 0.0010512634406261245
Position 650: 0.0008117023267758798
Position 2389: 0.0007526163615926646
Position 1515: 0.0007430042050026888
Position 4337: 0.000641611812474188
Position 36: 0.0005964775793971262
Position 631: 0.0005225364350112863
Position 1880: 0.0004536713964041201
Position 4137: 0.00041676627081761275
Position 148: 0.0003899396921281645
Position 1663: 0.0003878799278679306
Position 1055: 0.000386903910672733
Position 16: 0.00037887513630778557
Position 2015: 0.00036177328173340393
Position 2085: 0.00036130155611124783
Position 1604: 0.0003045694558860426
Position 534: 0.00030145931630049325
Position 2571: 0.0002458753926758362
Position 3002: 0.00023506592055730333
Position 109: 0.00021217339355130414
Position 3294: 0.00018970365099287795
Position 531: 0.00018883202604822458
Position 3749: 0.00018805757256557117
Position 1401: 0.00018512794801533967
Position 3423: 0.00016560537366523123
Position 1690: 0.0001652024588959338
Position 1167: 0.00015611791257008883
Position 2216: 0.00015445438976834745
Position 2017: 0.00015225183955568528
Position 1249: 0.00012654948980564239
Position 639: 0.00011522422741019374
Position 1790: 0.00011479508599467938
Position 2393: 0.00011255952864594263
Position 1888: 0.00010516207032493889
