Gene = Cbl
index = 1055
Annotated 5SS: [ 909 1860 2073 2260 2450]
Annotated 3SS: [1451 1947 2137 2317 4086]
SMsplice 5SS: [ 909 1860 2073 2260 2450]
SMsplice 3SS: [1451 1947 2137 2317 3825]
top_k =  1000
Partition function (log Z): 13.983431591939857

Sorted 5' Splice Sites (High to Low Probability):
Position 2260: 0.9997240746510397
Position 2073: 0.999401386951437
Position 909: 0.9869239094756851
Position 1860: 0.9613516490729204
Position 2450: 0.6945139217436048
Position 2546: 0.27438072512883943
Position 5832: 0.20221049579243658
Position 3756: 0.1964111128606356
Position 4921: 0.1104317123159764
Position 4024: 0.1090821277670137
Position 5582: 0.09669998567530698
Position 2901: 0.07385459321924855
Position 2895: 0.049502337373223605
Position 6045: 0.04666800684061342
Position 1870: 0.033099729350021416
Position 1314: 0.023811536995464483
Position 5868: 0.02295564551968352
Position 2805: 0.020556620635793284
Position 2905: 0.01752964964549451
Position 169: 0.013104160937237933
Position 6676: 0.012102130730248288
Position 6012: 0.005517405683270094
Position 3485: 0.005441618573607794
Position 1329: 0.005388467426520833
Position 988: 0.004340511539279969
Position 3404: 0.003365939474775171
Position 3569: 0.003224492078557777
Position 3760: 0.0031107182918872593
Position 514: 0.0030975275799878014
Position 3113: 0.0029650483584038063
Position 4439: 0.0029109796603079994
Position 2880: 0.0024205270369447034
Position 979: 0.0023103166478731043
Position 2917: 0.0022006505823385235
Position 1876: 0.0021912915764891678
Position 3310: 0.0019452678728478325
Position 1495: 0.0018613727670812228
Position 902: 0.0017549866951557373
Position 3281: 0.0015779882790667333
Position 1690: 0.0012746268033021492
Position 3047: 0.0012395454282861063
Position 2762: 0.0011811615306092109
Position 59: 0.001174173316682943
Position 3532: 0.0011322108346677735
Position 5402: 0.0011078690683670191
Position 3019: 0.0010605284421505007
Position 1156: 0.0009515175535187899
Position 3912: 0.0009147071498313766
Position 4515: 0.0008986581682122708
Position 1581: 0.0008045344517598801
Position 2890: 0.0007833766804722286
Position 3131: 0.0006932472043452995
Position 2670: 0.0006804802958269778
Position 2885: 0.0005626086344412239
Position 2814: 0.000522971647853138
Position 3243: 0.000512876358225159
Position 2455: 0.00044726585093293975
Position 116: 0.0004421535025380338
Position 2808: 0.0004090206838275684
Position 3917: 0.0003913256492694633
Position 177: 0.0003769921469765659
Position 3408: 0.0003545088765173629
Position 4044: 0.00033751652434696477
Position 4454: 0.000335995395959943
Position 1901: 0.0003327659296900671
Position 132: 0.00031691719844872414
Position 2504: 0.00031203762844780506
Position 3123: 0.00029122512354276016
Position 2064: 0.0002854132278783294
Position 3059: 0.00027781411553695883
Position 3169: 0.00023773779130579296
Position 970: 0.00020330697485817476
Position 4004: 0.00018431672773768827
Position 2899: 0.00016160983429656375
Position 2242: 0.0001431906303193293
Position 1007: 0.00013297921385921525
Position 45: 0.00013129563156272174
Position 1827: 0.00012745635114574607
Position 2559: 0.00011984826099244751
Position 501: 0.00011637898093456521
Position 557: 0.00010863550011931546
Position 2550: 0.00010577526837999996
Position 2460: 9.78692876239796e-05
Position 738: 8.480380647498061e-05
Position 2914: 8.271252205858704e-05
Position 1297: 7.58478827703184e-05
Position 1615: 6.489026984650123e-05
Position 190: 5.484799646497743e-05
Position 711: 5.37287001564628e-05
Position 2269: 5.3217905582459704e-05
Position 2682: 5.3186909942301184e-05
Position 1129: 5.219348959561827e-05
Position 564: 4.881758607561743e-05
Position 2829: 4.843130153727515e-05
Position 327: 4.5853263493766915e-05
Position 941: 4.509205221652381e-05
Position 1891: 4.49544450693158e-05
Position 517: 4.3926069835617045e-05
Position 1134: 4.290573358578469e-05
Position 525: 4.1755333867175906e-05
Position 1899: 4.079644879672636e-05
Position 2660: 3.473492638364813e-05
Position 1783: 3.076028109826818e-05
Position 1671: 2.6689954089196396e-05
Position 2674: 2.3493414819711214e-05
Position 1588: 2.1378174539654988e-05
Position 198: 2.0835670375122136e-05
Position 380: 2.022842030805603e-05
Position 2959: 1.9653431523911323e-05
Position 693: 1.883378742533257e-05
Position 951: 1.752404522821102e-05
Position 1735: 1.5736835285142973e-05
Position 57: 1.5430626237075132e-05
Position 4166: 1.5327234141058942e-05
Position 371: 1.5265666192304867e-05
Position 2036: 1.5019812457175028e-05
Position 1164: 1.4143559980739716e-05
Position 1049: 1.358439304102554e-05
Position 833: 1.2858389319318411e-05
Position 1337: 1.2464715619516713e-05
Position 2846: 1.1371488716610253e-05
Position 1025: 1.0738024064473299e-05
Position 1268: 1.0665056744966814e-05
Position 63: 1.0487019747804496e-05
Position 1012: 1.006157501756731e-05
Position 1648: 9.471597311674981e-06
Position 3396: 8.56687915944954e-06
Position 1221: 8.231543768836297e-06
Position 461: 7.710286350918013e-06
Position 93: 7.1109699285150786e-06
Position 2083: 6.9315777407417865e-06
Position 1339: 6.152756278097755e-06
Position 2628: 5.510220583839839e-06
Position 2640: 5.379773853216276e-06
Position 913: 4.982261082952948e-06
Position 20: 4.9638945436490985e-06
Position 1224: 4.880432278509862e-06
Position 787: 4.71069327593018e-06
Position 1833: 4.446835462378741e-06
Position 2653: 4.227336851032461e-06
Position 2621: 4.120101967598272e-06
Position 1027: 4.065460013667489e-06
Position 3345: 3.67571955161483e-06
Position 164: 3.479610201788691e-06
Position 667: 3.2633057602035787e-06
Position 714: 2.2060198843134457e-06
Position 451: 2.1767247267486077e-06
Position 2211: 2.065050501760073e-06
Position 2611: 1.7376944128755697e-06
Position 591: 1.1836400064485468e-06
Position 1104: 9.151692937501931e-07
Position 835: 7.709801082948174e-07
Position 1914: 7.469629183787406e-07
Position 1912: 7.419949046904886e-07
Position 382: 7.132958624086364e-07
Position 1279: 6.451102210238701e-07
Position 669: 5.540924706451929e-07
Position 2647: 4.5147423698127906e-07
Position 3235: 4.3188460211726805e-07
Position 1666: 4.231961458124298e-07
Position 3231: 4.032528468643147e-07
Position 2013: 3.490932866740752e-07
Position 80: 2.6526354417170853e-07
Position 2405: 2.2959115746395334e-07
Position 2278: 2.09142651193671e-07
Position 1459: 2.0007874894988645e-07
Position 8: 1.8932658194895073e-07
Position 2102: 1.6570935835661635e-07
Position 3068: 1.5491709954222584e-07
Position 2363: 1.0905692797853976e-07
Position 2214: 1.0890828985987943e-07
Position 1255: 1.0621617190322502e-07
Position 1920: 8.276924073062605e-08
Position 2969: 7.044797150015751e-08
Position 2331: 6.886958555411225e-08
Position 1999: 3.31184933693112e-08
Position 3181: 1.1796014525244435e-08
Position 1963: 1.0808676355610731e-08
Position 1981: 6.987851102592907e-09
Position 2006: 6.34918876958205e-09
Position 2118: 5.318026013497626e-09
Position 2366: 3.946246102631412e-09
Position 2165: 3.6856592874562176e-09
Position 2104: 3.2923430486583693e-09
Position 1996: 3.0605567569405146e-09
Position 2921: 2.9392099763892538e-09
Position 2779: 9.297988231324982e-10
Position 2909: 6.656370986512175e-10
Position 2865: 3.9690402325677914e-10
Position 2201: 2.2430097568665068e-10
Position 2154: 5.7632467077741266e-11
Position 465: 6.430733423227046e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 2317: 0.9995939223863874
Position 1947: 0.9963494139117982
Position 1451: 0.9628877828798694
Position 2137: 0.9518752574528666
Position 3825: 0.5857782959919637
Position 5886: 0.22289123278932435
Position 5757: 0.16247064856503163
Position 2729: 0.142201004074617
Position 4086: 0.12143540966889967
Position 6178: 0.09266837979409824
Position 5686: 0.0708457867043194
Position 2593: 0.07026000714010458
Position 2702: 0.06164791308165153
Position 2679: 0.057694630555226126
Position 3629: 0.055209911479706095
Position 5921: 0.05500865133038133
Position 5634: 0.05257967771625313
Position 7051: 0.043038192776814255
Position 3791: 0.0367266689492141
Position 2141: 0.030095850241403446
Position 1608: 0.018708295333616023
Position 4608: 0.0170853585394298
Position 2151: 0.014190309600825542
Position 6136: 0.012412333606917481
Position 3092: 0.01197421392794789
Position 1119: 0.01131905957842121
Position 3806: 0.009526377413748458
Position 5699: 0.008978222767009596
Position 230: 0.00890720287142261
Position 1482: 0.008236954528968056
Position 3221: 0.0062949245818627216
Position 1140: 0.006062881541532424
Position 4324: 0.0059517359806124165
Position 1075: 0.005844985282424248
Position 7119: 0.005751032606740421
Position 6394: 0.005114865316616807
Position 4998: 0.005048068153014289
Position 1638: 0.004907312800281271
Position 1191: 0.004535886422868414
Position 3198: 0.004522930425910996
Position 3149: 0.004395394774751411
Position 5039: 0.0043758436852360414
Position 3656: 0.004288005623191342
Position 6112: 0.00408158338351326
Position 6535: 0.003925592507534462
Position 3505: 0.003604532259948747
Position 2118: 0.003519569105227591
Position 3860: 0.00345764170006544
Position 3026: 0.0031636214341034786
Position 1970: 0.0031149678997994764
Position 621: 0.002728161188983743
Position 6920: 0.002678596984984134
Position 3982: 0.0026198143783779603
Position 2633: 0.002438122442817553
Position 3636: 0.0020711431193865953
Position 4971: 0.0020263694414084633
Position 6309: 0.001530995160653794
Position 260: 0.0014398319742166292
Position 1007: 0.001383254156568486
Position 1276: 0.001330954313753228
Position 3288: 0.001271271087636904
Position 4133: 0.0010760165035857312
Position 115: 0.0010147329422228128
Position 6822: 0.0010054943390037832
Position 970: 0.0009324065704902997
Position 3557: 0.0009029363586883307
Position 1025: 0.000746733267499095
Position 1390: 0.0007063580570714488
Position 5042: 0.0007047070592126279
Position 6670: 0.0006789849773254296
Position 6713: 0.0006468062393831022
Position 4365: 0.0006212811360154088
Position 5889: 0.0005372462247508358
Position 423: 0.0005300735794017716
Position 1145: 0.0005267508262986321
Position 1408: 0.000478873518255397
Position 3123: 0.0004750458549056066
Position 1233: 0.0003923334600585184
Position 1707: 0.0003632770245665554
Position 806: 0.0003346128475484662
Position 597: 0.00031131833275493265
Position 4108: 0.00030979462941345404
Position 281: 0.000278120638530259
Position 284: 0.00026993337877475297
Position 1314: 0.00025962531469997065
Position 5786: 0.0002269121055174657
Position 3285: 0.0001958251352499495
Position 3396: 0.0001902014498491652
Position 1910: 0.0001871070513213973
Position 1154: 0.00017834391803838186
Position 2640: 0.0001573609576072833
Position 627: 0.00014445438203477659
Position 2621: 0.00014181150107248007
Position 3231: 0.00011935381654139558
Position 4677: 0.00011859262792505771
Position 1419: 0.00011639527106441814
Position 173: 0.00011489842867196987
Position 1821: 0.00010499502126539941
Position 777: 0.0001009412459676882
Position 198: 9.886874818810352e-05
Position 393: 9.685459629273988e-05
Position 693: 8.985531770862297e-05
Position 633: 7.87870453419946e-05
Position 2347: 6.67297133563879e-05
Position 702: 6.561362134274299e-05
Position 2756: 6.214020126019164e-05
Position 2814: 4.889031503685189e-05
Position 459: 4.51559564378615e-05
Position 723: 4.407016422497373e-05
Position 2829: 4.0812920557165294e-05
Position 1722: 3.967356275586813e-05
Position 266: 3.9408979237853923e-05
Position 1730: 3.703212350717932e-05
Position 2808: 3.67825613984124e-05
Position 3241: 3.277264336492864e-05
Position 782: 2.9934551248514255e-05
Position 2914: 2.8508077148409415e-05
Position 255: 2.7772588970864986e-05
Position 2559: 2.62262661869726e-05
Position 3967: 2.5229547795857166e-05
Position 480: 2.4888230776178904e-05
Position 2389: 2.4414859682204412e-05
Position 699: 2.31124652220988e-05
Position 1255: 2.211901240079151e-05
Position 868: 2.1876363747331394e-05
Position 4004: 2.1721022474548028e-05
Position 720: 2.0499671726944638e-05
Position 557: 2.029628148864688e-05
Position 1521: 2.0287838924186203e-05
Position 729: 1.8179515986726968e-05
Position 445: 1.6821938003970382e-05
Position 3238: 1.5130305309542219e-05
Position 1695: 1.4635380409240683e-05
Position 3400: 1.2626514281553066e-05
Position 96: 1.196658925700421e-05
Position 3439: 1.1344168433773202e-05
Position 2172: 8.326422119939839e-06
Position 735: 7.95163322764049e-06
Position 1328: 7.680601905665982e-06
Position 2013: 7.36046735152775e-06
Position 534: 6.634897953215375e-06
Position 477: 6.009407648529226e-06
Position 1581: 5.68238483796427e-06
Position 1689: 5.396468786814995e-06
Position 1949: 5.3217243410089475e-06
Position 399: 5.250525074956298e-06
Position 158: 4.025551175794247e-06
Position 1979: 3.48479683518678e-06
Position 816: 3.473286308764533e-06
Position 2182: 3.15852359541163e-06
Position 2021: 2.9260098360526885e-06
Position 657: 2.5933950556200493e-06
Position 732: 1.8496916543064898e-06
Position 1485: 1.8023531090319538e-06
Position 891: 1.7885788850905246e-06
Position 908: 1.7429890591284336e-06
Position 1536: 1.534535161606065e-06
Position 1325: 1.3940566190350193e-06
Position 711: 1.3335415537785983e-06
Position 1912: 1.1228279996085825e-06
Position 552: 1.0801645126618682e-06
Position 2762: 9.484021286244076e-07
Position 1827: 7.519055668201376e-07
Position 1809: 4.950442962899314e-07
Position 2467: 4.936559447814833e-07
Position 2425: 4.891384856584233e-07
Position 1899: 2.694600804352333e-07
Position 2422: 2.690213935528177e-07
Position 1495: 2.2366624330719515e-07
Position 2660: 1.7536198597330516e-07
Position 941: 1.6208246397636518e-07
Position 2792: 1.2663599054705285e-07
Position 531: 1.215230323623924e-07
Position 2647: 1.0584891291252096e-07
Position 2653: 1.047931498397101e-07
Position 513: 8.998054460396089e-08
Position 297: 7.449224683323943e-08
Position 540: 6.093335530688857e-08
Position 2242: 5.980762831345803e-08
Position 122: 5.479174258506252e-08
Position 492: 5.249908297909943e-08
Position 313: 4.0315664514503165e-08
Position 2428: 3.4393355548597e-08
