Gene = mio
index = 1791
Annotated 5SS: [ 255  482  792 1815 2427 2969]
Annotated 3SS: [ 307  539  883 1870 2486 3029]
SMsplice 5SS: [ 255  792 1815 2427 2969]
SMsplice 3SS: [ 307  883 1870 2486 3029]
top_k =  1000
Partition function (log Z): 6.456330791524928

Sorted 5' Splice Sites (High to Low Probability):
Position 1815: 0.9973345166609939
Position 2969: 0.9873156429964967
Position 255: 0.9547783952447091
Position 2427: 0.9451011668321406
Position 792: 0.94192221742788
Position 482: 0.4559289896627909
Position 990: 0.08044507012977664
Position 979: 0.03746582756938499
Position 814: 0.017738419788282642
Position 1171: 0.014415557775989171
Position 2594: 0.014017349298568278
Position 477: 0.010212483650432857
Position 830: 0.009562211470650516
Position 224: 0.003959116170726079
Position 833: 0.002353924802973116
Position 796: 0.0018195805670363557
Position 412: 0.0016373856336142842
Position 29: 0.0014888218481487869
Position 260: 0.0008853114702040717
Position 743: 0.0007552789924888793
Position 1227: 0.0004774886428205173
Position 3: 0.0004255074083873299
Position 486: 0.00028787184258240845
Position 1626: 0.0002447720739795419
Position 937: 0.00023585260320854452
Position 2693: 0.00022192695904666595
Position 433: 0.0002208638983537485
Position 3259: 0.00021879781646217967
Position 2063: 0.0002141989217889447
Position 191: 0.00021054468358044223
Position 1949: 0.0001972533339966913
Position 2433: 0.00018905995260617848
Position 2963: 0.0001688160077427116
Position 2829: 0.00013467717384350492
Position 778: 0.0001271885265187407
Position 887: 0.00012318002851054966
Position 3236: 0.00011194733348379866
Position 1964: 0.0001073953335690937
Position 1221: 9.53716240425965e-05
Position 92: 9.446371664427056e-05
Position 1136: 8.918402831109715e-05
Position 1762: 8.320998728369365e-05
Position 1487: 5.835701822451193e-05
Position 7: 5.587722617079845e-05
Position 2960: 5.3732679093167096e-05
Position 1639: 5.3286503013085406e-05
Position 922: 5.209367121044722e-05
Position 1556: 4.8015080277550964e-05
Position 2030: 4.4783239522457e-05
Position 1231: 3.727456714302153e-05
Position 3270: 3.632997030726333e-05
Position 2421: 3.4369247522076094e-05
Position 1214: 3.2706688252928555e-05
Position 2335: 2.9699778110162455e-05
Position 3268: 2.964662728147918e-05
Position 3204: 2.7937125657598222e-05
Position 392: 2.6300456813723458e-05
Position 32: 2.551248416951906e-05
Position 1013: 2.5181280641786657e-05
Position 1490: 2.289562866180602e-05
Position 2113: 2.193515451940902e-05
Position 2664: 2.1098604040639383e-05
Position 970: 2.06635968368361e-05
Position 88: 2.0124395303132976e-05
Position 348: 1.725161111145437e-05
Position 416: 1.71357633217575e-05
Position 2490: 1.6573529683774163e-05
Position 37: 1.3194856389596208e-05
Position 5: 1.3120735448208497e-05
Position 2980: 1.2886964139974946e-05
Position 1064: 1.2593559816801363e-05
Position 2549: 1.1310238684046584e-05
Position 2903: 1.0409914611714355e-05
Position 660: 1.016414691659692e-05
Position 695: 9.10117429168855e-06
Position 3182: 8.945155721199027e-06
Position 2178: 6.9665850246973896e-06
Position 2092: 6.9361349541801494e-06
Position 522: 6.600536637442068e-06
Position 1906: 6.359567369983525e-06
Position 1819: 6.271756124615541e-06
Position 2973: 5.465657799006882e-06
Position 703: 5.216849610960496e-06
Position 39: 4.894277160689845e-06
Position 308: 4.791791549618455e-06
Position 50: 4.359002418484638e-06
Position 536: 4.058816137277697e-06
Position 2120: 3.984459635091948e-06
Position 2917: 3.497677473279276e-06
Position 3253: 3.443361527549733e-06
Position 3123: 3.349088850787797e-06
Position 1873: 3.080580577429543e-06
Position 2452: 3.0192819453420193e-06
Position 2243: 2.9018609790209667e-06
Position 3227: 2.8493097599164324e-06
Position 166: 2.655436500256696e-06
Position 546: 2.43318968532772e-06
Position 1138: 2.043905381918956e-06
Position 899: 2.005673824477363e-06
Position 1946: 1.730580404016461e-06
Position 3185: 1.6236804076834419e-06
Position 3229: 1.52543130984545e-06
Position 95: 1.5029485902166752e-06
Position 665: 1.1251517800237602e-06
Position 104: 1.0591590953291044e-06
Position 328: 7.692439160623981e-07
Position 2396: 6.209579255615045e-07
Position 3193: 6.021904068183258e-07
Position 56: 5.927146260708508e-07
Position 559: 3.628181610807091e-07
Position 1543: 3.1894648021166895e-07
Position 1373: 2.3490864900361882e-07
Position 2906: 2.1402644899940972e-07
Position 3011: 1.8624440511360294e-07
Position 373: 3.443584239176145e-08
Position 1032: 2.5655085339632593e-09
Position 1644: 7.911091878908465e-11
Position 1062: 7.135343405901225e-11
Position 1641: 5.726347354000044e-11
Position 2915: 4.687096451109225e-11
Position 2871: 3.999475619869238e-11
Position 2653: 3.893044066044001e-11
Position 2076: 2.2897634496621456e-11
Position 1504: 7.566236162803137e-12
Position 1991: 3.207838137299272e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1870: 0.996174960783846
Position 3029: 0.9855802828430028
Position 307: 0.9579785735054315
Position 2486: 0.8393060967833312
Position 883: 0.8235636927146159
Position 539: 0.44849001396950533
Position 1053: 0.25679767435851353
Position 2653: 0.10654083432885184
Position 965: 0.014592756244257574
Position 1371: 0.007937336848488744
Position 2584: 0.0071489512855946674
Position 1285: 0.00692674215021383
Position 1667: 0.005941219215672803
Position 553: 0.00362242208284752
Position 2523: 0.0024269287290018342
Position 1073: 0.0024161640550698655
Position 412: 0.0024061453578669875
Position 3040: 0.001350084425185124
Position 3329: 0.0013387306608413124
Position 2693: 0.001192120544255676
Position 922: 0.0010254692556534155
Position 1692: 0.0009534063912726526
Position 905: 0.0008375601052906572
Position 2755: 0.000806882499462806
Position 2563: 0.000719082927354453
Position 88: 0.0007062748843091325
Position 918: 0.000668744773107397
Position 1318: 0.0006428666978810951
Position 550: 0.0005746599320454292
Position 2250: 0.00048375021107458947
Position 2092: 0.0004345027898136037
Position 2773: 0.0004002795272544348
Position 2493: 0.00035289796174929464
Position 2540: 0.0003463606283242226
Position 2885: 0.0003087967706504852
Position 2312: 0.0002676165084418455
Position 1340: 0.0002523252025656544
Position 1182: 0.00023804765592345397
