Gene = lok
index = 1759
Annotated 5SS: [ 299  642  884 1232 1750 2191]
Annotated 3SS: [ 359  725 1122 1311 1955 2249]
SMsplice 5SS: [ 591  884 1232 2191]
SMsplice 3SS: [ 725 1122 1955 2249]
top_k =  1000
Partition function (log Z): 10.720178234647534

Sorted 5' Splice Sites (High to Low Probability):
Position 2191: 0.9988416588512039
Position 591: 0.8060467974262538
Position 1232: 0.6574030144492956
Position 884: 0.638015738441713
Position 1011: 0.3499332148348005
Position 299: 0.27596689145487785
Position 1750: 0.23205963679973388
Position 1251: 0.2225235463812228
Position 1897: 0.13055628536103928
Position 1419: 0.11897151125192117
Position 642: 0.07301027320959572
Position 559: 0.061762710890139794
Position 1826: 0.047132168875424915
Position 827: 0.03980491443831084
Position 141: 0.02754117394048433
Position 2729: 0.022142412361170143
Position 1277: 0.01582185778419049
Position 1409: 0.007677663888702531
Position 322: 0.007602752333492586
Position 97: 0.004908311860891768
Position 518: 0.004556880008591479
Position 1733: 0.003690571683001552
Position 333: 0.003105233633999572
Position 638: 0.003043438966686217
Position 1201: 0.0023871779785253075
Position 1571: 0.0019723505670308744
Position 303: 0.0016659760513493683
Position 2894: 0.0016330652427983905
Position 2864: 0.0011758969211642719
Position 132: 0.0011403717515144668
Position 2046: 0.0010722100225687248
Position 1383: 0.0010715451570908778
Position 2325: 0.0010449877947881728
Position 211: 0.0010343653307181874
Position 1774: 0.0010255906421019441
Position 888: 0.0006913026337960696
Position 319: 0.0006356251787532445
Position 1057: 0.0006046994377156291
Position 552: 0.0005688772302311158
Position 597: 0.0005422755726142994
Position 545: 0.0005021897824809765
Position 1454: 0.00039156070181772123
Position 1623: 0.00037848235005776606
Position 1428: 0.00036737555722093695
Position 2177: 0.0003150860737839415
Position 1616: 0.00030677940814113837
Position 2674: 0.00028723299192941453
Position 195: 0.00028037744576238035
Position 1068: 0.0002307010254833917
Position 1376: 0.000226897575798501
Position 1718: 0.00022310968896218465
Position 112: 0.00020320494686598806
Position 1578: 0.00017172548019959882
Position 2554: 0.0001663016009332245
Position 2875: 0.000163032615246473
Position 2606: 0.00015594555404811804
Position 1842: 0.00015591505958674964
Position 305: 0.00015567640159623328
Position 297: 0.00015378225010418407
Position 492: 0.0001525641557863216
Position 976: 0.0001385564456088687
Position 2584: 0.00011152992028195945
Position 660: 9.37826031104283e-05
Position 151: 9.159631828754599e-05
Position 2174: 9.073908649660243e-05
Position 1530: 8.44489099665338e-05
Position 1224: 8.350500882905586e-05
Position 1470: 6.133821105548343e-05
Position 992: 6.0456322054500864e-05
Position 2195: 5.93016094743057e-05
Position 1763: 5.801132065939922e-05
Position 1575: 5.724280074724799e-05
Position 1504: 5.352514946879217e-05
Position 1516: 5.011712687469832e-05
Position 2690: 4.775204624333906e-05
Position 1631: 4.401399860148943e-05
Position 894: 4.373437479536151e-05
Position 2280: 4.087231760006709e-05
Position 678: 3.818032785129237e-05
Position 987: 3.432739062737958e-05
Position 1078: 3.0781904036029666e-05
Position 2887: 2.7468613541285884e-05
Position 667: 2.6074182852602893e-05
Position 2348: 2.397699137285621e-05
Position 2870: 2.2825137197625913e-05
Position 387: 2.2762212593843988e-05
Position 872: 2.1310627695927155e-05
Position 2702: 2.068629320506679e-05
