Gene = Hf
index = 1210
Annotated 5SS: [112]
Annotated 3SS: [174]
SMsplice 5SS: [112]
SMsplice 3SS: [174]
top_k =  1000
Partition function (log Z): -4.334234767660506

Sorted 5' Splice Sites (High to Low Probability):
Position 112: 0.6088260287949939
Position 120: 0.3902276747715454
Position 719: 0.016438221391452002
Position 223: 0.01000311578314744
Position 361: 0.007849252295837163
Position 555: 0.006827571847394752
Position 508: 0.000968581113235687
Position 528: 0.0008997584493406078
Position 265: 0.0007634455856968523
Position 116: 0.0003266064358736492
Position 429: 0.000314805789897273
Position 716: 0.0002300918259436522
Position 700: 0.0002146137717836255
Position 463: 0.0001804291157722544
Position 196: 0.00013593747515140114
Position 339: 0.00011708849332211436
Position 98: 8.047468221549043e-05
Position 565: 5.1237735331329204e-05
Position 709: 3.618516231884372e-05
Position 57: 3.54603738988883e-05
Position 244: 1.5773330851786458e-05
Position 107: 1.4596483518018266e-05
Position 582: 1.4310397030469194e-05
Position 308: 1.1523661715020466e-05
Position 450: 6.033452886365603e-06
Position 124: 5.623598855191783e-06
Position 574: 5.508453717969916e-06
Position 457: 5.014998699835571e-06
Position 605: 4.476618435853476e-06
Position 83: 3.600666523962415e-06
Position 131: 1.2250719076233652e-06
Position 542: 1.2070178250160579e-06
Position 787: 6.340308184588626e-07
Position 50: 5.138780521329081e-07
Position 783: 4.6407892781414026e-07
Position 627: 3.1990646351013945e-07
Position 804: 1.7183353777781303e-07
Position 781: 1.3082779397401653e-07
Position 3: 2.0702344037196195e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 174: 0.9944260587634766
Position 771: 0.01407847668586864
Position 636: 0.007886205987997032
Position 286: 0.007528600426402239
Position 814: 0.003491908092328922
Position 419: 0.0034373409016809184
Position 582: 0.002691261846223891
Position 339: 0.0022258690154023392
Position 494: 0.0019182908125634569
Position 480: 0.0014969985981924153
Position 438: 0.0010517594860451783
Position 627: 0.0008857742235589139
Position 264: 0.0006703144114186045
Position 196: 0.0006575081182478229
Position 777: 0.00040883536139745523
Position 909: 0.0002990191587386145
Position 450: 0.0002906413333778898
Position 241: 0.00024218843180781333
Position 507: 0.00018774987274952342
Position 528: 0.0001719307951271685
Position 605: 0.00016125611783623955
Position 600: 8.978399533861874e-05
Position 542: 5.5526558507982175e-05
Position 549: 4.965183545093464e-05
Position 933: 3.480530879994538e-05
Position 202: 2.9673865505572348e-05
Position 666: 2.9655804794747134e-05
Position 462: 2.1439307907358196e-05
Position 693: 1.8945149843699964e-05
Position 477: 1.5813035591507425e-05
Position 554: 1.4972612881737165e-05
Position 386: 1.282450856817313e-05
Position 645: 1.1571654418662593e-05
Position 842: 7.246525507306123e-06
Position 781: 6.776867304129788e-06
Position 513: 4.632024022919002e-06
Position 209: 3.7778703538402357e-06
Position 941: 1.1075587730754673e-06
Position 799: 9.236491386250693e-07
Position 705: 5.44461770513562e-07
Position 917: 4.5790162310083536e-08
Position 375: 2.0653305786616412e-09
Position 348: 3.634091645083125e-10
Position 116: 5.158397769522059e-11
Position 227: 3.8940148837728314e-11
Position 74: 2.0511336732325654e-11
Position 249: 1.6086181714978046e-11
Position 139: 1.2712763452168618e-11
Position 144: 3.4102092506985163e-12
Position 131: 3.215485085903549e-12
Position 124: 3.0064565259607397e-12
Position 251: 2.8646841048200148e-12
Position 56: 1.84392954052893e-12
Position 351: 6.790052125144187e-13
Position 50: 5.966619413823904e-14
