Gene = Cpr65Ay
index = 1100
Annotated 5SS: [ 75 226]
Annotated 3SS: [133 281]
SMsplice 5SS: [ 75 226]
SMsplice 3SS: [133 281]
top_k =  1000
Partition function (log Z): -2.507121921352283

Sorted 5' Splice Sites (High to Low Probability):
Position 75: 0.9874001184961597
Position 226: 0.7766644174556545
Position 231: 0.02284534745667636
Position 198: 0.020349218843979697
Position 7: 0.0018312705131870474
Position 364: 0.0014691703249470984
Position 395: 0.0013737242555972053
Position 461: 0.0006735286439415078
Position 475: 0.00030645131811969737
Position 331: 0.00027554847454443383
Position 436: 0.00027549942364073367
Position 422: 0.0001638822272518468
Position 240: 0.0001633803966057852
Position 324: 6.636995400933364e-05
Position 46: 5.720379208347919e-05
Position 382: 2.354329600123809e-05
Position 12: 1.996614887249479e-05
Position 429: 1.804900971091577e-05
Position 346: 7.596793410403328e-06
Position 119: 1.1943435368074275e-06
Position 173: 2.4844257435867434e-07
Position 160: 2.1032653028324212e-07
Position 143: 1.6687116754557144e-07
Position 244: 1.1459506585671944e-07
Position 145: 7.387059591871679e-09
Position 299: 4.721317431089417e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 133: 0.9873074478203477
Position 281: 0.8171886280358299
Position 533: 0.003557811221918047
Position 306: 0.001870107676018109
Position 385: 0.0011695532900659923
Position 468: 0.0010730064992576223
Position 138: 0.0004455285732659957
Position 481: 0.00028117370556593067
Position 331: 0.0002410553544020694
Position 336: 0.000170869636035508
Position 415: 0.00014349459749760663
Position 143: 0.00012093172241589288
Position 351: 7.535352073328391e-05
Position 435: 7.007684541289392e-05
Position 106: 5.618470118436865e-05
Position 346: 5.0529422586025556e-05
Position 249: 4.1859070709230714e-05
Position 404: 3.8776749262699406e-05
Position 308: 1.548115517052628e-05
Position 197: 1.5420434115424894e-05
Position 360: 1.4501203558374348e-05
Position 394: 1.4272038767125903e-05
Position 448: 7.860100033168326e-06
Position 504: 4.083648479718377e-06
Position 91: 2.4892346453041086e-06
Position 511: 2.3087992604966613e-06
Position 363: 2.27223681603486e-06
Position 230: 2.1802606725138074e-06
Position 429: 1.613345547910038e-06
Position 79: 8.679151144064725e-07
Position 193: 1.9204546243937902e-07
Position 315: 1.6785862337461906e-07
Position 240: 9.426571386453264e-08
Position 214: 2.9765057498672215e-08
Position 506: 1.0537582161987956e-08
Position 208: 1.2108088126748045e-10
Position 211: 5.4287488062293064e-11
Position 206: 4.891236026915146e-11
Position 202: 2.3557583832292946e-13
