Gene = CtIP
index = 1111
Annotated 5SS: [ 220  863 1626]
Annotated 3SS: [ 276 1003 1689]
SMsplice 5SS: [ 220  863 1626]
SMsplice 3SS: [ 276  947 1689]
top_k =  1000
Partition function (log Z): 0.8142269688684687

Sorted 5' Splice Sites (High to Low Probability):
Position 220: 0.9936185566859529
Position 1626: 0.9891702594555589
Position 863: 0.844138101405449
Position 1331: 0.058955690060362685
Position 10: 0.05590317844602781
Position 1341: 0.03547791765043264
Position 648: 0.013177912192940193
Position 1386: 0.00794751904563213
Position 1162: 0.006894521490742841
Position 1191: 0.0034530488182304498
Position 1607: 0.0025238572826373133
Position 1857: 0.0013011239289724395
Position 1251: 0.0009217445824340672
Position 997: 0.0007040248198809819
Position 1630: 0.0004065025465254151
Position 1189: 0.00036537614379076856
Position 891: 0.00035469959002552316
Position 658: 0.00021210976810413738
Position 599: 0.0001966859896180514
Position 1840: 0.00017135779239598435
Position 639: 0.00016032438246460287
Position 1616: 0.00015724734215327043
Position 1918: 0.00013422597469168868
Position 624: 0.0001078597015965745
Position 1194: 9.790122297058691e-05
Position 592: 9.585482093204646e-05
Position 1842: 9.530196849428584e-05
Position 1310: 5.69979836732174e-05
Position 1910: 5.0953010820695744e-05
Position 690: 4.3778987699022817e-05
Position 522: 4.273351836909177e-05
Position 1318: 3.5687263411545084e-05
Position 1230: 2.6652738196972803e-05
Position 2033: 2.16319469379771e-05
Position 1020: 2.075310811586254e-05
Position 1594: 1.901482996027444e-05
Position 893: 1.8570266821551843e-05
Position 792: 1.6272794511348344e-05
Position 1807: 1.3777398981113283e-05
Position 171: 1.294804412111785e-05
Position 1584: 1.196749489547756e-05
Position 105: 1.1677974714581322e-05
Position 1948: 8.162983051649114e-06
Position 176: 7.053022786876688e-06
Position 1611: 3.3541699911165035e-06
Position 1522: 3.2609085260518873e-06
Position 1749: 1.7604638789260706e-06
Position 387: 1.555212585791223e-06
Position 1106: 1.1423899187375295e-06
Position 301: 9.973596927216347e-07
Position 1065: 8.945550029917533e-07
Position 1772: 8.296370239299792e-07
Position 1493: 8.111822644202207e-07
Position 561: 7.662534125187668e-07
Position 781: 6.136901503601683e-07
Position 954: 4.802472424451563e-07
Position 276: 4.522679313465301e-07
Position 1091: 3.0127365132664683e-07
Position 2016: 2.999363804466979e-07
Position 1084: 1.430257525017885e-07
Position 123: 1.1453432786308812e-07
Position 413: 1.1316750038685215e-07
Position 805: 1.0114248608548623e-07
Position 137: 6.077132674558467e-08
Position 154: 1.9596871686485868e-08
Position 120: 1.4225537226716135e-08
Position 1413: 1.1867245543964592e-09
Position 261: 3.176171893707656e-11
Position 148: 1.429489794020328e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 276: 0.9869734549995246
Position 1689: 0.8274081577763948
Position 947: 0.5257942119060421
Position 1720: 0.16067414719330417
Position 996: 0.1245164465054732
Position 1439: 0.06812196578325029
Position 1003: 0.04939547356466246
Position 1386: 0.04353763941071797
Position 1054: 0.03978679679992415
Position 87: 0.034141660280825756
Position 1413: 0.03085767914554833
Position 1091: 0.02009590827961551
Position 120: 0.01791928405874015
Position 1032: 0.015755975034976832
Position 927: 0.011565482656546893
Position 1248: 0.007747047671155402
Position 1008: 0.006695432826759314
Position 1515: 0.006349869555764651
Position 769: 0.00603619993875387
Position 1217: 0.0049304296085795184
Position 1512: 0.004826541091718241
Position 1749: 0.0036003960239761336
Position 105: 0.0017402389226660055
Position 1952: 0.0015711812534142991
Position 341: 0.001499774205720371
Position 1060: 0.001490070593266472
Position 762: 0.001302485386845772
Position 1449: 0.0012134150474387457
Position 131: 0.0011285585827478799
Position 1819: 0.0007350069877913598
Position 1161: 0.000653953730175057
Position 1443: 0.0006089037598308465
Position 1358: 0.0005784902831868355
Position 740: 0.0005384789861117414
Position 1120: 0.0005380221914062326
Position 294: 0.0005123317471057055
Position 1918: 0.0005028495564225033
Position 1982: 0.0005014296555126508
Position 1194: 0.0004983234976187585
Position 1728: 0.00036890104740242073
Position 2086: 0.00029134814301131793
Position 483: 0.0002857768891879239
Position 1541: 0.00027924101949102615
Position 1084: 0.00024267304226895166
Position 1493: 0.0002400239991705747
Position 1772: 0.00023150027649285256
Position 719: 0.00019980827202478933
Position 1327: 0.00018460171350275469
Position 1361: 0.00018188575507124016
Position 288: 0.00016835631909982248
Position 490: 0.00016398179375444748
Position 1923: 0.00014301571472372673
Position 1295: 0.00014279006915035616
Position 1565: 0.0001358569138924682
Position 1189: 0.00011990743670703028
Position 518: 0.00010960852373597485
Position 701: 0.00010885700998207581
Position 1891: 9.50511274102966e-05
Position 1331: 8.881371860297336e-05
Position 568: 7.818529019216477e-05
Position 1455: 7.770567853942692e-05
Position 1391: 7.70799761669762e-05
Position 315: 5.882024919581099e-05
Position 161: 5.657420810380164e-05
Position 296: 5.1623687779500856e-05
Position 498: 4.810749285432716e-05
Position 1822: 4.2763957049413505e-05
Position 326: 3.9727202154344053e-05
Position 320: 3.8265420564372086e-05
Position 658: 3.417534224831013e-05
Position 350: 3.299890435733848e-05
Position 1517: 3.176292810573256e-05
Position 368: 3.165612857159107e-05
Position 1525: 2.8191940232995816e-05
Position 1910: 2.8191224992714507e-05
Position 449: 2.5871451630532512e-05
Position 1355: 2.4444352859811603e-05
Position 1762: 2.2313492462201285e-05
Position 554: 2.0992343932955563e-05
Position 891: 2.0635421468967672e-05
Position 1568: 1.830409926839004e-05
Position 1128: 1.7562095334652325e-05
Position 1065: 1.3854906532890655e-05
Position 1169: 1.3135056867663006e-05
Position 1735: 1.3100751784704385e-05
Position 377: 1.2122232501986463e-05
Position 1318: 1.0102623920374267e-05
Position 1133: 7.564991990401162e-06
Position 301: 7.375134988653133e-06
Position 899: 6.469613984525319e-06
Position 186: 6.33385864830385e-06
Position 2024: 6.177575800750073e-06
Position 781: 4.6310291704236706e-06
Position 721: 4.454262147691489e-06
Position 798: 4.146625344830347e-06
Position 860: 3.963730345050954e-06
Position 2095: 3.4802494441301444e-06
Position 2092: 3.3648637418136237e-06
Position 830: 3.3179435644667165e-06
Position 671: 3.2228792119005825e-06
Position 307: 2.7346814018360923e-06
Position 371: 2.6531804046022022e-06
Position 838: 2.204484445404819e-06
Position 592: 1.8541871058261084e-06
Position 392: 1.779312795175453e-06
Position 1849: 1.1797847543650603e-06
Position 166: 1.0447477589376586e-06
Position 792: 1.0384245429938366e-06
Position 1725: 9.408308546368726e-07
Position 599: 8.585217132739161e-07
Position 401: 7.753167387311085e-07
Position 425: 5.693921026827394e-07
Position 207: 4.7079021960533516e-07
Position 686: 4.668117228008701e-07
Position 629: 4.598151868322883e-07
Position 2033: 4.597879701509843e-07
Position 788: 4.567725516028269e-07
Position 2059: 4.261988671649104e-07
Position 431: 3.18799194333986e-07
Position 512: 1.3694079389910133e-07
Position 398: 9.115540889466355e-08
Position 457: 8.458098285904175e-08
Position 680: 2.776318282379192e-08
Position 176: 2.6128893540035955e-08
Position 620: 2.385438692833461e-08
Position 406: 2.1529196715278584e-08
Position 775: 1.6627645012367188e-08
Position 800: 6.175618185172217e-09
Position 531: 5.927269995011506e-09
Position 522: 3.897632769929525e-09
Position 169: 2.749039696765393e-09
Position 209: 4.762294123719743e-11
Position 224: 4.234662576184133e-14
Position 220: 1.890625477168294e-14
Position 410: 4.214070650371595e-15
