Gene = tai
index = 1906
Annotated 5SS: [  661 25036 67880 68486 72985 74492 74772 76401 76768 77123 77809 78935]
Annotated 3SS: [24836 67209 68323 72179 73043 74597 74827 76456 76833 77484 78607 78998]
SMsplice 5SS: [  661  2514  2869 25036 60962 67880 68486 72985 74492 74772 76152 76401
 76768 77123 77809 78935]
SMsplice 3SS: [ 1755  2652 24836 60750 67209 68323 72179 73043 74597 74827 76214 76470
 76833 77484 78607 78998]
top_k =  1000
Partition function (log Z): -65.5958825949736

Sorted 5' Splice Sites (High to Low Probability):
Position 25036: 0.9981683996388298
Position 2869: 0.9693872840159277
Position 2514: 0.9047910541311935
Position 661: 0.39267112369089285
Position 1186: 0.16358663422001085
Position 9: 0.14442433531642912
Position 1376: 0.09431353462249675
Position 1164: 0.09307178023523774
Position 2599: 0.03373881434569856
Position 2876: 0.03017541096664823
Position 605: 0.02782980167104225
Position 710: 0.02708600431890454
Position 714: 0.0217733768180263
Position 2386: 0.012828369336214876
Position 419: 0.0100776981930966
Position 1432: 0.006883375404904823
Position 2474: 0.006176436367124217
Position 1132: 0.005898568590676625
Position 609: 0.0046257520061706355
Position 252: 0.004433190005992993
Position 736: 0.004127716677935863
Position 1677: 0.003335413318912393
Position 35762: 0.003334100006453486
Position 1608: 0.0031745616469651856
Position 1260: 0.00305958958996229
Position 5: 0.0029750755790951978
Position 242: 0.0029119223490973356
Position 840: 0.0027673532139492925
Position 2242: 0.0024028671257255814
Position 718: 0.0021526866386043847
Position 1938: 0.001514251190000776
Position 2108: 0.0014584139447014698
Position 1681: 0.0014051145203222485
Position 256: 0.0013293845834080945
Position 30247: 0.001215711367309591
Position 2469: 0.0010594898378135783
Position 216: 0.0009893914546913979
Position 278: 0.0008108156517524228
Position 274: 0.0008015882687478745
Position 276: 0.0007816658521296108
Position 280: 0.0007668372103720164
Position 1654: 0.0007504284382232876
Position 1923: 0.0006707635777643577
Position 35712: 0.0006280162370154355
Position 694: 0.0006224013827938057
Position 310: 0.0005812212193852331
Position 1913: 0.0005762265112870611
Position 262: 0.0005305235745442672
Position 295: 0.0005299388367959591
Position 613: 0.00047211668051628586
Position 2218: 0.0004304063425969952
Position 270: 0.00042330402389371486
Position 1663: 0.00039758381550055816
Position 272: 0.0003768376853544239
Position 247: 0.00037429857785909967
Position 2454: 0.0003680201441241379
Position 1144: 0.0003371614556725331
Position 299: 0.0003232561320250269
Position 569: 0.0002919357833228599
Position 301: 0.00022149834449787073
Position 183: 0.0002192149874537875
Position 776: 0.0002141545582530041
Position 31: 0.00020548076635357762
Position 161: 0.00016654094546753316
Position 1417: 0.00016435699793359809
Position 404: 0.00015052988370020323
Position 2014: 0.0001420336783679983
Position 650: 0.00014121417098092
Position 1289: 0.00013759780696557305
Position 1253: 0.000131743971152459
Position 881: 0.00011554337380110895
Position 1180: 0.00011511266900109876
Position 103: 0.00010152898465444916
Position 166: 0.0001006718155979865
Position 500: 9.594760299841414e-05
Position 62: 8.508063823793047e-05
