Gene = Nufip
index = 1335
Annotated 5SS: [251 592]
Annotated 3SS: [310 648]
SMsplice 5SS: [251 592]
SMsplice 3SS: [310 648]
top_k =  1000
Partition function (log Z): -3.046338505847104

Sorted 5' Splice Sites (High to Low Probability):
Position 251: 0.9905074838742778
Position 592: 0.8885218991932337
Position 797: 0.08599209437874789
Position 533: 0.045240328007948416
Position 1158: 0.020010040655148005
Position 43: 0.006352134221690839
Position 47: 0.004930216624556359
Position 1142: 0.004732268441435925
Position 1122: 0.0013895108072743076
Position 873: 0.0013604283391451305
Position 1057: 0.0010150268030187288
Position 103: 0.00091304240226404
Position 527: 0.0008508914957104409
Position 71: 0.0006891047980684936
Position 869: 0.0003492695743682012
Position 1411: 0.0003480192514503349
Position 199: 0.0002560205848569617
Position 86: 0.00023960635731039946
Position 1063: 0.00021590757050267043
Position 1239: 0.0001669854909658969
Position 1083: 0.0001472176150405922
Position 542: 9.943428354650496e-05
Position 1016: 9.093249696770668e-05
Position 596: 8.840827087890484e-05
Position 1283: 7.855982078442834e-05
Position 34: 7.537214389271341e-05
Position 867: 7.102986486851761e-05
Position 1660: 6.80463799688646e-05
Position 831: 5.597805505361133e-05
Position 1095: 4.723994250071611e-05
Position 547: 4.5698638451147346e-05
Position 1258: 3.3855258848594814e-05
Position 204: 3.124269118050909e-05
Position 938: 2.9820650409237078e-05
Position 386: 1.7504898684683372e-05
Position 269: 1.7287879659319987e-05
Position 7: 1.5968642238301488e-05
Position 1071: 1.4668355383102477e-05
Position 994: 9.91813501037345e-06
Position 94: 9.590533666928997e-06
Position 320: 8.85397216556095e-06
Position 1594: 8.727457411942373e-06
Position 1220: 7.747235055459079e-06
Position 221: 6.104309900649973e-06
Position 255: 6.000182151897508e-06
Position 801: 4.83925668808587e-06
Position 604: 4.162490470402987e-06
Position 1391: 3.879300646482202e-06
Position 1185: 3.7911314616769035e-06
Position 492: 3.728911708105791e-06
Position 439: 3.351608092760795e-06
Position 1674: 8.68239601756231e-07
Position 279: 5.248308392749671e-07
Position 17: 3.3196454545374315e-07
Position 384: 1.4912438443519557e-07
Position 344: 3.9776326658388807e-08
Position 326: 2.53675136514592e-08
Position 645: 5.78060118639896e-09
Position 619: 5.601885924626334e-09
Position 375: 5.26478824191886e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 310: 0.8534332842698298
Position 648: 0.7288360093024192
Position 1331: 0.24279568735663995
Position 315: 0.09175096025030473
Position 344: 0.03376518746412798
Position 636: 0.015240223672370105
Position 1244: 0.014803021653170823
Position 103: 0.011121677515311897
Position 681: 0.010847831106736726
Position 1178: 0.010083653085359594
Position 1044: 0.005129397990095884
Position 697: 0.004666653779427737
Position 1277: 0.004035183784180831
Position 1308: 0.0038643629936233512
Position 1067: 0.0035362208015619666
Position 1556: 0.00231375451805792
Position 518: 0.0021440459311164186
Position 156: 0.0020905189058448375
Position 932: 0.0014107463183327248
Position 409: 0.0013725619554466766
Position 1594: 0.0011704864956217256
Position 904: 0.0009932965065866297
Position 1473: 0.0009494563765110128
Position 633: 0.0007865812337017903
Position 1283: 0.0007484205977779675
Position 500: 0.0005646562478988051
Position 1409: 0.0005635620677078175
Position 430: 0.0005503234653559049
Position 1364: 0.0005242457692576144
Position 884: 0.00046057301638097425
Position 1136: 0.00042561082938631406
Position 755: 0.0004073500894986899
Position 859: 0.0003734344793591937
Position 686: 0.0002838301416043061
Position 929: 0.00022849988769637095
Position 1391: 0.00021833180315610027
Position 394: 0.00020177358180317967
Position 673: 0.00019297124400262687
Position 1453: 0.00018313764486353547
Position 1717: 0.00016910487891139521
Position 532: 0.00015718191795242222
Position 1578: 0.00014093672075606733
Position 1415: 0.00010884700547140379
Position 1478: 0.00010140108190160444
Position 1009: 0.00010079274483408645
Position 320: 9.536339587402956e-05
Position 856: 9.381582311457218e-05
Position 820: 9.304273939338282e-05
Position 1105: 8.587336387658725e-05
Position 1729: 8.404239214011135e-05
Position 1299: 8.334326747314645e-05
Position 1342: 8.264707581412937e-05
Position 1115: 8.220498886572451e-05
Position 607: 8.146081041228598e-05
Position 901: 6.429441386846239e-05
Position 1510: 4.4305716094450423e-05
Position 1190: 4.189491816757704e-05
Position 1142: 3.888889406693166e-05
Position 893: 3.5077951890491997e-05
Position 1640: 2.7264561071753902e-05
Position 1000: 2.245376083707606e-05
Position 1145: 2.173568473928967e-05
Position 312: 2.1435716763729475e-05
Position 713: 2.127055762438854e-05
Position 839: 2.0718097140219832e-05
Position 1751: 1.9187782408581724e-05
Position 920: 1.8891358273743524e-05
Position 826: 1.6048159425983353e-05
Position 1346: 1.4754158513011509e-05
Position 691: 1.364131986879603e-05
Position 1725: 1.2444337611775382e-05
Position 1655: 1.052680182113732e-05
Position 1027: 1.037031080551071e-05
Position 578: 8.681751920557485e-06
Position 974: 7.651186133825516e-06
Position 1112: 7.508818611126684e-06
Position 1024: 7.302550494373217e-06
Position 1071: 6.882909576788652e-06
Position 112: 6.817014275238324e-06
Position 1748: 6.415288150468932e-06
Position 1421: 5.9439331226796334e-06
Position 1387: 5.377835411231259e-06
Position 538: 4.928112469984395e-06
Position 1739: 4.784045780248517e-06
Position 269: 4.308461161072847e-06
Position 439: 3.2207245122538997e-06
Position 604: 2.3935375595228353e-06
Position 845: 2.1701655498350274e-06
Position 184: 9.665054806634895e-07
Position 70: 7.092884313726252e-07
Position 245: 6.683864569335967e-07
Position 553: 6.482547399046671e-07
Position 585: 3.664996327572193e-07
Position 65: 3.6062791680626756e-07
Position 542: 1.564726503164284e-07
Position 251: 6.962368845113635e-08
Position 573: 2.233519364328964e-08
Position 557: 1.6914080515458308e-08
Position 221: 1.2163529565495892e-08
Position 596: 1.1044555339516287e-08
Position 227: 2.973896522465913e-09
Position 275: 2.197431509125668e-09
Position 255: 1.6323496472420735e-09
Position 592: 9.476713607635365e-10
Position 212: 9.004383275461545e-10
Position 324: 2.5821629906774364e-10
Position 724: 2.4879178735038275e-10
Position 773: 4.2889497676064e-11
Position 776: 4.254499250595367e-12
