Gene = lilli
index = 1758
Annotated 5SS: [  650  4988 59864 61507 62102 62217 65183 65454 65628 65877 66099]
Annotated 3SS: [ 3744 59100 60779 61679 62159 62275 65261 65540 65710 65947 66159]
SMsplice 5SS: [  650  4988 60730 60926 62102 62217 65183 65454 65628 65877 66099]
SMsplice 3SS: [ 4447 60517 60779 61679 62159 62275 65261 65540 65710 65947 66159]
top_k =  1000
Partition function (log Z): -48.351383582462056

Sorted 5' Splice Sites (High to Low Probability):
Position 4988: 0.9972994250686035
Position 39075: 0.8107544174495637
Position 650: 0.6005186503008249
Position 21477: 0.17229887555370227
Position 21342: 0.12059975715292413
Position 532: 0.10749430582707671
Position 326: 0.08086594758638513
Position 320: 0.07424210015082754
Position 4106: 0.05800580313570644
Position 314: 0.05234385347715375
Position 351: 0.05192653661803184
Position 205: 0.03398079381147683
Position 4795: 0.03354137878305178
Position 4291: 0.019624994541008342
Position 4375: 0.008076281769094033
Position 1008: 0.005505067984982513
Position 1066: 0.005236071287918316
Position 1004: 0.005133937875142074
Position 3938: 0.00501906945255178
Position 308: 0.004150229206278838
Position 2389: 0.004144073976527308
Position 304: 0.003937299400799741
Position 536: 0.003776820679321369
Position 943: 0.0035676295549916448
Position 542: 0.0027183536942404526
Position 403: 0.0015146933129619373
Position 2670: 0.0014797556325588227
Position 1419: 0.001251302472386331
Position 2311: 0.0010159129604833071
Position 1016: 0.0009202759624417987
Position 696: 0.000890524379858801
Position 1018: 0.00082111020983514
Position 1020: 0.0006719489043024891
Position 1012: 0.0006098019157551263
Position 530: 0.0005634055297815752
Position 1022: 0.0005473108966645437
Position 4207: 0.00048512866678082986
Position 260: 0.000484303415944246
Position 1014: 0.00040810898277511066
Position 285: 0.00040056659849580016
Position 300: 0.0003963360147661908
Position 4124: 0.0003863230503906476
Position 107: 0.0003742960718781136
Position 264: 0.00031591640071627696
Position 1186: 0.0002730340920704442
Position 268: 0.00027203404133228877
Position 3504: 0.0002640416043266055
Position 1416: 0.0002347951214489096
Position 4110: 0.0002016563098310511
Position 3953: 0.0001773859520920468
Position 172: 2.6176513955449097e-05
Position 58: 1.7485548734697393e-05
Position 330: 1.6263275241476065e-05
Position 345: 1.4554845830190898e-05
Position 149: 9.896901087102183e-06
Position 550: 8.882643035022818e-06
Position 355: 6.759313761155143e-06
Position 276: 6.559047048205274e-06
Position 256: 6.42060686137553e-06
Position 548: 5.845039598590483e-06
Position 8: 5.38967343534994e-06
Position 324: 5.147084457166573e-06
Position 1475: 4.286656233369347e-06
Position 254: 4.233510993414425e-06
Position 302: 3.935498125096247e-06
Position 1032: 3.7413243811503783e-06
Position 318: 3.5425245734256e-06
Position 272: 2.9934034730147394e-06
Position 446: 2.697998384330774e-06
Position 1436: 2.52275827265962e-06
Position 292: 1.2439908553041139e-06
Position 1826: 1.238341069894015e-06
Position 560: 1.205639217384366e-06
Position 6: 1.0227281020008846e-06
Position 312: 8.333980954541437e-07
Position 1002: 6.963021344849182e-07
Position 1480: 4.7092725638984167e-07
Position 248: 4.381893873945252e-07
Position 278: 3.4577661436263573e-07
Position 673: 2.4599002721137775e-07
Position 258: 2.3194029165534023e-07
Position 1070: 1.689336934203091e-07
Position 654: 1.3398966538329975e-07
Position 219: 8.14251013952397e-08
Position 689: 6.73988865839847e-08
Position 1026: 5.293415671246715e-08
Position 952: 4.261169789799428e-08
Position 280: 3.858139189771923e-08
Position 294: 2.7234964650795144e-08
Position 5305: 2.3053795306690685e-08
Position 5841: 1.9921078185618266e-08
Position 13195: 7.832702410242724e-09
Position 687: 7.719044446693516e-09
Position 13843: 7.645481452482225e-09
Position 13539: 7.321646898466684e-09
Position 606: 6.778428848709884e-09
Position 7225: 6.130628145798787e-09
Position 17913: 5.281023816451309e-09
Position 17253: 4.190657800653254e-09
Position 18389: 4.064421139575466e-09
Position 603: 3.38299608153874e-09
Position 708: 2.8500203628143112e-09
Position 823: 4.848890269944756e-10
Position 222: 8.179513104141301e-11
Position 21473: 4.118675877377482e-11
Position 21448: 1.1013292041050759e-11
Position 5115: 1.0457006474281794e-11
