Gene = Kr-h2
index = 1246
Annotated 5SS: [ 198 1687 1994 2184]
Annotated 3SS: [1423 1743 2049 2246]
SMsplice 5SS: [ 198 1687 1994 2184]
SMsplice 3SS: [1423 1743 2049 2246]
top_k =  1000
Partition function (log Z): 9.48863742929093

Sorted 5' Splice Sites (High to Low Probability):
Position 2184: 0.9991978150441579
Position 1687: 0.9984170604638
Position 1994: 0.990665537226971
Position 198: 0.9426303352366917
Position 990: 0.05254869042594633
Position 739: 0.0385806118343525
Position 1136: 0.03673580506905882
Position 2421: 0.03249659530544945
Position 1326: 0.018488944851465208
Position 635: 0.018338708778262876
Position 191: 0.016415329254469674
Position 1280: 0.014436141453941809
Position 756: 0.011250174257054824
Position 2469: 0.010628374535167674
Position 774: 0.008591046539965145
Position 2629: 0.007977792211265699
Position 1069: 0.0045497215625893315
Position 36: 0.004388726813694074
Position 750: 0.003531295127884333
Position 617: 0.0032313402459776285
Position 494: 0.0029475290081976977
Position 2040: 0.002775427993075491
Position 838: 0.0025610173044990424
Position 215: 0.0020384745353438567
Position 40: 0.0011317750247648614
Position 484: 0.0009287418927569298
Position 351: 0.000880078864042179
Position 1224: 0.0008773702492799482
Position 202: 0.0007896813170033032
Position 656: 0.000709692494305517
Position 541: 0.0006081707662329238
Position 1200: 0.0005746653858772924
Position 489: 0.0005604900889352711
Position 258: 0.0005325882382692261
Position 1063: 0.0004785117081417879
Position 1312: 0.00045011242069217686
Position 1691: 0.0004453326604433058
Position 2590: 0.0004223337952216189
Position 996: 0.0003472771140430576
Position 326: 0.0003460738096462076
Position 115: 0.0003126734770752958
Position 2573: 0.00028512918756111856
Position 1948: 0.00028093175464907435
Position 2632: 0.0002707610945065033
Position 1769: 0.00025895800997053584
Position 338: 0.00022638894275572765
Position 23: 0.00022249643899752088
Position 1888: 0.00020718959603927044
Position 779: 0.00020492350762614807
Position 627: 0.00016127816079516375
Position 8: 0.00015496368870267357
Position 886: 0.00015108033669736234
Position 479: 0.00014704194789293544
Position 1059: 0.0001427165462952908
Position 1140: 0.0001372280816822504
Position 1167: 0.00012743686719401696
Position 310: 0.00011686891800197196
Position 1574: 0.00011246856898020473
Position 2604: 9.561941608654367e-05
Position 842: 9.163009121617565e-05
Position 177: 8.680337177571713e-05
Position 862: 8.261911346597826e-05
Position 2581: 7.334664522265997e-05
Position 381: 7.300397328117736e-05
Position 1661: 5.737088810463814e-05
Position 869: 5.434090895411617e-05
Position 1928: 5.388522361402451e-05
Position 940: 5.281727560319724e-05
Position 919: 5.116457949824067e-05
Position 2026: 4.907619044419395e-05
Position 568: 4.690775778512853e-05
Position 1670: 4.5712809205118e-05
Position 2351: 4.451566499725897e-05
Position 539: 4.191795007789191e-05
Position 1858: 4.091722307778361e-05
Position 418: 4.029029272463034e-05
Position 2293: 3.789894775804232e-05
Position 844: 3.716647211037166e-05
Position 1836: 2.968309910344046e-05
Position 466: 2.745878839608341e-05
Position 2554: 2.7385598298667824e-05
Position 2425: 2.2693403134137283e-05
Position 2538: 1.8388266034595443e-05
Position 1386: 1.7567363917468103e-05
Position 84: 1.605602446402865e-05
Position 2877: 1.5060835690269435e-05
Position 1077: 1.4131996664205873e-05
Position 860: 1.3723024938098682e-05
Position 2188: 1.1842250694012839e-05
Position 1175: 1.117326819665078e-05
Position 140: 9.714520300785236e-06
Position 1825: 9.591998484907165e-06
Position 2170: 9.42732139313051e-06
Position 44: 9.1978661125881e-06
Position 1129: 8.864345023683589e-06
Position 1039: 7.730805276928956e-06
Position 2408: 7.394415212352712e-06
Position 1803: 6.078114393918857e-06
Position 472: 5.787093329561014e-06
Position 1646: 4.276717194045928e-06
Position 1843: 3.7996989822269554e-06
Position 1955: 3.678508484423207e-06
Position 1940: 3.5254794188880997e-06
Position 1875: 3.111689494385137e-06
Position 2881: 2.924857553379945e-06
Position 2773: 2.1816697846122675e-06
Position 819: 1.9723401442569484e-06
Position 1699: 1.362337630830484e-06
Position 34: 1.3039793192731736e-06
Position 2272: 1.2793784804422762e-06
Position 288: 1.0697746875119587e-06
Position 2070: 6.671033569221643e-07
Position 2647: 6.108895601881401e-07
Position 1638: 5.536574439493765e-07
Position 312: 5.457194170947434e-07
Position 1831: 5.247318278931967e-07
Position 291: 4.241828903159727e-07
Position 152: 4.0254896605425974e-07
Position 233: 3.615969165020336e-07
Position 1873: 2.9095868306998387e-07
Position 2902: 2.64601242158472e-07
Position 2815: 1.6673367642450491e-07
Position 2908: 1.648889675291237e-07
Position 2067: 1.137712211209303e-07
Position 669: 1.0257826494903443e-07
Position 722: 9.812958824408156e-08
Position 2098: 8.040938182241811e-08
Position 2912: 5.604305278647235e-08
Position 2075: 4.5243622297487146e-08
Position 559: 3.912126572541228e-08
Position 2081: 5.3238188596394835e-09
Position 73: 3.308941065198663e-09
Position 2103: 3.600617987225301e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1743: 0.9946318191910838
Position 2246: 0.9869258293467078
Position 1423: 0.9416069308018467
Position 2049: 0.7544269289958125
Position 2101: 0.2372384431958062
Position 901: 0.0645729433289936
Position 267: 0.06357469618560617
Position 2688: 0.058763379006581164
Position 434: 0.05428770105653248
Position 350: 0.01918727741850709
Position 675: 0.01065498361069058
