Gene = Pi3K21B
index = 1379
Annotated 5SS: [ 524 2039]
Annotated 3SS: [1152 4145]
SMsplice 5SS: [ 524 2039 4823]
SMsplice 3SS: [1152 4145 4883]
top_k =  1000
Partition function (log Z): -7.86377146059008

Sorted 5' Splice Sites (High to Low Probability):
Position 2039: 0.9639631694904278
Position 524: 0.5591062588389486
Position 190: 0.32770610038648307
Position 3252: 0.2961846920970075
Position 194: 0.24178021714235018
Position 995: 0.08302883453332971
Position 365: 0.07461534276765626
Position 4776: 0.06535266016704314
Position 3134: 0.05097754308643481
Position 304: 0.04609859011284085
Position 2670: 0.03151373601636205
Position 75: 0.0313270561603918
Position 688: 0.016349448458412765
Position 3224: 0.015098104116058813
Position 1412: 0.01289949283405415
Position 278: 0.008839581935726188
Position 2030: 0.008771983283008636
Position 2686: 0.008596430401078747
Position 90: 0.008357467855109999
Position 1027: 0.007805753318911744
Position 4998: 0.007787881543272445
Position 1247: 0.00619982626940331
Position 3095: 0.006024311969499171
Position 7022: 0.0053523500054140204
Position 4065: 0.003916921033727638
Position 1317: 0.003909028591591527
Position 3494: 0.002782242217185621
Position 3521: 0.002655226566423369
Position 2847: 0.002210692839598954
Position 3899: 0.0019716797111039644
Position 5688: 0.0015948044475925128
Position 565: 0.0011792703941725907
Position 669: 0.0011667975113801912
Position 1704: 0.00110987180923668
Position 286: 0.001106206458811124
Position 243: 0.0009463410104189493
Position 881: 0.0007831310367677555
Position 1006: 0.0007590804489186187
Position 3754: 0.0006587398573483516
Position 2781: 0.0006387799039142149
Position 5484: 0.0006349650199913527
Position 582: 0.0006196448596364066
Position 362: 0.0005686317032504386
Position 404: 0.0004968036296485166
Position 528: 0.0003973303066830915
Position 4358: 0.0003956462086213255
Position 1346: 0.00038486369496846775
Position 4551: 0.0003576278507718678
Position 2085: 0.0003256077709168145
Position 1042: 0.0002833995256389032
Position 1519: 0.0002695830147627264
Position 77: 0.00026913867587403646
Position 818: 0.000252073536917
Position 2100: 0.0002363341415635868
Position 2469: 0.0002280143609331032
Position 1446: 0.0002155974833087412
Position 594: 0.000193151605394098
Position 255: 0.000185485951011216
Position 3006: 0.00015178342257354317
Position 282: 0.00014779518154137372
Position 407: 0.0001463575523783965
Position 136: 0.0001463053152016047
Position 1490: 0.00012032874042521661
Position 1530: 0.00010389144562387006
Position 2632: 0.00010383589601803392
Position 728: 0.00010073055432621772
Position 2799: 9.433990353863882e-05
Position 672: 9.389005168157168e-05
Position 268: 8.873040306102669e-05
Position 1861: 8.670373144459193e-05
Position 1449: 8.065355641117042e-05
Position 3289: 7.393587560194272e-05
Position 2601: 4.7184886640623186e-05
Position 274: 4.427980301768299e-05
Position 2607: 4.013933576520156e-05
Position 656: 3.750618385288414e-05
Position 302: 3.363325741073317e-05
Position 18: 3.2765067498607495e-05
Position 432: 2.6725593263420502e-05
Position 1015: 2.5214041364566204e-05
Position 250: 1.8313657690370314e-05
Position 799: 1.812915186592308e-05
