Gene = l(2)35Be
index = 1744
Annotated 5SS: [226]
Annotated 3SS: [274]
SMsplice 5SS: [226]
SMsplice 3SS: [274]
top_k =  1000
Partition function (log Z): -5.065105337390398

Sorted 5' Splice Sites (High to Low Probability):
Position 226: 0.9993644336520291
Position 44: 0.007564778255467631
Position 164: 0.00024824144515305316
Position 168: 0.00013867354850194503
Position 230: 9.519097629161873e-05
Position 17: 7.390153106276078e-05
Position 559: 3.9694062735995425e-05
Position 700: 3.1413028373569145e-05
Position 435: 2.2197975151817555e-05
Position 328: 1.7739708946569934e-05
Position 52: 1.5431504514491892e-05
Position 447: 4.503804509600598e-06
Position 361: 4.3614310665611645e-06
Position 304: 1.9065754781151347e-06
Position 741: 1.8420637134541533e-06
Position 510: 1.4469913703422133e-06
Position 713: 1.3216571859310277e-06
Position 297: 8.753531930620365e-07
Position 421: 7.888616115078665e-07
Position 126: 7.446879357903726e-07
Position 710: 6.718615401098864e-07
Position 253: 6.61577182085819e-07
Position 150: 6.26909857328732e-07
Position 725: 1.2584198766336513e-07
Position 637: 1.0833030991375774e-07
Position 546: 9.753567327973415e-08
Position 612: 1.553998213209183e-08
Position 620: 7.849660617769314e-09
Position 610: 3.2673164395139405e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 274: 0.6003043924798576
Position 278: 0.3763177830517099
Position 355: 0.012961195983656183
Position 125: 0.007625264648264465
Position 323: 0.004282833655405684
Position 546: 0.002536430104062246
Position 447: 0.0017052714636891296
Position 820: 0.0006269178155181528
Position 327: 0.00036262470754114414
Position 312: 0.00023499757306373668
Position 435: 0.00020204701753803858
Position 510: 0.00019111107804323487
Position 585: 8.119764692974171e-05
Position 797: 4.539722936313645e-05
Position 372: 4.047438834069395e-05
Position 477: 3.556231576503554e-05
Position 663: 3.056437508536389e-05
Position 134: 1.0181827518188269e-05
Position 672: 7.756120972518656e-06
Position 150: 7.1730369377767515e-06
Position 582: 6.048939624965063e-06
Position 245: 5.446621147202402e-06
Position 403: 4.596485659235136e-06
Position 741: 2.0910396739797823e-06
Position 675: 1.826222742137326e-06
Position 253: 1.423798691576688e-06
Position 131: 8.201745309829788e-07
Position 781: 1.3305833342480144e-07
Position 247: 9.288125559088904e-08
Position 725: 8.64904745796056e-08
Position 687: 2.3686026638366228e-08
Position 207: 1.1064595268444646e-08
Position 233: 9.465350103682795e-09
Position 215: 7.661198355124896e-09
Position 226: 5.613729590875934e-09
Position 230: 4.814476849645206e-09
Position 754: 1.2776613718130846e-09
Position 172: 1.1638781212724714e-11
Position 209: 1.731178315089129e-12
