Gene = Acp26Ab
index = 9
Annotated 5SS: [56]
Annotated 3SS: [116]
SMsplice 5SS: [56]
SMsplice 3SS: [116]
top_k =  1000
Partition function (log Z): -7.699534503616404

Sorted 5' Splice Sites (High to Low Probability):
Position 56: 0.9502600259430302
Position 64: 0.026084682361048037
Position 79: 0.018130355673776542
Position 60: 0.004220345894576434
Position 440: 0.0008685763962951575
Position 418: 0.0007648131795734968
Position 40: 0.0003936697345017921
Position 88: 0.0003007298383225186
Position 330: 0.0002930292052460094
Position 332: 0.00019237077722816646
Position 197: 5.429131771340746e-05
Position 246: 3.01818936680944e-05
Position 236: 2.4863718903636642e-05
Position 455: 2.0718696256116357e-05
Position 211: 1.6800055542732423e-05
Position 234: 1.1257887837583914e-05
Position 248: 9.96962532349955e-06
Position 3: 3.4859133664508705e-06
Position 169: 1.910212183903251e-06
Position 493: 1.7787493840541068e-06
Position 16: 1.7593683235467805e-06
Position 174: 1.2948874582879123e-06
Position 102: 7.521730020735418e-07
Position 312: 4.852932242807278e-07
Position 164: 1.1547797251772864e-07
Position 305: 1.0805783858796367e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 116: 0.80609066893148
Position 141: 0.1681710297251617
Position 169: 0.004093753741196474
Position 493: 0.003900006569496909
Position 102: 0.0030614791050889733
Position 290: 0.0028999765735652754
Position 234: 0.0027933305560289695
Position 174: 0.0027693519597352056
Position 193: 0.0018571136514244388
Position 473: 0.0017942650983070615
Position 186: 0.0012892177286755683
Position 162: 0.0012502812399415857
Position 287: 0.0007038715193792407
Position 418: 0.0004998313604155729
Position 373: 0.00011096522344435085
Position 241: 7.17038241538725e-05
Position 326: 6.228372264412747e-05
Position 530: 5.95118830916448e-05
Position 389: 5.045496972786022e-05
Position 527: 4.922316336832807e-05
Position 543: 4.80322135940676e-05
Position 246: 3.111174229592622e-05
Position 216: 1.2430951622356995e-05
Position 197: 1.0460870648429918e-05
Position 340: 4.34423466505933e-06
Position 428: 2.544686158753761e-06
Position 312: 6.899239104008026e-07
Position 86: 2.363931743000854e-07
Position 68: 8.520642329671372e-08
Position 328: 5.952187307928157e-08
Position 60: 3.7623346920560744e-08
Position 330: 8.921420822156932e-09
Position 545: 7.551673808679731e-09
Position 88: 1.4987405503134259e-09
Position 78: 4.4572171760384083e-10
