Gene = Aef1
index = 15
Annotated 5SS: [ 280 2588]
Annotated 3SS: [1602 2650]
SMsplice 5SS: [ 280 2588]
SMsplice 3SS: [1602 2650]
top_k =  1000
Partition function (log Z): -5.103999791261602

Sorted 5' Splice Sites (High to Low Probability):
Position 2588: 0.9971570323045272
Position 280: 0.780148509167399
Position 1461: 0.3183839979596375
Position 1225: 0.1353683808209171
Position 3363: 0.11013199732943642
Position 3377: 0.10590044025956082
Position 626: 0.08109773046293976
Position 1709: 0.07053241289745453
Position 1506: 0.050577621806186385
Position 1086: 0.0358396586243205
Position 3381: 0.025975642158334356
Position 41: 0.025350227507036402
Position 851: 0.02222710789867099
Position 1675: 0.019831564089757614
Position 3397: 0.018702123243947745
Position 1679: 0.01590174488044489
Position 455: 0.013540960007913399
Position 1513: 0.011753223839653541
Position 315: 0.00980983181413259
Position 827: 0.008900902529891811
Position 29: 0.008859226385017115
Position 678: 0.008819733162256049
Position 1853: 0.006324102410209544
Position 3555: 0.005926701616866418
Position 461: 0.005743301854803546
Position 831: 0.004998507327099503
Position 3103: 0.004476291447070025
Position 3495: 0.0036313906017350324
Position 957: 0.003173161391333165
Position 562: 0.003037864797052977
Position 3499: 0.00277192973835849
Position 1465: 0.0015401945367501122
Position 4402: 0.0014123461231667963
Position 2314: 0.0013137947083662015
Position 3852: 0.001086966655023186
Position 1501: 0.0010283937716163876
Position 220: 0.0009945660293098181
Position 4364: 0.0008543000890247175
Position 465: 0.0008392200037302433
Position 3591: 0.0007882579135731244
Position 1262: 0.0007637914953014239
Position 3372: 0.0007012770302210135
Position 3801: 0.000679834546595562
Position 1220: 0.0006473649123773496
Position 720: 0.000453755755058398
Position 869: 0.00040004742982055984
Position 1078: 0.00027188766940074323
Position 284: 0.0002615967867712607
Position 1324: 0.0002321250543399384
Position 3316: 0.00022877080291701222
Position 790: 0.00022288110079685269
Position 4485: 0.00018479117101304987
Position 3391: 0.00016296507072141673
Position 425: 0.00015296734866819469
Position 65: 0.00013617919623448257
Position 3412: 0.00013285941159138373
Position 206: 0.00012178694569856654
Position 3833: 0.00010263237405265234
Position 1252: 9.449192000935972e-05
Position 2600: 9.297550264097402e-05
Position 2784: 8.351777615830681e-05
Position 377: 7.421869939144996e-05
Position 786: 6.5038001610069e-05
Position 2572: 6.175037696490022e-05
Position 3424: 5.954656316981554e-05
Position 1082: 5.675562307865032e-05
Position 1700: 5.1786528721197556e-05
Position 1429: 4.658090693195672e-05
Position 10: 4.566056818382527e-05
Position 2252: 4.113470515737547e-05
Position 2404: 3.25627751670685e-05
Position 20: 2.8221814299641283e-05
Position 469: 2.3867956350338345e-05
Position 683: 2.31045406217616e-05
Position 126: 1.426299620705711e-05
Position 985: 1.2468629548125168e-05
Position 81: 1.2355071009480642e-05
Position 290: 1.0818037260972447e-05
Position 935: 9.906288607466633e-06
Position 327: 8.819092756779025e-06
Position 901: 7.640038393487933e-06
Position 309: 7.077277244044785e-06
Position 925: 5.687312642956511e-06
Position 490: 4.892122443524757e-06
Position 379: 4.666306781192066e-06
Position 736: 3.7352969418997403e-06
Position 560: 3.701629972355489e-06
Position 1335: 3.6855069433198917e-06
Position 292: 3.5474915080037515e-06
Position 467: 3.441665281021557e-06
Position 2443: 2.7099273111949033e-06
Position 1463: 2.4084368407326834e-06
Position 1101: 1.8719687648759994e-06
Position 3401: 1.8194443428609196e-06
Position 2755: 1.6107497671271865e-06
Position 367: 1.3110733332271221e-06
Position 459: 1.2046894868983018e-06
Position 3394: 6.81870635255921e-07
Position 2667: 5.676582922588665e-07
Position 506: 4.1211050362155894e-07
Position 3439: 3.548040294033723e-07
Position 477: 3.543971307785693e-07
Position 319: 2.448717438732435e-07
Position 3379: 2.209680693358691e-07
Position 2743: 2.1296382504062677e-07
Position 341: 1.0262709123027621e-07
Position 317: 9.501616897728892e-08
Position 3246: 9.465343773105012e-08
Position 1013: 9.301819130579755e-08
Position 512: 1.572990427801896e-08
Position 566: 1.3848064108893277e-08
Position 509: 1.1812789143258684e-08
Position 3157: 7.264861670950518e-09
Position 494: 6.279477447814167e-09
Position 630: 7.923587406633518e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 2650: 0.9961671774334874
Position 1602: 0.6698447311575304
Position 1296: 0.31124940877939716
Position 1739: 0.12821258087547754
