Gene = Reph
index = 1418
Annotated 5SS: [3277 3512 3917]
Annotated 3SS: [3423 3587 3979]
SMsplice 5SS: [ 186 3512 3917 4980]
SMsplice 3SS: [3423 3587 3979 5043]
top_k =  1000
Partition function (log Z): -0.7015002480052892

Sorted 5' Splice Sites (High to Low Probability):
Position 3512: 0.9900954422455569
Position 3917: 0.9847117196922162
Position 4980: 0.873411296501213
Position 645: 0.44439684340099456
Position 186: 0.4428252729357887
Position 3108: 0.320383395617899
Position 1442: 0.20849713071498546
Position 1133: 0.12271177846333674
Position 1118: 0.06970722548664307
Position 241: 0.054632382543783
Position 3277: 0.04696536294177713
Position 1455: 0.03113847934575366
Position 5593: 0.028898555695571204
Position 4200: 0.028640195050651577
Position 4685: 0.021261655149039466
Position 222: 0.020896010781387597
Position 2171: 0.019270841451097472
Position 4430: 0.01573832180684227
Position 855: 0.014290094227275986
Position 2589: 0.012225781315326497
Position 226: 0.011842891750174625
Position 1550: 0.007421034150596123
Position 1890: 0.0068275583488909015
Position 2153: 0.005167379346867574
Position 204: 0.004596078147424081
Position 1145: 0.004419442732817705
Position 705: 0.004304677767514812
Position 803: 0.003938953057009979
Position 475: 0.0034219215260560495
Position 3161: 0.0033558766775612183
Position 5918: 0.003095024603730482
Position 1439: 0.0028598412500700364
Position 3139: 0.002829672224027637
Position 1248: 0.0028290512284164984
Position 31: 0.002383802872669366
Position 3124: 0.002148598301298597
Position 851: 0.002116266921458371
Position 4059: 0.001996268841491607
Position 601: 0.001892591209085833
Position 1908: 0.0018494740711291228
Position 3571: 0.0017199865416554236
Position 1711: 0.001716380619456703
Position 4439: 0.001700597996454343
Position 2398: 0.0016321235211315197
Position 673: 0.0014422371521251329
Position 2852: 0.0014101007505930173
Position 2512: 0.0013829298618431578
Position 2858: 0.0013549903544350496
Position 3213: 0.0013360339188162888
Position 416: 0.0011646413205768195
Position 1437: 0.0011226370285802247
Position 3126: 0.0011065210521129768
Position 5217: 0.001006254356713745
Position 1511: 0.0010000326860180638
Position 3516: 0.0009899996750579495
Position 2222: 0.0008966384691521186
Position 5741: 0.0007825415829008734
Position 5322: 0.0007799702416143423
Position 477: 0.0007345778427952049
Position 660: 0.0007259306649154229
Position 2403: 0.0007104924660255254
Position 359: 0.000564342113100633
Position 1680: 0.0005433310501709704
Position 4494: 0.0005356857000058004
Position 3105: 0.000529265373921027
Position 1823: 0.000506353502045988
Position 1593: 0.0005002185957559939
Position 497: 0.0004968780936396222
Position 514: 0.0004906033347668349
Position 2161: 0.0004777779596007995
Position 957: 0.00046430744901111487
Position 230: 0.00044738066722632203
Position 3664: 0.0004289375890541744
Position 2551: 0.0004169277974110146
Position 3102: 0.0004079839760823005
Position 5170: 0.0004061393226879113
Position 4306: 0.00039551024220414884
Position 859: 0.000387278746162807
Position 5760: 0.00038165582083267516
Position 4293: 0.00036690602103873094
Position 2573: 0.00036679384933575306
Position 4295: 0.0003652878070297315
Position 27: 0.0003245471643648831
Position 2214: 0.00031332512781908294
Position 5276: 0.00028750292119568514
Position 6225: 0.00026695158189366766
Position 232: 0.0002665777721492432
Position 2013: 0.0002487678314746802
Position 6003: 0.00024567648742338693
Position 2225: 0.00024115428270073312
Position 2237: 0.00023890059831270418
Position 236: 0.0002277314961127059
Position 2247: 0.00021413773664128428
Position 1110: 0.00020889703249530654
Position 2903: 0.00019612010173397952
Position 1645: 0.00018704778951959778
Position 1226: 0.00018623291226671168
Position 978: 0.0001654295469771404
Position 4148: 0.0001615944360806839
Position 500: 0.00014939931690831435
Position 4768: 0.0001386918402955529
Position 6205: 0.00013853629436029702
Position 342: 0.00013459404389707625
Position 2840: 0.0001321643442778643
Position 1370: 0.0001178261893849766
Position 2575: 0.00011753639041894341
Position 940: 0.00010765879976850856
Position 1607: 0.00010427377303060965
Position 3921: 0.0001012391850035032
Position 2591: 9.080930559278235e-05
Position 5156: 8.897977272009505e-05
Position 677: 8.73085836356435e-05
Position 4164: 7.559333146756331e-05
Position 1154: 7.49695625273705e-05
Position 799: 7.49102335698553e-05
Position 2545: 7.041719336831173e-05
Position 2980: 6.984905670047167e-05
Position 5466: 6.970032634859894e-05
Position 489: 6.687357261446461e-05
Position 2060: 6.492390716069054e-05
Position 2120: 6.288867772774224e-05
Position 3496: 5.968046676011077e-05
Position 901: 5.627249802897914e-05
Position 3726: 5.549779416545381e-05
Position 409: 5.523693292557526e-05
Position 1191: 5.305204741891132e-05
Position 407: 5.2861969833584366e-05
