Gene = Mob2
index = 1282
Annotated 5SS: [ 9404 20456 35052 36654]
Annotated 3SS: [19398 34890 36556 36719]
SMsplice 5SS: [  340 35052 36654]
SMsplice 3SS: [34890 36556 36719]
top_k =  1000
Partition function (log Z): -4.8072300797699015

Sorted 5' Splice Sites (High to Low Probability):
Position 36654: 0.999601300005149
Position 35052: 0.9992403131007523
Position 340: 0.9973319570589871
Position 20456: 0.2749457637105784
Position 710: 0.09094833539030119
Position 20637: 0.08994245303262084
Position 3962: 0.07791396045363479
Position 8115: 0.07104070222084863
Position 36398: 0.049802079703094616
Position 20968: 0.047858336916863
Position 36811: 0.030626440349938524
Position 35653: 0.015132201179107038
Position 35338: 0.009914851112146211
Position 37478: 0.009283904844033858
Position 38884: 0.00818697766613965
Position 36921: 0.005499647565565436
Position 37471: 0.0039736202736752844
Position 38763: 0.0037255632777030675
Position 38374: 0.0022752389965695176
Position 38228: 0.0019682099756362604
Position 37376: 0.0019076615663003906
Position 36907: 0.001745357250176795
Position 37463: 0.0013257618462201711
Position 37842: 0.0008252424128126736
Position 37469: 0.0007106293534344195
Position 389: 0.0005591284454493093
Position 37852: 0.0005247280141107397
Position 37490: 0.0004911739401531722
Position 369: 0.0004549977145928444
Position 37475: 0.0004048047991377575
Position 75: 0.00026928552792953014
Position 37884: 0.000182870971687769
Position 38518: 0.00017260171586236188
Position 36774: 0.00012606280127801253
Position 219: 7.026638797010738e-05
Position 36864: 6.645654277065243e-05
Position 349: 5.668888457705856e-05
Position 37088: 5.214073307602358e-05
Position 174: 5.1626616788862074e-05
Position 178: 4.882363164429864e-05
Position 166: 4.14446069630458e-05
Position 215: 4.056692773067009e-05
Position 37872: 3.886143732206882e-05
Position 162: 3.451504806555304e-05
Position 421: 3.186697702074076e-05
Position 1730: 3.008589217286584e-05
Position 36870: 1.1015037682602876e-05
Position 344: 9.45153289979249e-06
Position 156: 9.303531157455396e-06
Position 170: 6.299424473768704e-06
Position 387: 5.944480267260794e-06
Position 37334: 5.820880926122943e-06
Position 7: 5.817827299339428e-06
Position 187: 5.765345598718998e-06
Position 223: 4.195150938459299e-06
Position 124: 3.935774634986688e-06
Position 191: 3.1973546924450206e-06
Position 197: 2.9378985162967376e-06
Position 43: 1.9557512082802836e-06
Position 122: 1.1688074120837446e-06
Position 217: 9.87294328633175e-07
Position 1344: 9.39143864097182e-07
Position 201: 8.492530524772139e-07
Position 1038: 7.391775812208066e-07
Position 37060: 7.134194128172408e-07
Position 37752: 6.703590501351033e-07
Position 1368: 6.448989553999959e-07
Position 144: 5.322136829543315e-07
Position 128: 4.525115069203355e-07
Position 81: 3.199524870698794e-07
Position 205: 3.1091607584310566e-07
Position 116: 2.134581585691206e-07
Position 323: 1.950437945342036e-07
Position 93: 1.892721688555385e-07
Position 36: 1.74565626549495e-07
Position 172: 1.641199961312912e-07
Position 138: 1.33444660740127e-07
Position 37276: 1.130427777310961e-07
Position 36787: 1.07210645499033e-07
Position 119: 1.0137837215399654e-07
Position 620: 8.330064816252687e-08
Position 535: 7.334133513441455e-08
Position 111: 5.6494377948423903e-08
Position 506: 4.497501980193346e-08
Position 182: 1.7079234746529863e-08
Position 284: 1.2044138297936067e-08
Position 472: 9.996276685689039e-09
Position 189: 7.802031277042073e-09
Position 432: 7.487526472453126e-09
Position 264: 6.190591513569273e-09
Position 393: 3.783308775885323e-09
Position 566: 3.0711843934373346e-09
Position 463: 2.918500336516524e-09
Position 195: 2.4589294468523252e-09
Position 489: 1.4373401818166976e-09
Position 480: 5.126300715343875e-10
Position 602: 2.1974149320715442e-10
Position 596: 9.086247457418045e-11
Position 20578: 2.36083473267691e-14
Position 9809: 9.527045003576639e-20
Position 8481: 7.49314449221201e-20
Position 8156: 5.3424633078590883e-20
Position 7849: 3.881873280736925e-20
Position 7494: 1.949573645806835e-20
Position 7319: 7.449192624748682e-21
Position 5379: 5.01769387970897e-21
Position 1364: 2.841202298620525e-21
Position 9404: 1.776500114334527e-21
Position 1627: 1.047802096337393e-21
Position 3515: 4.114666477465866e-22
Position 1326: 3.873822880802113e-22
Position 7372: 3.401982871656658e-22
Position 4693: 1.9624861684212816e-22
Position 7231: 1.1274493805986012e-22
Position 5175: 1.0715547832679952e-22
Position 3022: 1.0206356850041939e-22
Position 8313: 6.663395664806623e-23
Position 7050: 5.810858928224194e-23
Position 3028: 4.54037203447532e-23
Position 8350: 4.29951381730144e-23
Position 2429: 3.7762929031430945e-23
Position 2243: 2.900281209582959e-23
Position 1008: 2.8749295911754515e-23
Position 1252: 1.825348343306717e-23
Position 1348: 1.652785280561832e-23
Position 1330: 1.1177113184274806e-23
Position 1905: 9.022448929447004e-24
Position 751: 7.375440806817647e-24
Position 1595: 6.851802221080558e-24
Position 714: 6.739880049658917e-24
Position 831: 6.27230597389721e-24
Position 1059: 4.340601479363236e-24
Position 948: 3.455641377946249e-24
Position 1439: 2.5730200439376757e-24
Position 1022: 2.2036034394264845e-24
Position 849: 2.1592077681383746e-24
Position 1860: 1.9786158883424653e-24
Position 1145: 1.9396355652148123e-24
Position 733: 1.4535642310240232e-24
Position 1742: 1.4194473752206666e-24
Position 1034: 1.0240649221007884e-24
Position 1030: 9.778356567545987e-25
Position 4924: 9.710998986248416e-25
Position 874: 7.457937384091079e-25
Position 1032: 3.647581154546447e-25
Position 743: 2.6601894959940084e-25
Position 959: 1.9673421188332188e-25
Position 967: 1.8458488403131954e-25
Position 3958: 5.306496690393025e-26
Position 833: 1.5880882283261872e-26
Position 671: 1.447948032984028e-26
Position 1049: 1.1297686810023737e-26
Position 1155: 1.112644192578452e-26
Position 899: 1.0377833658500664e-26
Position 852: 9.670393577065022e-27
Position 981: 9.657095006058402e-27
Position 698: 8.550339712172554e-27
Position 1179: 6.55070184120179e-27
Position 974: 6.400303630079859e-27
Position 881: 6.376469473225215e-27
Position 896: 4.263531498954632e-27
Position 951: 3.862900076130376e-27
Position 1457: 2.5409836232855533e-27
Position 1503: 1.5160248744157132e-27
Position 837: 1.2288467861553227e-27
Position 1042: 1.1545820119518004e-27
Position 1227: 1.4637048170794649e-28
Position 1423: 4.462657766721523e-29
Position 844: 1.861768035397272e-31
Position 1044: 5.049244498084484e-32
