Gene = Hakai
index = 1206
Annotated 5SS: [ 468 1119]
Annotated 3SS: [ 570 1188]
SMsplice 5SS: [ 468 1119]
SMsplice 3SS: [ 597 1188]
top_k =  1000
Partition function (log Z): -3.4579377052715286

Sorted 5' Splice Sites (High to Low Probability):
Position 468: 0.9984661578153812
Position 1126: 0.4844019889350429
Position 699: 0.19497529238784492
Position 1123: 0.01490884629447271
Position 720: 0.002443964863709962
Position 1087: 0.0020791201388951795
Position 1083: 0.0016164925168434146
Position 801: 0.0003591039057805236
Position 815: 0.00033187375013546465
Position 1277: 0.0002810998784761496
Position 1286: 0.00026883609928583265
Position 752: 0.00022250250899100764
Position 864: 0.00019636633743085342
Position 1295: 0.00019565410682738564
Position 492: 0.0001506370511055915
Position 946: 0.00014163016771419465
Position 505: 0.00012175998235009573
Position 1777: 0.00010076483639047536
Position 472: 9.736017970898881e-05
Position 1729: 8.773186121311905e-05
Position 369: 7.269086100751464e-05
Position 1556: 5.5757202586303014e-05
Position 1100: 5.329966568389707e-05
Position 1464: 4.475522379910371e-05
Position 543: 4.15559944669862e-05
Position 905: 3.3294047606447976e-05
Position 897: 2.59517913464232e-05
Position 1470: 2.4139081425032692e-05
Position 686: 2.3535600687602565e-05
Position 1720: 2.189089174752664e-05
Position 1040: 2.1040474154537914e-05
Position 771: 1.994482174238065e-05
Position 1767: 1.4641410424782562e-05
Position 1019: 1.444701600683002e-05
Position 440: 1.4273346708185238e-05
Position 841: 1.146295765472254e-05
Position 428: 1.1156052389175117e-05
Position 452: 8.371530970630956e-06
Position 1298: 6.863243201613568e-06
Position 899: 5.543915083582135e-06
Position 873: 4.367472256810588e-06
Position 1273: 4.120698171154448e-06
Position 922: 3.621111800225489e-06
Position 883: 2.8775900525740856e-06
Position 1474: 2.150128568521721e-06
Position 1775: 1.2352306364707428e-06
Position 1619: 8.584444649889263e-07
Position 267: 7.509530176640669e-07
Position 495: 7.393421717114117e-07
Position 1289: 6.655994574796452e-07
Position 999: 4.53635796058754e-07
Position 249: 3.184845750255599e-07
Position 91: 3.025178949341726e-07
Position 119: 2.5536242946659705e-07
Position 1655: 1.8901908666773497e-07
Position 299: 1.646131264727805e-07
Position 97: 1.1600678730752752e-07
Position 189: 5.603317685973237e-08
Position 186: 3.9559827968794e-08
Position 383: 3.415525741303828e-08
Position 144: 3.3426726927986306e-08
Position 866: 1.8536882038488493e-08
Position 171: 1.4228997457927558e-08
Position 1538: 4.5586825521446015e-10
Position 844: 1.929859199499624e-11
