Gene = Mnn1
index = 1281
Annotated 5SS: [ 856 1374 2025 2898]
Annotated 3SS: [ 922 1562 2091 4664]
SMsplice 5SS: [ 856 1374 2025 2898 4419 4608]
SMsplice 3SS: [1046 1562 2091 4261 4497 4664]
top_k =  1000
Partition function (log Z): 2.3767034481908493

Sorted 5' Splice Sites (High to Low Probability):
Position 2898: 0.9945816132137051
Position 2025: 0.9913085790220302
Position 856: 0.9675269267686767
Position 1374: 0.878520954059297
Position 4419: 0.6761278782422676
Position 4608: 0.516416495132925
Position 5217: 0.3473228792215834
Position 2543: 0.29280644902118014
Position 4452: 0.18157721519696335
Position 5417: 0.17311316649019012
Position 236: 0.14362875813213705
Position 5464: 0.10143419944105313
Position 5480: 0.08294993309006585
Position 1350: 0.06757936514698219
Position 2683: 0.04218065286648025
Position 644: 0.03717748612575603
Position 3448: 0.036145425446401605
Position 4963: 0.029210749081275824
Position 6771: 0.018816521432649218
Position 4410: 0.01636298265395845
Position 2373: 0.014157033256551698
Position 2604: 0.01244629136089719
Position 2311: 0.009470361192306485
Position 1491: 0.00487809719230437
Position 1715: 0.004637038377303957
Position 4762: 0.004518557020617018
Position 2547: 0.004227690529698176
Position 1378: 0.004073477343124824
Position 1703: 0.004060513264194772
Position 4110: 0.003870190609417359
Position 4423: 0.003735701950443294
Position 5483: 0.0033716020447969713
Position 2584: 0.0033163246927438083
Position 3739: 0.0028744694192620306
Position 2467: 0.002838055006226732
Position 5410: 0.0028113788852088643
Position 4612: 0.00273704643135085
Position 825: 0.002285541215602576
Position 5198: 0.0022521797036426467
Position 1724: 0.0021155835408577803
Position 5429: 0.002080693613556211
Position 2563: 0.0020177566218859528
Position 2569: 0.0019243305615086219
Position 2187: 0.0018102963733904135
Position 6523: 0.0014564624131965798
Position 2342: 0.001300015364585174
Position 2173: 0.0011728998800483018
Position 3270: 0.0010696334254406768
Position 2321: 0.0010672823177078764
Position 1005: 0.0010035606768490559
Position 3927: 0.0009915988927257785
Position 3792: 0.0009562813865725649
Position 91: 0.0009034452762562585
Position 5441: 0.0008402749376814282
