Gene = KFase
index = 1241
Annotated 5SS: [332]
Annotated 3SS: [383]
SMsplice 5SS: [332]
SMsplice 3SS: [383]
top_k =  1000
Partition function (log Z): -9.496355832662063

Sorted 5' Splice Sites (High to Low Probability):
Position 332: 0.9342048282635559
Position 560: 0.13201348382326494
Position 49: 0.027838157127652974
Position 319: 0.01066822261773677
Position 572: 0.006787164697056887
Position 111: 0.002504397047477328
Position 1075: 0.001454694904497362
Position 267: 0.001364983838286133
Position 219: 0.0012270747110297974
Position 313: 0.0008290766985503551
Position 564: 0.0007361256931773208
Position 1280: 0.0006898664441775005
Position 797: 0.00028506195241740674
Position 207: 0.0002540593871056606
Position 181: 0.00024734119211712406
Position 372: 0.00021534648830025228
Position 1344: 0.0002106554354249541
Position 770: 0.00018085461587347932
Position 623: 0.00018069951642437826
Position 25: 0.00015051633286037116
Position 860: 0.00014450475441750223
Position 342: 0.00013516961903090152
Position 175: 0.00010408760555184868
Position 298: 9.9352143761236e-05
Position 447: 9.860830853053416e-05
Position 81: 9.27888751058584e-05
Position 451: 6.435888393346617e-05
Position 1124: 5.5530692335876887e-05
Position 1170: 5.3312082134188584e-05
Position 904: 4.75583739573143e-05
Position 11: 3.827161421929082e-05
Position 455: 3.3508374073011965e-05
Position 4: 3.265232850305795e-05
Position 1231: 3.120720164512813e-05
Position 168: 2.7318502196915545e-05
Position 732: 2.466827912357056e-05
Position 166: 2.197662223068441e-05
Position 1011: 2.090740622853914e-05
Position 1188: 1.8884471661460147e-05
Position 1182: 1.722914750612279e-05
Position 444: 1.256788526902022e-05
Position 63: 1.02315132063631e-05
Position 968: 8.424309772239797e-06
Position 579: 8.328972460043812e-06
Position 698: 5.794008459399696e-06
Position 1305: 2.6597829512132304e-06
Position 1203: 1.991294197006708e-06
Position 509: 1.166770119981044e-06
Position 799: 1.080341776609999e-06
Position 503: 1.0058066957903645e-06
Position 191: 8.197476180428599e-07
Position 1255: 8.04713593051958e-07
Position 1317: 7.678346701147172e-07
Position 419: 1.9643493270199766e-08
Position 463: 6.395001110094345e-09
Position 649: 4.295539660684766e-09
Position 824: 3.5861121388600435e-09
Position 461: 2.7480177052253887e-09
Position 1028: 2.5598563633994313e-09
Position 547: 1.1826973023293568e-09
Position 700: 7.098014313494476e-10
Position 1234: 6.01065062795146e-10
Position 922: 4.004483062389954e-10
Position 971: 2.680268746428466e-10
Position 703: 8.611629756259486e-11
Position 590: 4.6184374138285464e-11
Position 613: 2.6614559089827485e-11
Position 596: 1.2480163562061711e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 383: 0.9419116144759724
Position 622: 0.14411994460658814
Position 97: 0.01829564379422376
Position 175: 0.003982419492791552
Position 1279: 0.002388730503665265
Position 779: 0.0016992578400616249
Position 471: 0.0012642683048121068
Position 1258: 0.0009432576187440868
Position 1073: 0.0009219984496128113
Position 251: 0.0009062037028704805
Position 961: 0.0008708507327806113
Position 409: 0.0007769842140926148
Position 1330: 0.000744290502976169
Position 1226: 0.0005985009905487942
Position 181: 0.0005397122936252017
Position 124: 0.0005142017841133519
Position 1392: 0.0003932724137732154
Position 266: 0.0003312769031839708
Position 443: 0.0002729054639838238
Position 133: 0.00022743964652049227
Position 751: 0.00021907734460163412
Position 406: 0.0001552026218479536
Position 279: 0.0001544226059900503
Position 273: 0.0001402431187380355
Position 111: 0.0001397697878864108
Position 490: 0.00010646427562102338
Position 698: 8.352406571573688e-05
Position 330: 8.231579878791255e-05
Position 390: 6.660858703792897e-05
Position 327: 5.788523672058561e-05
Position 226: 3.7505955580828124e-05
Position 106: 3.442239817901022e-05
Position 70: 3.257249996581198e-05
Position 1283: 2.87751837914357e-05
Position 1011: 2.8553345258983054e-05
Position 1164: 2.345133425602326e-05
Position 637: 2.1165227696434097e-05
Position 1373: 2.1090403278822032e-05
Position 529: 1.969834104566105e-05
Position 1302: 1.8484683350319443e-05
Position 1348: 1.2605088158263483e-05
Position 218: 1.1784126586016272e-05
Position 304: 1.0541682102249642e-05
Position 1042: 1.0232228400158754e-05
Position 1356: 6.729274890637699e-06
Position 892: 6.041686068191973e-06
Position 478: 5.612612384909945e-06
Position 53: 4.645560754644012e-06
Position 75: 4.627625531043952e-06
Position 139: 4.025516036462902e-06
Position 649: 2.7910036144810993e-06
Position 990: 2.1918769287561877e-06
Position 532: 1.7186519715195826e-06
Position 784: 1.5563761488348167e-06
Position 1308: 8.227549750700575e-07
Position 81: 2.301506623687471e-07
Position 451: 1.8821708612219437e-08
Position 440: 9.372189586601458e-09
Position 306: 6.558762364948249e-10
Position 336: 9.688851127190807e-14
Position 359: 1.6450275561930633e-15
