Gene = Mtp
index = 1290
Annotated 5SS: [ 191 1605 2591 3191 3426]
Annotated 3SS: [ 804 1659 2649 3257 3483]
SMsplice 5SS: [ 191 1605 2591 3191 3426]
SMsplice 3SS: [ 600 1659 2649 3257 3483]
top_k =  1000
Partition function (log Z): 11.879987445514862

Sorted 5' Splice Sites (High to Low Probability):
Position 2591: 0.999054669242478
Position 3426: 0.996057335825722
Position 3191: 0.9931021844078555
Position 1605: 0.9778216322045902
Position 191: 0.9752827292415214
Position 1734: 0.07680319407146345
Position 2288: 0.04785137281619142
Position 456: 0.047789384078531685
Position 433: 0.046659018320936024
Position 2971: 0.0444188806433939
Position 2251: 0.04234905652025511
Position 2835: 0.02854901517448236
Position 451: 0.0222243428853744
Position 2113: 0.018972241889771906
Position 394: 0.011495046838129462
Position 1978: 0.009401415581536468
Position 736: 0.009290837945660452
Position 1210: 0.009278182301028403
Position 981: 0.008628922358514993
Position 222: 0.007883780183157807
Position 742: 0.007245109325367696
Position 409: 0.006654193843905299
Position 1821: 0.004841135349626744
Position 492: 0.004507526353987304
Position 1609: 0.004410304650058957
Position 195: 0.0032879217294015176
Position 693: 0.0026977283636010346
Position 46: 0.0026752908972364656
Position 2845: 0.002551680308194389
Position 3141: 0.0023724326240096294
Position 1068: 0.0023084781758679262
Position 1738: 0.0022938975709544318
Position 469: 0.002214072607791319
Position 1002: 0.0021314364785630503
Position 2938: 0.0019575367871386817
Position 1825: 0.0016871532772545147
Position 385: 0.0016744371117771032
Position 2929: 0.0015046655637325124
Position 1089: 0.0013332390740230504
Position 400: 0.001277903297118794
Position 260: 0.001257371926264266
Position 2958: 0.0007321210180035418
Position 2888: 0.0006711655369460761
Position 1242: 0.0006369812383833913
Position 867: 0.0005889589750605051
Position 3195: 0.000512958866518308
Position 2713: 0.000509638994426898
Position 720: 0.00047210796000576817
Position 1838: 0.00044510779884944816
Position 2135: 0.0003844868060461657
Position 1224: 0.0003666068522687739
Position 420: 0.0003609825329247638
Position 1851: 0.00035667895779644163
Position 2560: 0.0002838551672802954
Position 445: 0.0002781295032858967
Position 1541: 0.00026815500163781516
Position 474: 0.00024892840664356034
Position 2931: 0.00023806677035748353
Position 2724: 0.00022652683743495908
Position 755: 0.0002184647835810047
Position 2989: 0.0002148370850610953
Position 2994: 0.0001771938897772151
Position 3542: 0.00016062468330185257
Position 2996: 0.00015357459433136184
Position 1569: 0.00014648217436956878
Position 2726: 0.00013811879304389768
Position 1338: 0.00012127954361967465
Position 1585: 0.00010910302716975596
Position 1214: 0.00010888698569299798
Position 2907: 0.00010732726305623968
Position 1314: 0.00010707092629450341
Position 971: 9.744286248194327e-05
Position 3430: 9.382605976650515e-05
Position 1444: 6.365585555004957e-05
Position 801: 6.236039754717697e-05
Position 264: 6.0187828351619006e-05
Position 529: 5.42879007361336e-05
Position 1284: 5.3844101660433443e-05
Position 3634: 5.0729143964152484e-05
Position 2160: 4.949253770836046e-05
Position 1810: 4.944779745158502e-05
