Gene = YL-1
index = 1603
Annotated 5SS: [245 438 815]
Annotated 3SS: [304 513 873]
SMsplice 5SS: [245 438 815]
SMsplice 3SS: [304 513 873]
top_k =  1000
Partition function (log Z): 3.020474037606279

Sorted 5' Splice Sites (High to Low Probability):
Position 438: 0.9967142156724834
Position 245: 0.9803113007285349
Position 815: 0.9670149214437943
Position 1416: 0.05891312752097867
Position 1080: 0.03630874752019628
Position 819: 0.014984909065497163
Position 1034: 0.009316252908992656
Position 730: 0.0048247819258662415
Position 1516: 0.004139793404092291
Position 208: 0.0032144346521137345
Position 1397: 0.002195807987231422
Position 1528: 0.0019104564520192123
Position 1381: 0.0012537402700023097
Position 4: 0.0011444434499867494
Position 51: 0.0006786768339308392
Position 1305: 0.000404487401236419
Position 1519: 0.00039752984699712135
Position 586: 0.0003900135024130752
Position 17: 0.00025072270980380144
Position 1050: 0.00022164948546478746
Position 1159: 0.00018036415502123096
Position 619: 0.0001626903732571022
Position 1008: 0.0001580927974287491
Position 1318: 0.00014416445535078804
Position 581: 5.859246767624346e-05
Position 1556: 5.568860007341143e-05
Position 1542: 5.1443402976652714e-05
Position 412: 4.4583168237106554e-05
Position 34: 4.319711992679126e-05
Position 200: 3.0372428000623485e-05
Position 417: 2.451293779523414e-05
Position 471: 1.3400985662298065e-05
Position 414: 9.110971902508225e-06
Position 578: 8.986207390422281e-06
Position 1082: 6.596683854729661e-06
Position 1576: 6.354271402548733e-06
Position 736: 4.493090327486326e-06
Position 696: 3.695311322873576e-06
Position 913: 3.274496260685889e-06
Position 929: 2.7956009710558095e-06
Position 88: 2.4451680204101845e-06
Position 1467: 1.6581038155058161e-06
Position 605: 1.3460187702008315e-06
Position 1135: 1.254408237560851e-06
Position 495: 9.204314379472111e-07
Position 369: 1.6657060893636178e-07
Position 327: 1.3789008212718068e-07
Position 1580: 1.3493841276392766e-07
Position 1453: 1.0120885273992793e-07
Position 346: 9.110899036530861e-08
Position 330: 6.037413191346339e-08
Position 484: 3.909222476726264e-08
Position 486: 1.1380070981868056e-09
Position 529: 2.7432796208237915e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 513: 0.9963112813483704
Position 304: 0.9827797203187617
Position 873: 0.9773064309035244
Position 1463: 0.06505857960059641
Position 1147: 0.035466381645446084
Position 884: 0.007042595029942081
Position 1576: 0.005198550404822539
Position 1106: 0.004910783906537693
Position 1181: 0.0020075715351776046
Position 72: 0.0013228789269233829
Position 1599: 0.001172810837751263
Position 1602: 0.001051654416789437
Position 875: 0.0007884511484541908
Position 346: 0.0006324577019840477
Position 1184: 0.000591913187023604
Position 1238: 0.0004014875267618721
Position 1224: 0.00040046587785151454
Position 1467: 0.00034552268066231494
Position 694: 0.00034013170074885014
Position 312: 0.0002801998834641945
Position 156: 0.00025391453071694364
Position 1090: 0.00023296907156243935
Position 1381: 0.00020145751295594605
Position 1415: 0.00018625612232172066
Position 1556: 0.000176157256704755
Position 1079: 0.00015766519194208227
Position 1623: 0.00013557388373686358
Position 522: 0.00011503806841136135
Position 88: 0.00010307835505971964
Position 972: 7.927835916061841e-05
Position 1638: 6.492728615598867e-05
Position 546: 6.491189282282982e-05
Position 529: 6.254274132024931e-05
Position 1119: 5.852068702409189e-05
Position 1247: 5.485181053457425e-05
Position 1019: 4.869011343905666e-05
Position 1626: 4.7699404758407074e-05
Position 672: 2.5235198842205737e-05
Position 282: 2.173631172730119e-05
Position 173: 1.0333433001588507e-05
Position 1195: 1.0030956351170521e-05
Position 567: 9.151614807320008e-06
Position 1061: 8.375190072861193e-06
Position 1123: 8.158075351959822e-06
Position 1155: 7.256593689874962e-06
Position 666: 7.115671874417925e-06
Position 923: 6.450805140675343e-06
Position 714: 6.144348268928361e-06
Position 537: 5.3424487025528395e-06
Position 324: 5.318715419048825e-06
Position 759: 3.5509598420052963e-06
Position 726: 3.1925767460905113e-06
Position 1526: 2.67745338495918e-06
Position 893: 2.598232515309472e-06
Position 318: 2.3899238135240725e-06
Position 380: 2.0529070384036465e-06
Position 905: 2.0150009847192508e-06
Position 723: 1.937781971884619e-06
Position 762: 9.495999581977009e-07
Position 1390: 7.787408450291531e-07
Position 729: 6.562769479312771e-07
Position 899: 5.899882268257459e-07
Position 218: 5.137589669901028e-07
Position 177: 4.836782940949171e-07
Position 1034: 4.1589401816531533e-07
Position 983: 4.039056545411073e-07
Position 696: 3.4369137657786683e-07
Position 902: 3.2227573969486745e-07
Position 179: 2.863485698117128e-07
Position 1251: 1.3888185618695366e-07
Position 356: 1.0925627283343107e-07
Position 796: 7.879636663459109e-08
Position 1202: 7.039311026901863e-08
Position 765: 4.8328241112501727e-08
Position 221: 4.6410914350849607e-08
Position 1261: 3.908353117354919e-08
Position 428: 1.5915864464313367e-08
Position 384: 8.410432084142479e-09
Position 182: 4.8874413726711316e-09
Position 828: 3.277660863440786e-09
Position 437: 1.998659724844669e-09
Position 843: 1.5383291099290188e-09
Position 386: 1.2470757466636149e-09
Position 401: 6.855281880155262e-10
Position 792: 2.4318283483835443e-10
Position 741: 2.412415391948511e-10
Position 320: 7.031694237698254e-11
Position 365: 5.6480389320220724e-11
Position 774: 5.623887903999264e-11
Position 395: 1.3196475448771624e-11
Position 230: 5.179686043684679e-12
Position 236: 3.7963888850665315e-12
Position 228: 1.228331948323324e-12
Position 840: 8.68222216259014e-13
Position 836: 7.864753648005782e-13
Position 245: 2.234697604288981e-13
Position 249: 4.649930512549772e-16
