Gene = Dysb
index = 1142
Annotated 5SS: [875]
Annotated 3SS: [932]
SMsplice 5SS: [875]
SMsplice 3SS: [932]
top_k =  1000
Partition function (log Z): -3.1712946532620223

Sorted 5' Splice Sites (High to Low Probability):
Position 875: 0.99900877180684
Position 506: 0.030850497970702082
Position 1096: 0.008588943331216927
Position 596: 0.00788132520358073
Position 199: 0.003097039785589393
Position 647: 0.002197480387812934
Position 275: 0.0016833258081535157
Position 1102: 0.000934165469937659
Position 1272: 0.0008675606370405104
Position 233: 0.0005948996942037327
Position 518: 0.00030566661784583814
Position 1082: 0.00022202473838735977
Position 571: 0.00018165605556454421
Position 849: 0.00015371806351801066
Position 879: 0.00014953604252586382
Position 1042: 9.363654382250035e-05
Position 1354: 4.3593377068642885e-05
Position 1072: 3.5763343574645225e-05
Position 160: 3.271545160661445e-05
Position 660: 3.161749515698654e-05
Position 540: 3.1565485014611515e-05
Position 992: 3.152187857677232e-05
Position 645: 3.092042639546435e-05
Position 1094: 3.081729788015029e-05
Position 221: 2.9178552250385064e-05
Position 203: 2.8008532532115214e-05
Position 678: 2.151129980416145e-05
Position 1348: 1.9059313175597084e-05
Position 296: 1.6231435863446492e-05
Position 337: 8.691784952022383e-06
Position 365: 5.6170927785985175e-06
Position 1175: 5.411909582874266e-06
Position 521: 5.132758209104642e-06
Position 140: 4.3740015636543006e-06
Position 197: 4.000838967428976e-06
Position 1266: 3.3909730998012764e-06
Position 79: 2.3819022701365447e-06
Position 371: 1.8082746193421988e-06
Position 726: 1.7890786810593383e-06
Position 355: 1.5085685445012627e-06
Position 1379: 1.3496562866116414e-06
Position 111: 1.337352450697391e-06
Position 282: 8.102493472721706e-07
Position 1327: 7.836996469688242e-07
Position 279: 6.889369202833393e-07
Position 311: 4.1757897363144336e-07
Position 603: 2.944173333117856e-07
Position 344: 2.3152855503128464e-07
Position 98: 2.0115037113103281e-07
Position 971: 1.8033191080683824e-07
Position 955: 1.2292693323060212e-07
Position 1377: 1.1198413721799208e-07
Position 1342: 7.569137802256725e-08
Position 814: 6.613612623489899e-08
Position 974: 1.1053266399661018e-08
Position 911: 1.9491342295854447e-09
Position 101: 4.2082341995129417e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 932: 0.9949868435972774
Position 563: 0.020689537347452103
Position 768: 0.018485254768168844
Position 1194: 0.006860589189343245
Position 948: 0.004761048469256121
Position 1365: 0.002483867290366647
Position 324: 0.0016176678552566378
Position 570: 0.00099706107404346
Position 675: 0.0008641498126966005
Position 774: 0.0008398467503279331
Position 726: 0.0006075043794639993
Position 1377: 0.0005059737532441077
Position 1311: 0.00044413744231897284
Position 1272: 0.00030367919054492115
Position 609: 0.00028321326791474447
Position 1425: 0.00023418616311850815
Position 547: 0.00021603554345195767
Position 777: 0.00017535627066273657
Position 588: 0.00015692726818297025
Position 1248: 0.00015268088578471113
Position 371: 0.0001015994686091744
Position 699: 9.779020706304254e-05
Position 405: 9.609955399686878e-05
Position 402: 9.399404750445524e-05
Position 344: 9.388877622323598e-05
Position 798: 9.373455672912895e-05
Position 742: 7.980729523059948e-05
Position 780: 7.734782155973916e-05
Position 290: 6.530079662960759e-05
Position 275: 6.315453020747374e-05
Position 361: 6.223539792675223e-05
Position 287: 5.403225304595076e-05
Position 311: 5.2370154825633984e-05
Position 678: 5.2059974840492296e-05
Position 735: 5.151912564060521e-05
Position 684: 4.92015648013311e-05
Position 747: 4.431792353985375e-05
Position 1342: 3.980977421889029e-05
Position 723: 3.2582998030979075e-05
Position 293: 3.1846333417459054e-05
Position 705: 3.0729561777128915e-05
Position 1327: 2.8890086746653043e-05
Position 603: 2.392451259684584e-05
Position 792: 2.2895560843010715e-05
Position 1348: 1.4258835811997681e-05
Position 600: 1.135278925153981e-05
Position 447: 1.1271369336355488e-05
Position 624: 1.0247588752940437e-05
Position 1061: 1.0171015229256885e-05
Position 475: 1.0169135280142313e-05
Position 1212: 9.549001733882521e-06
Position 426: 9.512968768373794e-06
Position 621: 8.355942786720834e-06
Position 1354: 7.487257860984521e-06
Position 810: 5.806871065553088e-06
Position 480: 4.045664038570218e-06
Position 645: 3.090303146749713e-06
Position 521: 2.9572131831780102e-06
Position 1094: 2.9145061759444878e-06
Position 1082: 2.7413084098299934e-06
Position 337: 1.961480632612906e-06
Position 390: 1.7486064031360192e-06
Position 438: 1.6703148963318162e-06
Position 658: 1.651097600324819e-06
Position 224: 1.2786604444105107e-06
Position 642: 8.635480621599352e-07
Position 955: 8.518623839330456e-07
Position 1003: 8.01235956477776e-07
Position 296: 7.210163617034471e-07
Position 983: 5.298055941334048e-07
Position 492: 4.0329265155964445e-07
Position 140: 3.964557729780144e-07
Position 518: 3.1974858351418615e-07
Position 183: 2.465670106826623e-07
Position 132: 2.1638501870200336e-07
Position 992: 1.821645415931968e-07
Position 195: 1.453463507081854e-07
Position 858: 1.4417273560609244e-07
Position 497: 1.3481291632830067e-07
Position 137: 1.3037304282449157e-07
Position 660: 1.0043814860549593e-07
Position 967: 7.490606962901395e-08
Position 129: 6.35438531132114e-08
Position 672: 5.8509187973926855e-08
Position 911: 4.6676550990755986e-08
Position 630: 3.5524543180818835e-08
Position 971: 3.336290398927231e-08
Position 221: 2.2605125001996767e-08
Position 435: 2.183729913092514e-08
Position 837: 1.8093623704891242e-08
Position 150: 1.4550879953172322e-08
Position 485: 1.0608299106227685e-08
Position 203: 1.0078291460435661e-08
Position 1091: 6.714831055565529e-09
Position 299: 4.969343856305925e-09
Position 153: 1.0405933357213534e-10
Position 229: 2.732198821324444e-11
Position 233: 5.560601638793889e-12
Position 171: 3.5211186005466366e-12
Position 506: 1.475244595933078e-14
