Gene = Tap42
index = 1548
Annotated 5SS: [230]
Annotated 3SS: [299]
SMsplice 5SS: [230]
SMsplice 3SS: [299]
top_k =  1000
Partition function (log Z): -6.885959401335468

Sorted 5' Splice Sites (High to Low Probability):
Position 230: 0.9851749748056206
Position 357: 0.0693638965479734
Position 1012: 0.02716546064442087
Position 234: 0.006583974198323391
Position 393: 0.0018000941660982796
Position 564: 0.00139686111788011
Position 1281: 0.0009827647471771484
Position 612: 0.00097460490767288
Position 752: 0.0007575187099451062
Position 1032: 0.0005943258506570525
Position 117: 0.0005841783997603639
Position 766: 0.0004722747987496673
Position 533: 0.0003683184248996374
Position 677: 0.0002337883388432186
Position 1312: 0.0002267114438527137
Position 194: 0.00010302023697125856
Position 348: 9.084927365122235e-05
Position 380: 8.625208694410972e-05
Position 4: 7.597480447286156e-05
Position 1315: 6.683672031184281e-05
Position 260: 5.6060958211064946e-05
Position 717: 5.251971755216694e-05
Position 867: 4.505895026900123e-05
Position 395: 2.8485171589465217e-05
Position 365: 2.4508571987488356e-05
Position 1291: 2.2113498117566163e-05
Position 232: 1.7444455933664193e-05
Position 736: 1.308551815823928e-05
Position 306: 1.2365320387009848e-05
Position 804: 9.209714417736545e-06
Position 847: 6.8209845766691894e-06
Position 22: 6.2247250715652334e-06
Position 1336: 5.900453852486341e-06
Position 738: 5.390209015390432e-06
Position 1238: 2.3567265415217455e-06
Position 1285: 2.187684313603886e-06
Position 370: 1.926100850152359e-06
Position 1303: 1.5209130026672234e-06
Position 1278: 8.579291801993352e-07
Position 14: 2.574121604811092e-07
Position 282: 6.155734268805275e-08
Position 911: 3.785561349061075e-08
Position 925: 3.141274627147562e-08
Position 342: 2.767902571351435e-08
Position 523: 1.3374684343280723e-08
Position 931: 1.3068428650332375e-08
Position 1071: 6.2076316552911726e-09
Position 650: 5.6985701270887544e-09
Position 1128: 3.3766790599643737e-09
Position 294: 3.078790893026426e-10
Position 544: 6.15197886396626e-11
Position 702: 9.493673222720928e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 299: 0.9165408684957546
Position 486: 0.05869414882184007
Position 1091: 0.05246454367160406
Position 273: 0.018006717413550144
Position 1088: 0.013172116741992866
Position 356: 0.008498347385616903
Position 335: 0.008320702996861754
Position 549: 0.0035704795936834146
Position 463: 0.0023080000565921686
Position 509: 0.0018849695363865463
Position 995: 0.0013278845380994264
Position 521: 0.0012256900917390217
Position 1054: 0.0011066279352341215
Position 1374: 0.0010983222645232819
Position 1025: 0.0010005370111314544
Position 1127: 0.0009659328098143576
Position 306: 0.000844288020462426
Position 645: 0.0006859999155474901
Position 311: 0.0006096348675787425
Position 166: 0.0005407362779189888
Position 332: 0.00038793856183608254
Position 752: 0.00028129763814471693
Position 785: 0.00027680305923143833
Position 443: 0.0002681922560516201
Position 1151: 0.0002658796237826551
Position 812: 0.00026491768571746565
Position 361: 0.00026180713967240957
Position 971: 0.00023752059779382458
Position 1028: 0.00023368540171640244
Position 370: 0.0002319509156325061
Position 937: 0.00019598407913095357
Position 563: 0.00019307740898248413
Position 815: 0.00019277620963266824
Position 530: 0.00018606395199855476
Position 968: 0.00018261137807020666
Position 455: 0.00017735961449557983
Position 1386: 0.00015632574929908417
Position 1390: 0.00015259546748419775
Position 688: 0.00012944166845156615
Position 1124: 0.00012683781116196023
Position 824: 2.854643786602282e-05
Position 1145: 2.5553205893544182e-05
Position 572: 2.2438053629130966e-05
Position 1185: 1.4097401403733371e-05
Position 631: 9.884751399089775e-06
Position 650: 9.522835831703959e-06
Position 1121: 9.360606423730056e-06
Position 665: 8.522458267786783e-06
Position 533: 7.3698311374774385e-06
Position 602: 4.668865534280514e-06
Position 867: 4.157797740918457e-06
Position 766: 2.641339122038229e-06
Position 145: 1.8913739337533224e-07
Position 229: 1.6134921144687886e-07
Position 115: 1.505495041711037e-07
Position 191: 1.389996297547157e-07
Position 219: 9.426852327968538e-08
Position 245: 3.121304538417133e-08
Position 1136: 1.763675133542005e-08
Position 194: 9.166636107061914e-09
Position 1245: 3.4591890813696593e-09
Position 595: 1.4385848723214216e-09
Position 488: 1.9305546823856108e-10
Position 136: 1.4784523740870686e-10
Position 134: 3.6753920561331404e-11
Position 392: 3.196896849455218e-12
Position 380: 1.0166215608536311e-12
Position 187: 2.2540031762912636e-13
