Gene = ms(2)35Ci
index = 1797
Annotated 5SS: [211 479 680]
Annotated 3SS: [267 540 740]
SMsplice 5SS: [211 479 680]
SMsplice 3SS: [267 540 740]
top_k =  1000
Partition function (log Z): -0.396842704116469

Sorted 5' Splice Sites (High to Low Probability):
Position 479: 0.9946096796061752
Position 680: 0.9524422564869323
Position 211: 0.6871166257293688
Position 197: 0.03661606974483817
Position 1221: 0.016667562257984107
Position 1431: 0.003812994854798713
Position 1428: 0.003500239180084461
Position 616: 0.0023143200022468433
Position 215: 0.0016540350764323243
Position 857: 0.0008509539735732654
Position 1289: 0.0007883873686759003
Position 684: 0.0005114768029769226
Position 788: 0.0003427643151568134
Position 82: 0.00033229295660817785
Position 1586: 0.00032956176421624484
Position 1358: 0.00027543096800515624
Position 1305: 0.0002302997797504571
Position 571: 0.00015033000440320814
Position 136: 0.00013594891087073314
Position 331: 0.00011319290903476427
Position 1435: 9.327087866411993e-05
Position 286: 8.667579364169847e-05
Position 24: 7.156440493614695e-05
Position 1225: 5.7568100151620424e-05
Position 844: 3.958490655481959e-05
Position 141: 3.7030338069604344e-05
Position 663: 3.6321478382205336e-05
Position 455: 3.2092234939561204e-05
Position 1235: 2.9597448362110526e-05
Position 303: 2.5594364139260407e-05
Position 339: 2.2205019593798065e-05
Position 353: 2.1461160137707345e-05
Position 133: 1.9306726108951365e-05
Position 854: 1.767390909194026e-05
Position 968: 1.6409350527444898e-05
Position 1101: 1.4898326974838042e-05
Position 892: 1.223324598786151e-05
Position 1008: 1.1814132797681357e-05
Position 1579: 1.1720509287213243e-05
Position 1320: 1.1280629352802422e-05
Position 1313: 1.0291354650090454e-05
Position 297: 7.496519174566531e-06
Position 1204: 7.3573869463811105e-06
Position 1095: 7.2368661002983195e-06
Position 793: 6.817366389050315e-06
Position 365: 6.357769275344998e-06
Position 1444: 5.213819001841698e-06
Position 1133: 3.7350295554660583e-06
Position 517: 3.220520524708732e-06
Position 1546: 3.0137344064809213e-06
Position 126: 3.001769071092616e-06
Position 646: 2.810053063044236e-06
Position 385: 2.8086993959819305e-06
Position 27: 2.5886424141198e-06
Position 1113: 2.1426512751492847e-06
Position 920: 2.0464326518130648e-06
Position 1107: 1.9340897700753116e-06
Position 206: 1.5516428022684414e-06
Position 764: 1.267252689331737e-06
Position 1119: 1.1471608089526697e-06
Position 1556: 6.108145442196947e-07
Position 909: 5.550159440873454e-07
Position 110: 4.90470969533873e-07
Position 1542: 4.441085503261285e-07
Position 562: 2.165345825005349e-07
Position 584: 3.313239157508552e-08
Position 743: 2.0460599754398547e-08
Position 740: 1.633221344787733e-08
Position 755: 1.0419942828091115e-08
Position 758: 6.616580727832228e-09
Position 1125: 6.2059697806795695e-09
Position 1089: 4.799842196832614e-09
Position 930: 3.409934348827923e-10
Position 534: 1.9437863565285155e-10
Position 1370: 8.666988055239534e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 540: 0.997861612367673
Position 740: 0.9371068856658474
Position 267: 0.43424547193011953
Position 338: 0.22833045544519312
Position 303: 0.045070360674603405
Position 1382: 0.021298561230863967
Position 1507: 0.015111229231751767
Position 359: 0.005418288490136226
Position 286: 0.0027167593032713625
Position 283: 0.002362037669952136
Position 1089: 0.0022542107809129038
Position 822: 0.0019528825724201193
Position 988: 0.0018772286196751956
Position 309: 0.0015293915454335262
Position 248: 0.0010291383770377612
Position 562: 0.0008516623129877016
Position 959: 0.0006714695676787913
Position 1022: 0.0006147136793981777
Position 385: 0.0005921648747584154
Position 139: 0.00035338315783474584
Position 937: 0.00029558960666978366
Position 1637: 0.00023886292842744685
Position 868: 0.0002213538472234913
Position 793: 0.00017764728133782095
Position 635: 0.00016717395624106125
Position 1431: 0.0001518038191953972
Position 365: 0.0001509211982055877
Position 1289: 0.00014811295454238003
Position 516: 0.00011051341660370344
Position 1630: 0.00010485643295720686
Position 368: 9.854367822552789e-05
Position 1201: 8.561260655925694e-05
Position 840: 8.457540754657907e-05
Position 684: 7.497081558387588e-05
Position 1305: 4.58960769758758e-05
Position 1389: 2.925326187090556e-05
Position 107: 2.8447889612478227e-05
Position 507: 2.1278145730771358e-05
Position 787: 1.6959499017249714e-05
Position 1095: 1.303430602517275e-05
Position 1615: 8.729293096485927e-06
Position 1107: 5.295024581506481e-06
Position 1029: 3.0130575403375877e-06
Position 1395: 2.7135633004193847e-06
Position 1634: 2.3976795460294345e-06
Position 847: 2.1216866928278764e-06
Position 77: 1.8026169874744969e-06
Position 1403: 1.4615294680205186e-06
Position 1602: 1.4450870346485322e-06
Position 69: 1.3770840513979805e-06
Position 483: 1.3431602874137614e-06
Position 1235: 7.345741860251647e-07
Position 193: 5.154894653763836e-07
Position 227: 4.4315539936121433e-07
Position 82: 1.9109207761542994e-07
Position 162: 1.0020338261231663e-07
Position 201: 7.634211476173183e-08
Position 110: 7.216307625374526e-08
Position 1113: 2.4328692549507126e-08
Position 1119: 7.769940581004524e-09
Position 1225: 2.44250602068766e-10
Position 1125: 6.07207357551091e-11
Position 178: 3.130661175907922e-11
Position 170: 2.5835705278183816e-12
Position 180: 8.208801744111355e-14
