Gene = FucTA
index = 1171
Annotated 5SS: [ 266 3865 5048 5417]
Annotated 3SS: [3674 4330 5232 5482]
SMsplice 5SS: [ 266 3865 5048 5417 5690 6199]
SMsplice 3SS: [3674 4330 5232 5482 6114 6343]
top_k =  1000
Partition function (log Z): 9.414785583124445

Sorted 5' Splice Sites (High to Low Probability):
Position 5048: 0.9964304274304938
Position 5417: 0.9946746047304021
Position 266: 0.7567148778703713
Position 5690: 0.7502251951404021
Position 3865: 0.6930726910178647
Position 6199: 0.6416535160307936
Position 677: 0.3481002536902214
Position 1542: 0.1889733953243536
Position 5820: 0.09564393888735552
Position 1963: 0.0872807494611937
Position 3574: 0.08293974756544156
Position 6634: 0.051773732578942445
Position 6080: 0.03207150571347486
Position 6774: 0.027094312984535882
Position 1550: 0.02687778401997727
Position 70: 0.021074223891758413
Position 6014: 0.017489965031707577
Position 1270: 0.016204118862471147
Position 6226: 0.015136556482105767
Position 3922: 0.014645701922835925
Position 6404: 0.013523825269072427
Position 595: 0.013307416583026166
Position 6397: 0.010011386436658148
Position 1949: 0.009857473506506686
Position 4125: 0.008911481013870794
Position 555: 0.008539650800622904
Position 6052: 0.006742562328950258
Position 1477: 0.006544323620909997
Position 1975: 0.005123819018252947
Position 6786: 0.004609589341812959
Position 6050: 0.0044753336359153835
Position 5386: 0.0037934489668431533
Position 727: 0.003364710067759805
Position 6233: 0.0030177080532539603
Position 530: 0.002805936486938252
Position 2508: 0.0027635835302747738
Position 462: 0.0025464218146694175
Position 880: 0.0022219731830142365
Position 4721: 0.0018198688657734086
Position 6035: 0.0015866236274961827
Position 1073: 0.001569286007573514
Position 1185: 0.0014947527773209017
Position 82: 0.0014164661857705234
Position 3869: 0.001331628430296758
Position 5347: 0.001251665023526445
Position 2129: 0.0012238747221073563
Position 5013: 0.0011955334600300407
Position 692: 0.001185107722175673
Position 3808: 0.0011837874818066473
Position 414: 0.0011794642106864764
Position 521: 0.0011699340664837346
Position 841: 0.0011013396041253778
Position 6545: 0.0008770794935182691
Position 6578: 0.0007931119908488909
Position 466: 0.0007441373148722137
Position 1233: 0.0007426563998437212
Position 2814: 0.0005877879345991485
Position 2338: 0.0005773136952864424
Position 2027: 0.0005647890701864554
Position 848: 0.0005396705919380082
Position 6008: 0.0005153311448295319
Position 76: 0.0004662077017388972
Position 439: 0.0004388947674627546
Position 447: 0.0004354252883479435
Position 5899: 0.00043413582730651376
Position 2512: 0.0004234537650103031
Position 2368: 0.0004148013765714124
Position 4117: 0.00037279874056520733
Position 1968: 0.0003140850391131876
Position 505: 0.00027375681452759094
Position 706: 0.00025419106979862615
Position 1910: 0.00023720717638593846
Position 6203: 0.00022944929994127899
Position 1716: 0.0002225939622716166
Position 39: 0.00020626581758239777
Position 2135: 0.00019345251911716334
Position 80: 0.0001646144956966339
Position 1322: 0.00016171577880808507
Position 2193: 0.0001581212923121536
Position 6111: 0.00015335509005435697
Position 5052: 0.0001460990561551108
Position 1109: 0.00014207272881062356
Position 5581: 0.0001385509768033402
Position 1600: 8.937797541444607e-05
Position 4987: 8.629566711967889e-05
Position 2032: 7.619253624630004e-05
Position 5379: 7.13709825543693e-05
Position 7083: 6.948315189946058e-05
Position 1346: 6.805536552548232e-05
Position 5627: 6.538817675921481e-05
Position 1888: 6.27714027311654e-05
Position 507: 6.052385748208334e-05
Position 270: 5.438307536372466e-05
Position 5852: 5.08383793932318e-05
Position 4795: 4.743863218226277e-05
Position 5788: 4.496597060533021e-05
Position 502: 4.3132077282333805e-05
Position 5158: 3.636025149356556e-05
Position 5755: 3.215030706212653e-05
Position 13: 3.084584970167407e-05
Position 5836: 2.579464170011537e-05
Position 264: 2.4162525377785557e-05
Position 478: 2.3746619393842507e-05
Position 74: 2.3596912157165358e-05
Position 186: 2.3480115239257192e-05
Position 5797: 2.077886360669955e-05
Position 4806: 1.8411420502903416e-05
Position 1239: 1.7702363901568422e-05
Position 5981: 1.7124072164121654e-05
Position 470: 1.449411782013176e-05
Position 285: 1.4410405171934592e-05
Position 1554: 1.3702063504461255e-05
Position 5936: 1.3244413840258322e-05
Position 4589: 1.2008292583805795e-05
Position 4991: 1.1593589507396564e-05
Position 5569: 1.0712075598219059e-05
Position 4607: 1.0589056276176161e-05
Position 4973: 1.0506395243879742e-05
Position 6613: 7.91077817580781e-06
Position 475: 7.3438389615698525e-06
Position 5620: 6.9830937660314255e-06
Position 18: 6.6772015176456175e-06
Position 5288: 6.523986700681531e-06
Position 480: 6.137392158102371e-06
Position 829: 6.035310183713949e-06
Position 5441: 6.018941574067116e-06
Position 5539: 5.658581370703386e-06
Position 146: 5.239494320844307e-06
Position 5920: 4.9943228319090376e-06
Position 6115: 4.8573099498632626e-06
Position 5112: 4.6379577284747496e-06
Position 6438: 4.0561738506727195e-06
Position 5806: 3.896790478381996e-06
Position 4962: 2.823444709586735e-06
Position 6395: 2.2947461922533337e-06
Position 5339: 2.1400102469595896e-06
Position 5361: 2.013193977653568e-06
Position 5353: 1.5956678473606422e-06
Position 715: 1.443558594103554e-06
Position 6629: 1.4385791042658151e-06
Position 228: 9.518284467646611e-07
Position 5648: 9.290458593768175e-07
Position 5660: 9.20838467037736e-07
Position 4527: 8.029421790593985e-07
Position 5824: 7.862198891009458e-07
Position 5720: 7.551300024926922e-07
Position 297: 4.4937587481975e-07
Position 4491: 3.847215557737616e-07
Position 157: 3.808028893003403e-07
Position 6221: 3.608059153598678e-07
Position 5351: 1.3025301863823272e-07
Position 5694: 3.476827968202468e-08
Position 5272: 3.3969924471892115e-08
Position 1077: 2.2074094519947687e-08
Position 5321: 2.0344103313085496e-08
Position 5515: 1.9301873265516866e-08
Position 5483: 1.5545188646123407e-08
Position 5444: 1.4764817679555616e-08
Position 5241: 1.2649939300337655e-08
Position 5728: 1.013000145784766e-08
Position 4: 1.0040620516385679e-08
Position 5471: 8.68302762550027e-09
Position 159: 6.799651587128566e-09
Position 5459: 6.462585889611935e-09
