Gene = Tsf2
index = 1570
Annotated 5SS: [ 173  674  887 1113 1624 1852]
Annotated 3SS: [ 245  752  951 1171 1686 1917]
SMsplice 5SS: [ 173  674  887 1113 1624 1852]
SMsplice 3SS: [ 245  752  951 1171 1686 1917]
top_k =  1000
Partition function (log Z): 16.2159269638014

Sorted 5' Splice Sites (High to Low Probability):
Position 1624: 0.9994149796035834
Position 674: 0.9984893931152233
Position 1852: 0.9980039537363747
Position 173: 0.9786808109119877
Position 1113: 0.8539440536587253
Position 887: 0.8495528476766587
Position 2174: 0.10982081244798363
Position 490: 0.05635107614637652
Position 2727: 0.01086172675859264
Position 48: 0.009032167089201883
Position 2535: 0.007716181864645466
Position 798: 0.006260026094267847
Position 371: 0.004862131221341436
Position 2310: 0.0043048230200444845
Position 1247: 0.0033497426660460015
Position 2632: 0.0028551627165223355
Position 2950: 0.0022690399646824034
Position 2850: 0.0020182944606191747
Position 839: 0.0018093043547933547
Position 30: 0.0017412479767003072
Position 405: 0.0016272939800632087
Position 1082: 0.0015699243961250278
Position 3229: 0.0012434011750196892
Position 1367: 0.0009514983581893728
Position 2089: 0.0007648204071945127
Position 2112: 0.0007529128125849547
Position 35: 0.0006226833967430487
Position 1864: 0.0005940963169084316
Position 635: 0.0004156860383061033
Position 335: 0.0004056039473300409
Position 2119: 0.000378157708930365
Position 830: 0.0003135884254936374
Position 2278: 0.00030297927053585835
Position 651: 0.00029524373275842137
Position 415: 0.00028955818329182837
Position 2827: 0.000286811249253623
Position 313: 0.00023416416924022687
Position 1778: 0.00021682259524994285
Position 32: 0.00021369993615683475
Position 1443: 0.00020501121096898792
Position 42: 0.00019831972426903222
Position 177: 0.0001906762859444254
Position 77: 0.00018426474931686638
Position 2585: 0.00018327945381593858
Position 2954: 0.00015143223823634898
Position 620: 0.00014953748244308756
Position 2367: 0.00014804936524679318
Position 54: 0.00014583345012344326
Position 1461: 0.0001361605924252103
Position 832: 0.00013583697905668869
Position 2743: 0.0001358299747187256
Position 2500: 0.00013217794047352285
Position 678: 0.00012576965219057116
Position 1350: 0.0001235675695095852
Position 2732: 0.00010111776201006417
Position 2321: 8.107023653078363e-05
Position 284: 5.7724685322267446e-05
Position 1317: 5.5276046115333175e-05
Position 2307: 5.334735100496315e-05
Position 2348: 5.173684060036736e-05
Position 2295: 4.950897006210764e-05
Position 1117: 4.206411417562443e-05
Position 2756: 3.88375174927832e-05
Position 2091: 3.495600280999031e-05
Position 1628: 2.9520683227416054e-05
Position 373: 2.4210353711000936e-05
Position 1261: 2.284911104680284e-05
Position 37: 2.083295215610202e-05
Position 1038: 1.6952794459330072e-05
Position 2337: 1.686842461250628e-05
Position 3216: 1.3619840891504775e-05
Position 289: 1.3326720081307198e-05
Position 837: 1.141676723870748e-05
Position 473: 1.1236115043192173e-05
Position 957: 9.56773012524019e-06
Position 696: 9.174124316616248e-06
Position 197: 7.734744459596765e-06
Position 659: 6.1130863869987005e-06
Position 1644: 4.5427036195182345e-06
Position 286: 3.7126816587191502e-06
Position 1245: 2.5394797266526414e-06
Position 1326: 2.3441396614257017e-06
Position 777: 1.6353443676891735e-06
Position 1740: 1.341596150560031e-06
Position 1856: 1.1304021653738085e-06
Position 622: 1.0337910100344924e-06
Position 780: 9.76531936629582e-07
Position 1708: 9.477776728854904e-07
Position 1214: 8.535340542430633e-07
Position 1220: 7.408372470599051e-07
Position 1572: 7.032738156715983e-07
Position 703: 6.881270309032613e-07
Position 2122: 6.758753819519637e-07
Position 1208: 6.44763864052248e-07
Position 1488: 6.347234228973423e-07
Position 560: 3.073906614486107e-07
Position 2082: 2.2843095477067947e-07
Position 1617: 2.1948917533355696e-07
Position 2071: 2.148340780582444e-07
Position 1587: 1.535373029153402e-07
Position 142: 1.4518606711435158e-07
Position 554: 1.398141022309614e-07
