Gene = ver
index = 1924
Annotated 5SS: [84]
Annotated 3SS: [439]
SMsplice 5SS: [73]
SMsplice 3SS: [129]
top_k =  1000
Partition function (log Z): -12.915503519264734

Sorted 5' Splice Sites (High to Low Probability):
Position 84: 0.320638001009207
Position 73: 0.24373773436123428
Position 70: 0.16957071457159537
Position 222: 0.1090928107015361
Position 116: 0.03997164633738342
Position 340: 0.031205705855053657
Position 276: 0.024008392447136158
Position 181: 0.009494266661598612
Position 267: 0.007899211548384511
Position 29: 0.006689533065092303
Position 230: 0.006214203405889585
Position 131: 0.0059804660278915045
Position 149: 0.004851501552252594
Position 859: 0.00317148743049287
Position 297: 0.0026806692974150107
Position 50: 0.0025516238718567615
Position 139: 0.002213917734168516
Position 527: 0.0018649119056410278
Position 129: 0.00178578326023717
Position 377: 0.0015539753571981285
Position 894: 0.0008410349728631321
Position 16: 0.0008023955598370998
Position 883: 0.0007645745358232711
Position 534: 0.0005953480193820541
Position 688: 0.0005953282226002188
Position 548: 0.00048551332103211563
Position 559: 0.0004755743442897758
Position 299: 0.0004245998530765535
Position 157: 0.00039657580351895247
Position 571: 0.0003424849551112103
Position 646: 0.0002827534233989855
Position 199: 0.00025686574163104656
Position 1103: 0.00024000831624169589
Position 470: 0.0002262471356064028
Position 355: 0.00021375054342858145
Position 252: 0.0001829967125095142
Position 551: 0.00017944215679348177
Position 812: 0.00016527558083334872
Position 505: 8.860215485382562e-05
Position 807: 8.416566017944485e-05
Position 974: 5.833953311146714e-05
Position 628: 5.5490973609145445e-05
Position 726: 2.8666108799616095e-05
Position 1098: 2.6358199837651602e-05
Position 45: 2.445379616327013e-05
Position 821: 2.169970225151158e-05
Position 947: 2.04699419400581e-05
Position 944: 1.8914982890246107e-05
Position 1107: 1.7062702208604917e-05
Position 957: 1.680023633863625e-05
Position 202: 1.67091536458916e-05
Position 630: 1.4594991725442014e-05
Position 793: 7.541521056989271e-06
Position 1114: 2.9864443681536902e-06
Position 1036: 1.702011746192006e-06
Position 120: 8.108664804675694e-09
Position 717: 3.117393030966343e-10
Position 834: 2.207576871319289e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 129: 0.40144898985987637
Position 439: 0.3140232081479154
Position 344: 0.08387250192359395
Position 468: 0.06688107239679346
Position 194: 0.02730250423479522
Position 591: 0.02336075709455782
Position 525: 0.021471192522492227
Position 164: 0.01882252014592881
Position 516: 0.01026742594892416
Position 640: 0.006867944192840954
Position 990: 0.004581583419965051
Position 191: 0.0038008352152302566
Position 929: 0.003149896841256296
Position 609: 0.0026996172597081895
Position 181: 0.0026014663333443194
Position 956: 0.002499763327856898
Position 803: 0.0015738682112837908
Position 726: 0.0014525390190232308
Position 226: 0.0013178080647755761
Position 418: 0.0008783379190048801
Position 355: 0.0007061883252999083
Position 484: 0.0005389599881586695
Position 445: 0.00047651641837813944
Position 1149: 0.0003851546699959179
Position 882: 0.00037972821407923147
Position 452: 0.0003689645141582404
Position 1000: 0.00035881408671914396
Position 1160: 0.0002434628960198511
Position 1039: 0.00021421374736089644
Position 470: 8.993813148188192e-05
Position 202: 8.899544526717004e-05
Position 764: 7.293641399740879e-05
Position 800: 6.71140582233334e-05
Position 238: 5.843371424775328e-05
Position 477: 4.102815634841719e-05
Position 488: 4.02314771164242e-05
Position 969: 2.9631310984206717e-05
Position 558: 2.6919991607049237e-05
Position 534: 1.776065849213805e-05
Position 492: 1.5862886058048098e-05
Position 714: 1.2776783318145053e-05
Position 920: 8.512264729210223e-06
Position 812: 7.88929972145959e-06
Position 1064: 6.04911330224126e-06
Position 759: 5.618081598896903e-06
Position 821: 5.372279968208594e-06
Position 618: 5.066668418601987e-06
Position 1098: 3.110415866776379e-06
Position 1080: 2.8102650456486385e-06
