Gene = Utx
index = 1589
Annotated 5SS: [ 163  562  998 2420 2828 3115 3363 3685 3878 4647 4846 5349 5615 5816]
Annotated 3SS: [ 214  885 2243 2698 2888 3181 3423 3744 3942 4705 4928 5404 5688 5904]
SMsplice 5SS: [ 163  562  998 2420 2828 3115 3363 3685 3878 4647 4846 5349 5615 5816]
SMsplice 3SS: [ 214  885 2243 2698 2888 3181 3426 3744 3942 4705 4928 5404 5688 5904]
top_k =  1000
Partition function (log Z): 44.30744455318579

Sorted 5' Splice Sites (High to Low Probability):
Position 2828: 0.9994984308535513
Position 3878: 0.998306011639358
Position 5615: 0.9966858630396007
Position 3363: 0.9859164825124558
Position 4846: 0.9805414508074485
Position 3685: 0.9804466225291768
Position 5349: 0.9792457775866563
Position 2420: 0.9570988012710099
Position 998: 0.9431133258898308
Position 3115: 0.9357553311230113
Position 5816: 0.916747676458519
Position 163: 0.8371182643249732
Position 4647: 0.8208962082303364
Position 562: 0.7857502520247486
Position 4552: 0.29568277407089283
Position 2650: 0.1211866232001322
Position 1417: 0.08968699162801419
Position 5825: 0.05915521251858287
Position 2091: 0.05081536602764832
Position 4661: 0.04517771961470646
Position 321: 0.03020527521152649
Position 1715: 0.029555203368392232
Position 391: 0.02872489079638425
Position 2000: 0.02736209544610467
Position 1274: 0.024788254740118285
Position 4652: 0.022301759515545392
Position 3081: 0.018777144991936223
Position 1640: 0.018531769635382847
Position 316: 0.017556971397036204
Position 5828: 0.017234795079683486
Position 2123: 0.016519092186617023
Position 796: 0.01634394196096167
Position 1405: 0.014912604234100147
Position 4197: 0.013601280048807781
Position 5338: 0.01259725294533235
Position 4812: 0.01147961067824365
Position 2041: 0.00996949655490665
Position 2596: 0.009958165872921022
Position 2069: 0.009767358347540953
Position 6048: 0.00967300942636417
Position 4500: 0.00845187382417691
Position 6124: 0.007998628530101151
Position 2045: 0.007809363119945041
Position 1836: 0.0068215627768543645
Position 2095: 0.006462034020088549
Position 3548: 0.006245149923818088
Position 3679: 0.004828102907360954
Position 3661: 0.004492422798455325
