Gene = Ptth
index = 1393
Annotated 5SS: [383 816]
Annotated 3SS: [491 873]
SMsplice 5SS: [383 816]
SMsplice 3SS: [491 873]
top_k =  1000
Partition function (log Z): -6.173739201073326

Sorted 5' Splice Sites (High to Low Probability):
Position 816: 0.8139880490487866
Position 383: 0.7404091762683227
Position 268: 0.053849692321485045
Position 585: 0.029741910364709856
Position 1003: 0.029138583091620096
Position 810: 0.011643704955190588
Position 221: 0.011295548514027247
Position 637: 0.00845465462539223
Position 734: 0.003527359674829655
Position 1116: 0.0034424698015529955
Position 379: 0.0028974132718927433
Position 4: 0.0012803383676832565
Position 231: 0.001014030100351678
Position 571: 0.000708856693081801
Position 178: 0.0006835356397531197
Position 113: 0.0005129702085859671
Position 1090: 0.000499443866798051
Position 308: 0.0004918308604691639
Position 353: 0.00036166362328080075
Position 1130: 0.0001708970304217332
Position 708: 0.00016085614967758103
Position 205: 0.00011930318977716289
Position 1009: 0.00011619903503117962
Position 589: 7.977672788508951e-05
Position 387: 7.325160453565531e-05
Position 762: 6.41998248816245e-05
Position 41: 5.261034628902717e-05
Position 342: 4.824269444918846e-05
Position 8: 4.081238056521075e-05
Position 655: 2.2609042009145745e-05
Position 181: 2.0024740661771152e-05
Position 193: 1.7860633070080026e-05
Position 550: 1.5578157877183527e-05
Position 947: 1.2105035472569626e-05
Position 184: 1.1667314927290452e-05
Position 554: 1.0127365479624071e-05
Position 673: 1.0055862190410346e-05
Position 820: 8.93692035676022e-06
Position 841: 7.836858826997396e-06
Position 198: 6.389166609035136e-06
Position 928: 6.08421396821917e-06
Position 1029: 5.931085442151233e-06
Position 896: 5.216716885617349e-06
Position 186: 3.52115457441857e-06
Position 491: 1.8907241448591846e-06
Position 963: 1.3920750304381566e-06
Position 783: 1.2226969690965328e-06
Position 1084: 9.404771353849422e-07
Position 484: 5.504256259937746e-07
Position 598: 4.484779405990713e-07
Position 1074: 4.483191047637874e-07
Position 1047: 2.0501430188464438e-07
Position 215: 2.0028824767050077e-07
Position 893: 1.091055601858299e-08
Position 289: 2.234995434617316e-09
Position 848: 7.253465254803304e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 873: 0.9256899498516676
Position 491: 0.4417413954444006
Position 696: 0.07286487663837084
Position 550: 0.05668696621793407
Position 795: 0.03903246371151902
Position 328: 0.0332434072435193
Position 540: 0.025519785332376782
Position 526: 0.023989394614867172
Position 1074: 0.0215637688990596
Position 722: 0.015821902165813265
Position 267: 0.008346635039490805
Position 1170: 0.007906209726906824
Position 986: 0.007636567161014352
Position 554: 0.00696801871752348
Position 436: 0.006254583026264259
Position 1059: 0.003877731749148735
Position 433: 0.0031044957961957396
Position 655: 0.002771143465434786
Position 673: 0.00266257208126378
Position 330: 0.0021347175672913705
Position 220: 0.001838191162404702
Position 679: 0.0014581286537982848
Position 755: 0.0008889581134575791
Position 623: 0.0007656238673148578
Position 1180: 0.00040797059341376107
Position 562: 0.00030489942371750235
Position 308: 0.00029950374105905256
Position 836: 0.00026795057637488226
Position 698: 0.00014093846125514536
Position 637: 0.00012918878522299372
Position 570: 0.00010800568070528807
Position 363: 8.056960502475766e-05
Position 595: 6.707950720228832e-05
Position 1008: 5.8516613946973684e-05
Position 93: 5.631080156762075e-05
Position 446: 4.907508479662145e-05
Position 336: 4.654518529217468e-05
Position 617: 4.14378875739703e-05
Position 626: 4.1401702799440666e-05
Position 1116: 3.604318353244751e-05
Position 339: 2.173029837029447e-05
Position 105: 1.810448977851821e-05
Position 1020: 1.5202418019476523e-05
Position 845: 1.4893908959993209e-05
Position 620: 1.4645691619538151e-05
Position 1126: 1.3599155757115831e-05
Position 144: 8.378050168183555e-06
Position 417: 6.204311187998388e-06
Position 1029: 4.981645812814842e-06
Position 75: 3.5729291301205312e-06
Position 342: 3.4334091932819114e-06
Position 387: 2.2002058631166736e-06
Position 357: 1.8664232110531416e-06
Position 879: 1.7220991129549614e-06
Position 102: 1.4577143974708424e-06
Position 1002: 1.1401502364103737e-06
Position 108: 7.207967503978372e-07
Position 598: 6.494741922599164e-07
Position 277: 5.807346831738671e-07
Position 66: 4.569155537229052e-07
Position 279: 7.271889618401466e-08
Position 347: 4.088376479200697e-08
Position 198: 2.581103920992361e-08
Position 122: 2.3541703424091713e-08
Position 110: 5.20459751189733e-09
Position 369: 2.1515492038425503e-09
Position 113: 1.9301027798094686e-09
Position 411: 7.726908731597806e-10
Position 158: 1.877185516565257e-12
Position 402: 3.1598436187495345e-13
Position 127: 1.874995506958503e-14
