Gene = Psf2
index = 1390
Annotated 5SS: [ 37 593]
Annotated 3SS: [342 650]
SMsplice 5SS: [593]
SMsplice 3SS: [650]
top_k =  1000
Partition function (log Z): -6.565636227763349

Sorted 5' Splice Sites (High to Low Probability):
Position 593: 0.8653879565189312
Position 310: 0.24575872095590984
Position 37: 0.04779298312727885
Position 597: 0.04378944262228809
Position 71: 0.032991727103441976
Position 604: 0.03203298122989491
Position 283: 0.012587357818084363
Position 28: 0.00923804016216371
Position 608: 0.007070027629082362
Position 995: 0.005582902549254304
Position 331: 0.002233109772210197
Position 986: 0.0018176309857386482
Position 57: 0.0017219454057018132
Position 912: 0.0007444960177361461
Position 871: 0.00071913282920439
Position 130: 0.0006917708645906076
Position 1093: 0.000525457675114497
Position 304: 0.00036080555403233283
Position 959: 0.00024113877994197944
Position 933: 0.0002215742228597038
Position 980: 0.0002046568710560343
Position 1014: 0.00019780016226953576
Position 86: 0.00014170769482993844
Position 123: 0.00013693058583178887
Position 211: 0.00013684634721832322
Position 168: 0.00013586522981739324
Position 1039: 0.00013065589276844636
Position 25: 0.00012280582478516912
Position 528: 0.00010233312316553659
Position 116: 0.00010036868106607189
Position 184: 9.452589669079698e-05
Position 751: 9.064239705287634e-05
Position 1096: 7.735160484687826e-05
Position 285: 6.45841623875842e-05
Position 326: 5.928853604715241e-05
Position 518: 4.1346099272665555e-05
Position 201: 3.879866538430482e-05
Position 335: 3.3737707597534574e-05
Position 253: 3.196318481742813e-05
Position 685: 2.73405850500167e-05
Position 96: 2.5745673816233473e-05
Position 1115: 2.074601188101954e-05
Position 1067: 2.0333646485160954e-05
Position 1086: 1.9887660114863017e-05
Position 780: 1.126796365408698e-05
Position 671: 5.604087861418751e-06
Position 696: 3.551199135653422e-06
Position 314: 3.11541162739323e-06
Position 651: 2.656589684652844e-06
Position 444: 2.4352194462467763e-06
Position 1005: 2.419653022497881e-06
Position 485: 2.2826613339939487e-06
Position 463: 1.9515753487422143e-06
Position 1026: 1.8506572707606298e-06
Position 471: 6.569425513776683e-07
Position 107: 5.419128359711841e-07
Position 731: 5.330314951800031e-07
Position 477: 3.4121582424435537e-07
Position 616: 1.0647066995045745e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 650: 0.978515922222941
Position 412: 0.20102975835665357
Position 342: 0.03461916877857203
Position 147: 0.019064224662362874
Position 1160: 0.01727282597354928
Position 394: 0.01707615020553948
Position 86: 0.011470805150810278
Position 221: 0.009897826326182729
Position 537: 0.007439567607558268
Position 116: 0.006361106021628163
Position 218: 0.002596929287641751
Position 113: 0.0019008197159444268
Position 180: 0.0012696952074485396
Position 907: 0.001028112149967374
Position 156: 0.0008964890435891309
Position 869: 0.0006288124123149311
Position 688: 0.000608226001060289
Position 459: 0.00042007356633427036
Position 696: 0.0002827398610222667
Position 1014: 0.0002654527120968469
Position 518: 0.0001615800669343059
Position 1054: 0.00015282319340237236
Position 509: 0.0001432242482620869
Position 123: 0.00010971394721597202
Position 841: 6.02907574030778e-05
Position 177: 5.1245249803915205e-05
Position 973: 4.46984376772287e-05
Position 816: 3.686843608654837e-05
Position 1074: 3.0739468739049974e-05
Position 1026: 2.53485032584959e-05
Position 1115: 2.032788461127347e-05
Position 861: 1.692179853399236e-05
Position 918: 1.6766839566009018e-05
Position 741: 1.4054508430485221e-05
Position 1061: 9.924230954812993e-06
Position 941: 9.209591745237566e-06
Position 759: 7.670117325631823e-06
Position 275: 7.63482851311517e-06
Position 235: 6.676738989789881e-06
Position 572: 6.503741496256074e-06
Position 260: 5.363131930825981e-06
Position 223: 3.687232530193745e-06
Position 1067: 3.598369530022684e-06
Position 242: 2.804992914872852e-06
Position 1077: 2.5299287919035153e-06
Position 738: 2.0516045460200477e-06
Position 563: 1.5931132555126342e-06
Position 837: 1.582997854856679e-06
Position 959: 1.025686433568424e-06
Position 419: 9.448619779583139e-07
Position 149: 7.178645213120733e-07
Position 575: 5.23313171240846e-07
Position 282: 5.038164996232483e-07
Position 304: 2.4988153853035113e-07
Position 584: 2.2736881396001252e-07
Position 1096: 2.0008332681521677e-07
Position 244: 8.807389257996177e-08
Position 163: 4.114812381295144e-08
Position 267: 1.0868049994962825e-08
