Gene = ppl
index = 1847
Annotated 5SS: [322 656]
Annotated 3SS: [376 716]
SMsplice 5SS: [322 656]
SMsplice 3SS: [376 716]
top_k =  1000
Partition function (log Z): 2.037879820886878

Sorted 5' Splice Sites (High to Low Probability):
Position 656: 0.9910797920815653
Position 322: 0.9860601411670632
Position 589: 0.007376842499431013
Position 103: 0.00174841506330564
Position 105: 0.0008839140113527825
Position 804: 0.0007881105926244372
Position 153: 0.0005424096927484152
Position 577: 0.00039329279857418465
Position 871: 0.00035119842389224725
Position 98: 0.000316439241602187
Position 565: 0.0001642275448452378
Position 436: 0.0001563230430166177
Position 877: 8.477094961710486e-05
Position 47: 6.0725416249645624e-05
Position 530: 6.0440258062691703e-05
Position 610: 5.8778553493500794e-05
Position 781: 3.5921034723420805e-05
Position 667: 3.265024148381785e-05
Position 402: 3.097014751101415e-05
Position 24: 2.5525325108689085e-05
Position 412: 1.4853866931538996e-05
Position 855: 1.1280303944055543e-05
Position 547: 1.1131990337378114e-05
Position 641: 8.945566604335553e-06
Position 107: 8.374901111643497e-06
Position 207: 8.055299935401209e-06
Position 415: 5.72123516451946e-06
Position 14: 2.8936753989862685e-06
Position 567: 2.663113672556914e-06
Position 731: 1.9932524622438584e-06
Position 631: 1.9697399747459115e-06
Position 363: 1.4724401240011303e-06
Position 109: 1.2497876138943037e-06
Position 475: 9.141332692596079e-07
Position 333: 5.181753046491515e-07
Position 887: 3.1615246722323705e-07
Position 186: 3.095286247083352e-07
Position 177: 2.873748271206518e-07
Position 406: 1.727469279542895e-07
Position 581: 1.3952924280312894e-07
Position 478: 1.232291879963682e-07
Position 480: 6.942391785793078e-08
Position 4: 4.6889832939090835e-08
Position 259: 3.206296423094385e-08
Position 279: 2.7231326392108928e-08
Position 261: 1.4507674161298177e-08
Position 129: 3.179757908319631e-09
Position 700: 2.2345655468066923e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 716: 0.9977534576095628
Position 376: 0.9845183038907674
Position 177: 0.002910809013925867
Position 730: 0.0016458477817968607
Position 858: 0.0007346975266830795
Position 496: 0.0005547099990840009
Position 229: 0.0004725877641671969
Position 962: 0.000448209963333071
Position 425: 0.000426612054939684
Position 459: 0.0002486310673876377
Position 449: 9.989988402264088e-05
Position 439: 6.234351407153265e-05
Position 638: 6.054650622761135e-05
Position 581: 5.6154614835531444e-05
Position 894: 5.233689752939921e-05
Position 101: 4.6896872212168294e-05
Position 242: 4.1825963347025354e-05
Position 881: 4.102342989433142e-05
Position 402: 2.6878343895482707e-05
Position 986: 2.0646928906679476e-05
Position 436: 1.696964850117964e-05
Position 588: 1.1924431405013229e-05
Position 284: 1.1878827700828233e-05
Position 641: 1.1625893473427152e-05
Position 654: 1.0379088071837338e-05
Position 516: 8.721312075641032e-06
Position 844: 7.219213482286313e-06
Position 742: 5.312835899357639e-06
Position 519: 4.266028620916503e-06
Position 801: 3.6117462598112876e-06
Position 345: 3.530792440881134e-06
Position 751: 3.463222506641519e-06
Position 254: 3.3612279204436163e-06
Position 609: 3.001277831381921e-06
Position 259: 2.0418603824977385e-06
Position 631: 8.013357563638009e-07
Position 600: 7.750312341482852e-07
Position 462: 5.547833586459867e-07
Position 651: 5.106532746550405e-07
Position 871: 3.256276846157375e-07
Position 315: 2.9495528208598435e-07
Position 781: 2.87922282323134e-07
Position 411: 2.163335185481552e-07
Position 660: 1.8615317456680756e-07
Position 761: 1.8406655177866525e-07
Position 804: 1.517492056625081e-07
Position 307: 1.389083507498254e-07
Position 553: 1.0994163619786751e-07
Position 672: 7.766320641987868e-08
Position 543: 7.212344983030981e-08
Position 560: 2.1854300500030854e-08
Position 615: 1.0835334804448205e-08
Position 826: 8.42744074834355e-09
Position 788: 3.7249057654939668e-09
Position 321: 2.7814612048851124e-09
Position 54: 2.4319595006041005e-09
Position 326: 2.386342230897144e-09
Position 775: 1.1988838776733535e-09
Position 823: 8.206752191542803e-10
Position 564: 5.482743919400383e-10
Position 817: 3.6873121626148834e-10
