Gene = c-cup
index = 1640
Annotated 5SS: [142]
Annotated 3SS: [198]
SMsplice 5SS: [142]
SMsplice 3SS: [198]
top_k =  1000
Partition function (log Z): -6.207098726143588

Sorted 5' Splice Sites (High to Low Probability):
Position 142: 0.9946054761681764
Position 624: 0.012277612395364665
Position 257: 0.009607440060556397
Position 541: 0.004245605016705153
Position 146: 0.003056050947229214
Position 760: 0.0029090574594155694
Position 669: 0.0017367960498799369
Position 832: 0.0005220557774672507
Position 527: 0.0003288067279272015
Position 709: 0.00027367028350451294
Position 768: 0.0002556546185316256
Position 273: 0.00024373843212490592
Position 780: 0.0002127356724681235
Position 666: 0.00016471348363198603
Position 631: 0.00012281377081662412
Position 296: 0.00011112496867519583
Position 385: 8.535946819028459e-05
Position 368: 6.213391781973167e-05
Position 579: 4.132660405482673e-05
Position 151: 4.006380735056633e-05
Position 105: 3.5012482670122826e-05
Position 241: 2.9184937397005732e-05
Position 231: 2.757056848324944e-05
Position 609: 2.1018810717052096e-05
Position 78: 1.8729378316274165e-05
Position 102: 1.6843222313056017e-05
Position 159: 1.2272965303321431e-05
Position 90: 1.1521446961422382e-05
Position 356: 1.1014434941136761e-05
Position 131: 8.090318884534638e-06
Position 562: 4.963515993979399e-06
Position 261: 4.932305026301806e-06
Position 545: 4.505066882648174e-06
Position 598: 2.988823550095764e-06
Position 162: 2.4973840619754496e-06
Position 681: 1.489068001967291e-06
Position 868: 1.4297693266795008e-06
Position 511: 1.2052685379706979e-06
Position 791: 1.183178489082313e-06
Position 205: 8.440789981494212e-07
Position 460: 8.297614919905239e-07
Position 174: 7.13257628603829e-07
Position 535: 4.231482595330307e-07
Position 717: 2.80952049595497e-07
Position 466: 2.800097468825274e-07
Position 712: 2.401136094340185e-07
Position 347: 1.971362186996094e-07
Position 417: 1.6162316957501024e-07
Position 299: 8.15912928535962e-11
Position 285: 7.566733056298774e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 198: 0.9766673589133967
Position 825: 0.01652960250687402
Position 918: 0.010209940780116424
Position 323: 0.007206790412091145
Position 222: 0.004286741087038904
Position 376: 0.0039211786225047205
Position 598: 0.002385427876516452
Position 254: 0.0019452081328794973
Position 800: 0.0018284043251634876
Position 296: 0.0017945164269825705
Position 356: 0.001184288000078101
Position 200: 0.0009265423594512744
Position 741: 0.0005338291363428311
Position 681: 0.0005234757026281956
Position 847: 0.00026259669870446503
Position 696: 0.00023255669816153819
Position 578: 0.00018805025079068124
Position 706: 0.00010396924767741134
Position 231: 9.567672309018686e-05
Position 712: 6.564106239685696e-05
Position 868: 5.130157210092923e-05
Position 241: 4.2643172708219e-05
Position 434: 2.6890238654897536e-05
Position 774: 2.187986638221481e-05
Position 347: 1.766834843118635e-05
Position 335: 1.4582988948182708e-05
Position 672: 8.1247948669769e-06
Position 535: 6.432188621242352e-06
Position 395: 5.05568425575064e-06
Position 644: 4.832741283528231e-06
Position 165: 4.480509488673563e-06
Position 405: 4.222560654666848e-06
Position 527: 3.50502559569181e-06
Position 857: 3.2675967332260152e-06
Position 162: 2.88325369382532e-06
Position 832: 2.855424118790755e-06
Position 381: 1.949478519944274e-06
Position 261: 1.6260374804152553e-06
Position 389: 1.443596334846934e-06
Position 532: 1.3597313794147337e-06
Position 666: 1.0623899549847787e-06
Position 717: 1.052969949025121e-06
Position 460: 6.023728062909768e-07
Position 466: 5.605545410499509e-07
Position 159: 3.872738528597102e-07
Position 325: 1.9053091211955023e-07
Position 383: 1.0463354494409166e-09
Position 146: 1.0262794750228152e-09
Position 142: 8.295714846871065e-10
Position 385: 4.671092461722259e-11
Position 511: 1.2778859036386354e-13
