Gene = GlyP
index = 1192
Annotated 5SS: [ 442 4155 5832]
Annotated 3SS: [3625 4224 5917]
SMsplice 5SS: [ 442 4155 5832]
SMsplice 3SS: [3625 4224 5917]
top_k =  1000
Partition function (log Z): -0.6760950003252526

Sorted 5' Splice Sites (High to Low Probability):
Position 442: 0.9970483195042356
Position 5832: 0.9838819989985322
Position 4155: 0.8266043581364874
Position 5154: 0.34356512860423327
Position 2959: 0.09118849605307733
Position 3485: 0.07488521676090186
Position 5676: 0.06613703870534032
Position 2930: 0.02984861206782994
Position 4027: 0.011707254123521508
Position 5379: 0.007160921851151154
Position 3570: 0.005904857358689875
Position 4909: 0.004030173065315405
Position 4419: 0.0032952886387153523
Position 262: 0.0029458357342257383
Position 3055: 0.002352633790643766
Position 5161: 0.0022896171614052215
Position 1667: 0.0020831281997780175
Position 3102: 0.002060242497392445
Position 4816: 0.0019556080468447804
Position 4452: 0.0016994753850646872
Position 3483: 0.0013044247583516252
Position 3459: 0.0012547949141283319
Position 4159: 0.0012157060406413533
Position 3402: 0.0008259530697379414
Position 5141: 0.0007498399704037877
Position 3222: 0.000666407481579746
Position 3259: 0.0005743747205168139
Position 391: 0.0005652199417578866
Position 1656: 0.0005637600523896601
Position 3170: 0.0005159153508316348
Position 3265: 0.0005078054900109583
Position 2272: 0.0005005030918122712
Position 5855: 0.00048733166699345556
Position 2921: 0.00046576258179259635
Position 2034: 0.00045871882283132965
Position 52: 0.0003565904679102205
Position 3837: 0.00032211537363467776
Position 2142: 0.00031973914435947
Position 4097: 0.00029639472701509283
Position 1312: 0.0002671955045401864
Position 811: 0.0002649521969834961
Position 2622: 0.0002606541536260069
Position 4175: 0.0002481919950687336
Position 3127: 0.00024510049185096826
Position 2737: 0.00022485827869504565
Position 280: 0.00022026622342520875
Position 1783: 0.0002151903275718226
Position 5171: 0.00019224406953636646
Position 3453: 0.00018396196672887415
Position 6197: 0.00017875615620612748
Position 1942: 0.0001735166824394835
Position 3195: 0.0001734053902069793
Position 3069: 0.00017027659730731358
Position 5998: 0.00016808449027700702
Position 2488: 0.00016195159196305339
Position 46: 0.00016193589745581657
Position 1071: 0.00016173314571688442
Position 3786: 0.00015707378766043664
Position 244: 0.0001441117290271392
Position 2634: 0.00013958676403671646
Position 3445: 0.00012854518547810709
Position 2963: 0.0001242918680320965
Position 3789: 0.00012264772328040574
Position 3442: 0.0001126414567272005
Position 3911: 0.00010637732266967614
Position 3774: 0.00010474580006541152
Position 1954: 0.0001010949121161492
Position 3358: 9.93769901426904e-05
Position 1787: 9.821340312749238e-05
Position 2024: 9.32721953278947e-05
Position 4150: 9.17097595530831e-05
Position 6171: 8.329332840725882e-05
Position 3876: 7.720249552055305e-05
Position 771: 7.64082348538832e-05
Position 6020: 6.799001531453006e-05
Position 3489: 6.720336539047063e-05
Position 720: 5.542445970532278e-05
Position 3026: 4.078089916417115e-05
Position 1419: 4.073364517054535e-05
Position 2783: 3.9213832547539303e-05
Position 3468: 3.901011385754481e-05
Position 1520: 3.714518834029459e-05
Position 5607: 3.445017484200152e-05
Position 4400: 3.032317093864594e-05
Position 5756: 2.9667196762651042e-05
Position 6135: 2.963892356832854e-05
Position 107: 2.6318413825956722e-05
Position 1759: 2.4488624401119923e-05
Position 6321: 2.244473415292703e-05
Position 4117: 2.186383978998163e-05
Position 3375: 2.1544829147516595e-05
Position 2452: 2.1423568115266465e-05
Position 3317: 2.1395729964027298e-05
Position 5479: 2.113881795319735e-05
Position 2568: 2.0169542114740288e-05
Position 3295: 1.7836831848012964e-05
Position 2066: 1.7051581517979257e-05
Position 5667: 1.626875346160595e-05
Position 58: 1.5236603906811932e-05
Position 6367: 1.4955818470510201e-05
Position 5361: 1.3615133991276642e-05
Position 6104: 1.2190710439786874e-05
Position 5024: 1.1647921704585627e-05
Position 2539: 1.0593616249337487e-05
Position 5792: 1.0550646191191438e-05
Position 2449: 1.0035662061631402e-05
Position 1323: 8.557423272096661e-06
Position 4046: 8.005008379591743e-06
Position 3871: 7.781490411696203e-06
Position 6123: 6.6851184342074955e-06
Position 4574: 5.355240992897686e-06
Position 1274: 4.965250192117655e-06
Position 36: 4.685466213489359e-06
Position 5536: 4.64515373995161e-06
Position 4234: 4.360934703608867e-06
Position 4352: 4.3295433689990665e-06
Position 5010: 3.858169352104552e-06
Position 1963: 3.6718137611303143e-06
Position 1589: 3.1976809000523615e-06
Position 6129: 3.138589901991419e-06
Position 1992: 3.0940810151153265e-06
Position 319: 3.0453057809974436e-06
Position 483: 2.494691734759786e-06
Position 4560: 2.406503030166207e-06
Position 1374: 2.33906354768707e-06
Position 1241: 2.305633911767972e-06
Position 33: 1.730113391642113e-06
Position 446: 1.7060452277683708e-06
Position 2723: 1.4942408229342e-06
Position 1103: 1.2957777985846972e-06
Position 40: 1.2778061972674532e-06
Position 4695: 1.1572857618307763e-06
Position 1390: 1.1171527076407802e-06
Position 63: 1.096619655316228e-06
Position 76: 1.0583606867099125e-06
Position 4746: 1.0545802762833123e-06
Position 6285: 1.0537697574417466e-06
Position 4928: 1.0520581954690571e-06
Position 4567: 1.0506605300103873e-06
Position 4889: 1.029377005189499e-06
Position 1811: 1.028882006250645e-06
Position 1481: 1.0071530748202456e-06
Position 2268: 9.574953565277854e-07
Position 2054: 8.964318632806977e-07
Position 1566: 7.901904201602303e-07
Position 1753: 7.391012641609045e-07
Position 4794: 6.335250749660487e-07
Position 2398: 6.290505396167522e-07
Position 4515: 5.872429125649112e-07
Position 2876: 1.7180748169295844e-07
Position 61: 5.1638084446037024e-08
Position 70: 3.568632631769291e-08
Position 334: 2.217881775508154e-08
Position 510: 9.875571651473475e-09
Position 271: 9.342128481025011e-09
Position 336: 7.48274373011089e-09
Position 90: 6.3360054780186204e-09
Position 201: 5.9505535771410985e-09
Position 507: 1.745996766068521e-09
Position 963: 1.591982105806499e-09
Position 4634: 2.599601751634335e-10
Position 4330: 2.45464460969511e-10
Position 1055: 2.3244921063902128e-10
Position 4620: 2.084065825658211e-10
Position 4590: 1.9409804967217018e-10
Position 3721: 1.7325987680713796e-10
Position 4292: 1.6847703298438977e-10
Position 547: 1.6336633450169274e-10
Position 487: 1.1302470113479047e-10
Position 824: 9.75965583913799e-11
Position 376: 8.62609005892646e-11
Position 985: 6.87419278722646e-11
Position 990: 4.328968168896751e-11
