Gene = tomb
index = 1914
Annotated 5SS: [201]
Annotated 3SS: [262]
SMsplice 5SS: [201]
SMsplice 3SS: [262]
top_k =  1000
Partition function (log Z): -3.8488824499960144

Sorted 5' Splice Sites (High to Low Probability):
Position 201: 0.9648150360239942
Position 471: 0.46174692378772614
Position 197: 0.03166338178407472
Position 418: 0.016257316547814486
Position 481: 0.002516596633988433
Position 184: 0.0009525221763283188
Position 804: 0.00045723219324707813
Position 438: 0.00015222982299234244
Position 506: 8.130724603625838e-05
Position 280: 4.3180291858755225e-05
Position 104: 2.943538445351866e-05
Position 133: 2.779466057115772e-05
Position 739: 2.546226932670583e-05
Position 189: 2.19958592130005e-05
Position 619: 1.381604511846475e-05
Position 717: 5.927146317353296e-06
Position 288: 5.742992911980277e-06
Position 127: 5.3624937370134834e-06
Position 87: 3.826429540870292e-06
Position 254: 3.583122749945848e-06
Position 751: 3.3954335763197227e-06
Position 601: 2.9359261042116273e-06
Position 571: 2.7063088625423425e-06
Position 762: 2.6847545440496153e-06
Position 163: 2.0626894221271868e-06
Position 328: 1.6321422717358177e-06
Position 397: 1.3210774264396508e-06
Position 664: 9.483517776625796e-07
Position 54: 4.842905084035568e-07
Position 292: 2.9061832846865323e-07
Position 741: 2.2059660229210054e-07
Position 655: 1.261920417399362e-07
Position 684: 9.117160177958905e-08
Position 509: 7.734935806931099e-08
Position 56: 4.4892780190848944e-08
Position 5: 3.64207825779425e-08
Position 307: 8.314768134313248e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 262: 0.9928437726549784
Position 544: 0.4797586650663401
Position 660: 0.002049565031862601
Position 562: 0.0018461244678547974
Position 566: 0.0007782083316946061
Position 855: 0.00047309224670716315
Position 269: 0.0004580741301640092
Position 315: 0.00025306823121610877
Position 323: 0.00011760772729229433
Position 638: 6.156144294699053e-05
Position 699: 5.876109775236565e-05
Position 862: 5.288315289256601e-05
Position 868: 1.788713927534555e-05
Position 481: 1.7043383996613508e-05
Position 335: 1.6706781494458538e-05
Position 509: 1.2335462890733983e-05
Position 471: 8.601498866776193e-06
Position 339: 5.5748384880106805e-06
Position 684: 4.93302845548498e-06
Position 277: 2.536811810236216e-06
Position 571: 2.0717728370435534e-06
Position 506: 2.0689140644216674e-06
Position 163: 1.414632484492349e-06
Position 717: 1.1479787301318434e-06
Position 288: 7.888743585038899e-07
Position 402: 7.713008231552319e-07
Position 809: 7.65435344295234e-07
Position 780: 4.594661173514898e-07
Position 221: 3.9306331305195907e-07
Position 576: 1.3965000958146635e-07
Position 813: 9.971007213039645e-08
Position 342: 9.343408770785944e-08
Position 408: 9.039603946283497e-08
Position 747: 7.189753755759632e-08
Position 184: 5.4768946673301264e-08
Position 417: 5.113980866959427e-08
Position 450: 4.706025594101725e-08
Position 804: 3.990586819898898e-08
Position 363: 3.462028704501463e-08
Position 739: 1.667277333491679e-08
Position 792: 1.6641701042818013e-08
Position 376: 1.6187842598848656e-08
Position 370: 1.4336010214987153e-08
Position 65: 1.231420445345169e-08
Position 367: 9.716643529297914e-09
Position 79: 6.6631696515345476e-09
Position 709: 5.889844606420808e-09
Position 133: 5.699205709226517e-09
Position 51: 5.237952931099424e-09
Position 760: 5.054828016430997e-09
Position 732: 5.026902683417414e-09
Position 279: 4.7951602280190945e-09
Position 142: 2.973646041185748e-09
Position 54: 2.7144356373383785e-09
Position 762: 1.2957474639683285e-09
Position 124: 4.817260544262222e-10
Position 76: 4.56651448136924e-10
Position 98: 3.109336527297012e-10
Position 109: 2.962992361562468e-10
Position 384: 5.4713274616978794e-11
Position 356: 3.592511974619137e-11
Position 85: 2.4704994193744715e-11
Position 95: 1.0314631849057925e-11
Position 92: 3.4547035542223796e-12
