Gene = Kr-h1
index = 1245
Annotated 5SS: [ 9642 11105 12551]
Annotated 3SS: [10391 11189 12634]
SMsplice 5SS: [ 1138 11105 12551]
SMsplice 3SS: [10391 11189 12634]
top_k =  1000
Partition function (log Z): 0.23010996260498728

Sorted 5' Splice Sites (High to Low Probability):
Position 11105: 0.9963158232392479
Position 12551: 0.9902450839423844
Position 1138: 0.938683680615851
Position 1661: 0.5560055754397372
Position 9642: 0.25163777893856243
Position 310: 0.15550496411734568
Position 2043: 0.05178393544316449
Position 2095: 0.028627871021754188
Position 2603: 0.019847930116121678
Position 12157: 0.016055742287631215
Position 11535: 0.011217500035659977
Position 1510: 0.01048967226845349
Position 444: 0.0052833531798173825
Position 12909: 0.004885880244127583
Position 11277: 0.0037321613586167135
Position 356: 0.0031403267576005423
Position 13271: 0.0029119549953279845
Position 706: 0.0027574288045617884
Position 1737: 0.002731392469712347
Position 1602: 0.002713975836041973
Position 12822: 0.0024196734439585663
Position 11509: 0.0021712351968889787
Position 1972: 0.002067857645338392
Position 4503: 0.0019270783467338793
Position 3701: 0.0014171411677012258
Position 11315: 0.001404309400396892
Position 13126: 0.0011858417445317455
Position 12411: 0.0011716770113248832
Position 226: 0.0007512210772025934
Position 11907: 0.0007463612787981813
Position 317: 0.0007167703635717411
Position 11305: 0.0007002323313671747
Position 13275: 0.0006759809772393933
Position 158: 0.0005223795192659716
Position 147: 0.0004535562976836196
Position 12817: 0.0004513746468582352
Position 10796: 0.0004352003396025952
Position 12927: 0.0004300050202763563
Position 12555: 0.00041036612771346356
Position 12150: 0.00040588086543896416
Position 338: 0.0002980085641493465
Position 1646: 0.0002847707860329627
Position 62: 0.0002674207508663714
Position 12762: 0.0002642492592823469
Position 11575: 0.00023868678502884865
Position 11919: 0.0002372963985860747
Position 12303: 0.00023691743336363405
Position 13086: 0.00022866489420992353
Position 350: 0.00018126183285504738
Position 1332: 0.00016102892654931705
Position 12715: 0.00015452565325991594
Position 12956: 0.00013786402099664541
Position 174: 0.00013782164321403362
Position 942: 0.00013409972156859387
Position 11730: 0.0001320960576620825
Position 49: 0.0001312321162141587
Position 193: 0.00012363377112712177
Position 836: 0.00011734671948383617
Position 13667: 0.00011242353713494678
Position 390: 0.00011241040050763836
Position 172: 0.0001065249160508314
Position 330: 0.00010264062975052051
Position 13072: 9.341900898636044e-05
Position 1586: 8.572252576095001e-05
Position 934: 7.93091106278674e-05
Position 360: 7.748027646684356e-05
Position 12935: 7.717621329734564e-05
Position 636: 7.65184666217297e-05
Position 13042: 7.252650265590543e-05
Position 10831: 6.9845735583021e-05
Position 1902: 6.868540515395026e-05
Position 12202: 5.457457404896068e-05
Position 180: 5.096821217556187e-05
Position 11322: 4.9784935475463053e-05
Position 161: 4.7793786414608484e-05
Position 13209: 4.631322846361981e-05
Position 419: 4.500584671146533e-05
Position 11408: 3.965946875965813e-05
Position 13035: 3.404347124479505e-05
Position 1857: 3.311637247695261e-05
Position 164: 3.0191132742047547e-05
Position 12493: 2.4253968038855835e-05
Position 1875: 2.2742170539137072e-05
Position 1044: 2.2184016378897143e-05
Position 1679: 2.2051996749064314e-05
Position 11259: 1.978064607459666e-05
Position 106: 1.9650128520756117e-05
Position 12426: 1.8353332858587825e-05
Position 11317: 1.7768319865328977e-05
Position 2587: 1.7674829400811063e-05
Position 10994: 1.736860070674874e-05
Position 2423: 1.5413475279546018e-05
Position 1440: 1.4998195232164715e-05
Position 1630: 1.3631318767231356e-05
Position 222: 1.3616464150506127e-05
Position 12868: 1.3505400098376102e-05
Position 1182: 1.3289422019441377e-05
Position 11442: 1.296739302729572e-05
Position 11406: 1.1841134699510325e-05
Position 12496: 1.1515005976261723e-05
Position 52: 1.1415380297332794e-05
Position 1199: 1.1035987413282532e-05
Position 712: 1.0128681433343646e-05
Position 670: 8.867320081380863e-06
Position 3286: 8.751739935884264e-06
Position 913: 8.424781429853553e-06
Position 11648: 8.383688951104956e-06
Position 448: 8.093323232551526e-06
Position 12232: 7.228711346134627e-06
Position 2872: 6.082170635326006e-06
Position 1713: 5.628888324723041e-06
Position 1399: 5.406934498737681e-06
Position 3306: 5.263454285321966e-06
Position 413: 4.948329947928867e-06
Position 399: 4.83823880940079e-06
Position 743: 4.753642362532752e-06
Position 13177: 4.579178611794422e-06
Position 12537: 4.3052279015122315e-06
Position 4077: 4.227036457073641e-06
Position 855: 3.4986471742915632e-06
Position 573: 3.176054954683529e-06
Position 2626: 3.025496116285097e-06
Position 3269: 2.300935217729484e-06
Position 806: 2.2202373924545637e-06
Position 11399: 2.2130650440678235e-06
Position 2371: 2.2120222620034307e-06
