Gene = bbg
index = 1624
Annotated 5SS: [   238   2716  25373  28663 121510 121707 122197 122702]
Annotated 3SS: [  2553  23005  26356 119080 121577 121781 122560 122765]
SMsplice 5SS: [   795   2716  16179  16388 121510 121707 122197 122702]
SMsplice 3SS: [  1596  15609  16249 119080 121577 121781 122560 122765]
top_k =  1000
Partition function (log Z): -128.40551440992238

Sorted 5' Splice Sites (High to Low Probability):
Position 16179: 0.9978986360827403
Position 2716: 0.849118215487957
Position 795: 0.6325064962460264
Position 16388: 0.5022469022609217
Position 16449: 0.25431543487295555
Position 10909: 0.11839365514162882
Position 1734: 0.09685355757601787
Position 545: 0.0858577554317803
Position 238: 0.07929012745239013
Position 2503: 0.07278191030537862
Position 1019: 0.0504679341836228
Position 154: 0.03960676330030572
Position 1824: 0.039099101931562734
Position 2431: 0.02411229028162382
Position 844: 0.01623497145163773
Position 437: 0.011342578967276017
Position 539: 0.009781239405534341
Position 1920: 0.009340330311223855
Position 1727: 0.008493769646596566
Position 502: 0.00769980228804755
Position 12: 0.00730966630652327
Position 11908: 0.006413904297961044
Position 1419: 0.005609302858445104
Position 11219: 0.00554536330990447
Position 8186: 0.005489851761633533
Position 222: 0.004835785023465717
Position 1493: 0.004263064648444751
Position 269: 0.004239760046865689
Position 529: 0.004055577286252848
Position 747: 0.0037862543838547893
Position 883: 0.0034970501018774768
Position 1390: 0.003476460982984548
Position 479: 0.0031372823729023166
Position 340: 0.0022555213801707173
Position 190: 0.0021207966362607376
Position 964: 0.0019639502294697933
Position 662: 0.0018840088398986976
Position 147: 0.0017272561088004146
Position 1172: 0.0015478231294353685
Position 2191: 0.0008980234832194207
Position 40: 0.0008915900702228432
Position 650: 0.000863681235954851
Position 160: 0.0008557095753520959
Position 15882: 0.00072469549735571
Position 1926: 0.0005200763469514457
Position 2493: 0.0005041314603554328
Position 10937: 0.0004974001297205924
Position 1377: 0.00044309778094893534
Position 859: 0.0004354266155213698
Position 1999: 0.00041860658882747476
Position 231: 0.00039431557914975876
Position 332: 0.0003831248259263666
Position 799: 0.00038056071244335334
