Gene = Culd
index = 1112
Annotated 5SS: [ 292  685 1153 2055 2818]
Annotated 3SS: [ 353  747 1685 2112 2883]
SMsplice 5SS: [ 292 1153 1519 2055 2818]
SMsplice 3SS: [ 353 1348 1685 2112 2883]
top_k =  1000
Partition function (log Z): 5.524458563276719

Sorted 5' Splice Sites (High to Low Probability):
Position 2055: 0.9929463466311559
Position 292: 0.9823930196577056
Position 1153: 0.969298865837811
Position 2818: 0.9375377550842648
Position 1519: 0.6605041259606116
Position 2998: 0.4645441112526871
Position 685: 0.4071831489544572
Position 909: 0.31719907229369715
Position 2544: 0.15027503492885969
Position 1615: 0.13241603425803167
Position 1000: 0.0671735122282181
Position 705: 0.04214516105574205
Position 2264: 0.026839859732588553
Position 1591: 0.020566391821278184
Position 594: 0.013212668867152487
Position 3197: 0.009636211536090938
Position 868: 0.008065558620589976
Position 1550: 0.007103051327192495
Position 437: 0.0065256246966218685
Position 1265: 0.00567000263142296
Position 1495: 0.00465375768621728
Position 1216: 0.003917275458239108
Position 3213: 0.00282495182470474
Position 1430: 0.002590693350841221
Position 1255: 0.002475940608217809
Position 1555: 0.002455595318413003
Position 1026: 0.0024223004341041242
Position 1514: 0.002214959756672614
Position 481: 0.002152136898862193
Position 1504: 0.0018099197678384498
Position 1098: 0.0014360114553717048
Position 2406: 0.0013164608982676289
Position 3002: 0.0012940902759001189
Position 1558: 0.0007062765431878193
Position 1509: 0.0006486795900887273
Position 3822: 0.000624838568873042
Position 2822: 0.0005755632788269264
Position 271: 0.000502241162064193
Position 1157: 0.00039024534644186446
Position 256: 0.0003806389404926778
Position 762: 0.0002937216100079255
Position 822: 0.0002864723773874984
Position 2385: 0.0002658328621161479
Position 2425: 0.00024058045163484796
Position 2455: 0.00024021174713129237
Position 1433: 0.00022695421827805757
Position 3833: 0.0001954009480552765
Position 3204: 0.00019211983406755142
Position 709: 0.00017512870143886978
Position 2815: 0.00017439835613022175
Position 1442: 0.0001679133378061415
Position 298: 0.00015947764952225086
Position 701: 0.0001553619254527467
Position 2059: 0.0001499165421912402
Position 3809: 0.0001427282774681336
Position 1080: 0.00014020235366981606
Position 1757: 0.00012702728269083798
Position 1572: 0.00012548640002181026
Position 3201: 0.00012444393792940476
Position 1437: 0.0001228209627071358
Position 2000: 0.0001181464781024228
Position 836: 0.00011360976539443311
Position 802: 0.00010952095243211493
Position 401: 0.00010101344793755103
Position 1595: 8.891735781381952e-05
Position 296: 8.266701048101365e-05
