Gene = Taf12L
index = 1543
Annotated 5SS: [209]
Annotated 3SS: [268]
SMsplice 5SS: [209]
SMsplice 3SS: [268]
top_k =  1000
Partition function (log Z): -5.642358221233882

Sorted 5' Splice Sites (High to Low Probability):
Position 209: 0.9934676068932017
Position 339: 0.005576944714982941
Position 170: 0.002985351721437493
Position 213: 0.0028971631578564743
Position 550: 0.0010387450977823256
Position 518: 0.0007941937563409274
Position 184: 0.00031397801447839615
Position 398: 7.155387029242287e-05
Position 428: 2.6524726227501677e-05
Position 564: 2.2909358424750963e-05
Position 448: 2.1934323855669448e-05
Position 574: 2.1398093955928552e-05
Position 24: 1.8031001689715832e-05
Position 466: 1.598440634696571e-05
Position 496: 1.2035438608844623e-05
Position 412: 1.086850033465215e-05
Position 250: 9.873058476114603e-06
Position 478: 7.363969946619281e-06
Position 534: 4.117271495190682e-06
Position 403: 2.20337694022961e-06
Position 434: 2.2020896581205235e-06
Position 123: 1.7072133284122312e-06
Position 374: 1.3253343605963361e-06
Position 149: 1.2604501817748893e-06
Position 40: 8.550372024769445e-07
Position 188: 4.570129152368504e-07
Position 76: 2.3495761446976437e-07
Position 299: 1.1164459126726195e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 268: 0.9751668969911985
Position 304: 0.022365307558770996
Position 398: 0.005678988325012917
Position 629: 0.0019304416356804024
Position 280: 0.0007638428315617064
Position 578: 0.000549652836927826
Position 232: 0.0005432265493402732
Position 403: 0.00014500005605517371
Position 338: 4.9521674426934976e-05
Position 582: 4.8084976387084976e-05
Position 460: 2.137293803456306e-05
Position 506: 1.684786673409914e-05
Position 357: 1.107278869258058e-05
Position 521: 9.13769085657956e-06
Position 66: 8.011240021599326e-06
Position 105: 5.500924085076936e-06
Position 362: 4.575202075397985e-06
Position 412: 2.9627673273839693e-06
Position 88: 2.6547095966163116e-06
Position 432: 1.1578017202782478e-06
Position 421: 8.846884115663635e-07
Position 448: 8.282775076600768e-07
Position 590: 7.604275357814527e-07
Position 123: 1.578155390375116e-07
Position 132: 2.5632931968581136e-08
Position 137: 1.0010877395651315e-08
Position 466: 6.19944305273751e-09
Position 184: 1.6354797838456322e-09
Position 157: 1.09353082483436e-09
Position 114: 5.381755651298031e-10
Position 144: 4.94376697158292e-10
Position 423: 2.3981206886220634e-10
Position 160: 6.331773910310143e-11
Position 201: 7.950751383450631e-12
Position 154: 1.87401151795245e-12
Position 178: 1.038684470006843e-12
Position 90: 1.0447841813520242e-13
Position 164: 8.092415453644082e-14
Position 168: 3.3549274401659654e-14
Position 180: 6.0511603765248e-18
