Gene = Tig
index = 1561
Annotated 5SS: [ 183 1051 4625 5653 7754]
Annotated 3SS: [ 789 1358 4692 5725 7811]
SMsplice 5SS: [ 183 1051 2198 4625 5653 7754]
SMsplice 3SS: [ 789 1358 4330 4692 5725 7811]
top_k =  1000
Partition function (log Z): 11.102864178107758

Sorted 5' Splice Sites (High to Low Probability):
Position 5653: 0.998180337885706
Position 1051: 0.9931288896150596
Position 4625: 0.9912245074183978
Position 7754: 0.8754949175534301
Position 183: 0.8178447630555948
Position 2198: 0.7357926734559387
Position 1559: 0.16177108415627406
Position 7914: 0.11554908016183298
Position 65: 0.09794381613417391
Position 7932: 0.043956108275688056
Position 2391: 0.04248009456234727
Position 703: 0.027223762531620562
Position 3311: 0.023506757603958036
Position 4241: 0.020369336332968318
Position 1288: 0.01537494393980351
Position 6939: 0.01057098214698384
Position 1607: 0.010270346980192578
Position 6895: 0.009656382927285372
Position 2473: 0.007754456333242
Position 3143: 0.006784136664277233
Position 1634: 0.006290504074982347
Position 6648: 0.006036061712687092
Position 1814: 0.0058006509332947905
Position 231: 0.0049441385374795945
Position 74: 0.004468394491141352
Position 6194: 0.003842158958753559
Position 518: 0.0035468508757770475
Position 6605: 0.0032840918141645342
Position 4902: 0.0032748350361645495
Position 5791: 0.0031761858147059045
Position 83: 0.0031079648990198095
Position 171: 0.002917602904387021
Position 4281: 0.0026906642357536485
Position 7877: 0.0026864737671824825
Position 7157: 0.0024914427489666296
Position 3800: 0.002438902616593734
Position 2978: 0.0022228669473767326
Position 1136: 0.0022204073398918995
Position 6527: 0.002189903293779493
Position 1188: 0.002104250561612254
Position 1304: 0.002001772313552922
Position 1985: 0.0019924463656664604
Position 4777: 0.0019576517080810763
Position 7911: 0.0018804352160884713
Position 963: 0.0016559948561961234
Position 5641: 0.0014970675975668661
Position 6315: 0.0014619431361070018
Position 6522: 0.0014276169393088083
Position 227: 0.0013771559883173595
Position 6321: 0.0013472906279274862
Position 5816: 0.0013394622412682222
Position 5243: 0.0012712210020100927
Position 7918: 0.0012109463891597644
Position 1267: 0.0011921404240445503
Position 511: 0.001068112617037961
Position 1238: 0.0009879186968670376
Position 630: 0.0009242264081966668
Position 4629: 0.0008351329429463889
