Gene = l(2)k05819
index = 1748
Annotated 5SS: [ 294  983 1755 1977 2711 4879 5104 5405]
Annotated 3SS: [ 348 1039 1813 2613 2772 4940 5157 5464]
SMsplice 5SS: [ 294  983 1755 2711 4879 5104 5405]
SMsplice 3SS: [ 348 1039 1813 2772 4940 5157 5464]
top_k =  1000
Partition function (log Z): 5.432401307143265

Sorted 5' Splice Sites (High to Low Probability):
Position 294: 0.9957254799078212
Position 2711: 0.9948661472754036
Position 5405: 0.9758076143429228
Position 4879: 0.9663021852768187
Position 5104: 0.9525454915678364
Position 983: 0.8366820676347475
Position 1755: 0.5008598495203446
Position 1977: 0.19032811334812777
Position 1932: 0.1341286953976173
Position 2234: 0.11382123450817844
Position 2833: 0.07446505409449085
Position 3645: 0.07385910618806951
Position 3307: 0.06781120196748577
Position 3560: 0.05352450354859636
Position 1494: 0.05166649054328122
Position 3355: 0.04226387238271608
Position 3110: 0.0334458639081845
Position 2003: 0.020401246182707816
Position 2573: 0.01922735678971749
Position 2211: 0.018663643183733248
Position 2244: 0.017960827030792353
Position 1938: 0.01708519926508538
Position 3322: 0.01537084670596078
Position 3640: 0.013552348996649654
Position 1915: 0.01188549290123178
Position 2839: 0.010643229416856788
Position 5409: 0.010520102234900533
Position 5684: 0.008747868456815994
Position 3724: 0.007246207830543213
Position 1958: 0.006346011065006472
Position 5791: 0.005353895124062525
Position 5642: 0.004621764141639786
Position 1529: 0.004429278188693442
Position 5908: 0.004126730044303555
Position 2321: 0.003873305422301763
Position 1445: 0.0035331231521162276
Position 1451: 0.003020869908476563
Position 2391: 0.0027154728676071238
Position 1738: 0.0026808159738261924
Position 5580: 0.0026495450437206713
Position 5266: 0.002562188106606195
Position 3887: 0.002252141813763821
Position 3333: 0.0022317967333414872
Position 3116: 0.0020396556294971975
Position 3266: 0.0019858609584722108
Position 385: 0.001790745100371547
Position 6173: 0.0016346930767033598
Position 2859: 0.0014352933020532915
Position 6213: 0.0013798030247368558
Position 2260: 0.001307051132370129
Position 3038: 0.0012337784915994274
Position 5666: 0.0012323259884622847
Position 1581: 0.0012067583251606211
Position 4016: 0.001176881665897812
Position 5862: 0.001094290702494808
Position 1193: 0.0009616080991347598
Position 1302: 0.0009459939107647422
Position 603: 0.000899814248913203
Position 1705: 0.0008061664780393202
Position 1342: 0.0005736944438523191
Position 5842: 0.0005518553831230783
Position 3854: 0.0005440321996696904
Position 2685: 0.0005418824681770864
Position 5365: 0.000535371976296143
Position 3120: 0.0004755968763823376
Position 5657: 0.0004746829175019934
Position 719: 0.00040165578200164644
Position 2721: 0.00037786094196196
Position 6192: 0.000362941572536256
Position 639: 0.00032907839681712013
Position 6204: 0.000312638284767269
Position 1051: 0.0003055471910661597
Position 1225: 0.00027045833247655205
Position 6035: 0.00025276977574478305
Position 1410: 0.0002492548567439019
Position 1169: 0.0002336890897797798
Position 1243: 0.00021226772528213915
Position 5875: 0.00019202987051773456
Position 5571: 0.00018052232539068224
Position 1613: 0.00016784403073078857
Position 6073: 0.00015696306147502175
Position 5: 0.00014329499017338702
Position 5545: 0.00014075768740275473
Position 6142: 0.0001396505316548111
Position 6101: 0.00013708076881234097
Position 2863: 0.00013224827613433093
Position 5880: 0.00012952497835454153
Position 11: 0.00012461840171051563
Position 1315: 0.00012230551517405062
Position 1619: 0.00010860544030326282
Position 5242: 0.00010775079613591044
Position 1981: 0.0001074444783331371
Position 5694: 8.956900927866878e-05
Position 2671: 7.945371729788312e-05
Position 1796: 7.928747887954825e-05
Position 2726: 6.953226897642867e-05
Position 881: 6.131484842735245e-05
Position 6161: 5.824265374208593e-05
Position 1921: 5.669504759572681e-05
Position 1416: 5.118183317066402e-05
Position 1291: 5.062569651452216e-05
Position 5710: 5.0006777720393784e-05
Position 6065: 4.64966003946803e-05
Position 5676: 4.448340640381921e-05
Position 1407: 4.3141598210913394e-05
Position 79: 4.156194578214699e-05
Position 5832: 4.147087866329808e-05
Position 515: 4.019668221642847e-05
Position 5506: 4.0164371271406255e-05
Position 2007: 3.513644503250098e-05
Position 91: 2.990664102110018e-05
Position 1782: 2.7502296708098915e-05
Position 2070: 2.549647427505964e-05
Position 715: 2.4860897201928836e-05
Position 5336: 2.474330520078795e-05
Position 1105: 2.3880777724501402e-05
Position 512: 2.356605419430235e-05
Position 3045: 2.0624344876249284e-05
Position 1652: 1.9880901325418018e-05
Position 5732: 1.972601341544395e-05
Position 435: 1.9402651090172863e-05
Position 6117: 1.9017260413552733e-05
Position 509: 1.8506438608521043e-05
Position 1661: 1.5281152589250803e-05
Position 5373: 1.4896643839355215e-05
Position 3202: 1.4794432426826542e-05
Position 5327: 1.452455383212136e-05
Position 1459: 1.280241586053973e-05
Position 5636: 1.2429161324815247e-05
Position 1814: 1.0643718231782328e-05
Position 2340: 1.0399566456246887e-05
Position 320: 9.637432782488323e-06
Position 30: 8.76513869609902e-06
Position 2013: 7.329602863745996e-06
Position 3104: 7.097835356781059e-06
Position 659: 6.495002005565745e-06
Position 2866: 6.220556407557781e-06
Position 5752: 5.995436807214501e-06
Position 885: 5.877576615917998e-06
Position 1377: 5.7784813837845166e-06
Position 298: 5.719974731861422e-06
Position 1163: 5.50019930505021e-06
Position 2096: 5.323430378648527e-06
Position 3030: 5.135377033309341e-06
Position 3274: 4.912213120265743e-06
Position 2729: 4.668684837593404e-06
Position 1474: 4.6299106443969954e-06
Position 164: 4.600889705520482e-06
Position 217: 4.465472463552187e-06
Position 2381: 4.459554414473392e-06
Position 2151: 4.274665026503688e-06
Position 1585: 4.212735424086756e-06
Position 423: 4.1227595309594114e-06
Position 1264: 3.941754414715958e-06
Position 1777: 3.879806132990701e-06
Position 923: 2.861434344451287e-06
Position 845: 2.744041838177283e-06
Position 3141: 2.6780682294955622e-06
Position 1622: 2.641635405500615e-06
Position 475: 2.444254502804315e-06
Position 2996: 2.25824274831579e-06
