Gene = Blos4
index = 52
Annotated 5SS: [229]
Annotated 3SS: [282]
SMsplice 5SS: [229]
SMsplice 3SS: [282]
top_k =  1000
Partition function (log Z): -4.311821312300935

Sorted 5' Splice Sites (High to Low Probability):
Position 229: 0.9971872881223633
Position 751: 0.21240584212564942
Position 618: 0.0021276769177658097
Position 737: 0.001769205943987547
Position 391: 0.001218675046875779
Position 510: 0.0010722328612878672
Position 400: 0.0005364864313613572
Position 248: 0.0004374732099519964
Position 25: 0.0004127930350190472
Position 874: 0.0003494984115546202
Position 637: 0.0003125593961003466
Position 717: 0.00023995410063020424
Position 219: 0.00020012020140615093
Position 283: 0.00017690422304962301
Position 44: 0.0001142508187443267
Position 377: 0.00011214605676497786
Position 233: 0.00010878987404180614
Position 967: 5.933925497792024e-05
Position 18: 5.3859586408294285e-05
Position 1029: 5.2676906577619096e-05
Position 389: 4.5791874536060345e-05
Position 395: 3.73286785854793e-05
Position 397: 2.8413758668057532e-05
Position 37: 2.4474345569737952e-05
Position 682: 1.5019297716526836e-05
Position 562: 1.1717779445235995e-05
Position 515: 1.0559442885255123e-05
Position 335: 9.157310204242778e-06
Position 9: 6.18732928971435e-06
Position 977: 5.8382005780481086e-06
Position 987: 4.180961286512022e-06
Position 347: 2.437382680503317e-06
Position 168: 2.210661054109507e-06
Position 421: 2.0102425497176558e-06
Position 1032: 1.5982287021177024e-06
Position 970: 1.4472531075778712e-06
Position 707: 1.4232581279434615e-06
Position 583: 1.095871557045383e-06
Position 106: 9.840060553557937e-07
Position 433: 7.359332066930383e-07
Position 267: 6.388114021266364e-07
Position 287: 3.9788691838102286e-07
Position 793: 2.9544869155903357e-07
Position 236: 2.377281579023362e-07
Position 898: 1.2941761784779516e-07
Position 995: 3.156738587767378e-08
Position 252: 1.6945588744302905e-08
Position 414: 8.694404776390563e-09
Position 404: 5.897786259099261e-09
Position 254: 5.122553142673786e-09
Position 460: 3.9833479072418414e-09
Position 319: 2.1291170797721724e-11
Position 907: 5.514211902154095e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 282: 0.9937170595510278
Position 805: 0.19134368311443958
Position 922: 0.011255270220296269
Position 935: 0.007127648844528833
Position 888: 0.0032664863518598723
Position 334: 0.0029002435092458003
Position 869: 0.0023020211910361136
Position 849: 0.00152721633133068
Position 1027: 0.000856453675431174
Position 343: 0.0007277237976539159
Position 671: 0.0006079629879437968
Position 1076: 0.0005999187321594497
Position 442: 0.0004606289809493724
Position 1087: 0.00043224199054197015
Position 682: 0.00026057040074415396
Position 135: 0.00024003872832400517
Position 774: 0.00021396651493206964
Position 126: 0.00019929657990841996
Position 347: 0.00018238876148704428
Position 987: 0.00018127464612145803
Position 495: 0.00015935137407732902
Position 939: 0.00010486872108464928
Position 702: 6.203829137620431e-05
Position 692: 5.8106909539512325e-05
Position 855: 5.284202335477197e-05
Position 61: 4.6859906182076107e-05
Position 1044: 3.1737909906162946e-05
Position 1047: 3.087551175289006e-05
Position 734: 2.540789023841037e-05
Position 504: 2.2384460203255865e-05
Position 567: 2.1032543429628186e-05
Position 1032: 1.7952908858706095e-05
Position 530: 1.7467116786687272e-05
Position 714: 1.642563357368149e-05
Position 466: 1.5706967351919096e-05
Position 473: 1.3344991142767704e-05
Position 400: 8.52486993766966e-06
Position 363: 8.191055075270807e-06
Position 404: 7.999319353100672e-06
Position 717: 7.19536741141871e-06
Position 453: 5.057974540825695e-06
Position 539: 4.125853885784675e-06
Position 1092: 4.089343924890008e-06
Position 750: 3.3513600791672318e-06
Position 579: 2.6225826396042385e-06
Position 428: 2.5384331343765432e-06
Position 102: 1.8098760394827648e-06
Position 450: 1.6983648028891852e-06
Position 1094: 1.1096727127639552e-06
Position 955: 8.473257287684395e-07
Position 267: 8.028299253243536e-07
Position 521: 7.824700071348204e-07
Position 510: 6.543105402529887e-07
Position 368: 5.355140278167582e-07
Position 354: 5.061262090138301e-07
Position 421: 3.275442373700422e-07
Position 252: 1.6297953768673044e-07
Position 153: 1.412385479696493e-07
Position 618: 9.329031828384393e-08
Position 515: 8.224594127839008e-08
Position 1029: 7.796244368643177e-08
Position 480: 7.654488123936096e-08
Position 1051: 5.43665000058945e-08
Position 704: 4.397293244324697e-08
Position 570: 4.1874931521968957e-08
Position 150: 3.1412507826078057e-08
Position 624: 2.6635182569834965e-08
Position 248: 1.73538685031834e-08
Position 447: 1.4430706771333574e-08
Position 137: 9.376451154743725e-09
Position 197: 4.0569464888141316e-09
Position 233: 3.665871510493167e-09
Position 156: 3.4679560805490564e-09
Position 183: 2.6629062153557423e-09
Position 213: 6.439109145158678e-11
Position 384: 1.6495399625317983e-13
