Gene = tral
index = 1917
Annotated 5SS: [ 514 2001 2899 3196 3609 4012]
Annotated 3SS: [1499 2356 2964 3378 3670 4084]
SMsplice 5SS: [ 514 2001 2899 3166 3609 4012]
SMsplice 3SS: [1499 2368 2964 3378 3673 4084]
top_k =  1000
Partition function (log Z): 17.436780135668904

Sorted 5' Splice Sites (High to Low Probability):
Position 3609: 0.9954559761122177
Position 2001: 0.9921739840569272
Position 514: 0.963706370526887
Position 2899: 0.9365438961555372
Position 4012: 0.876899401429579
Position 3166: 0.714020455536904
Position 3196: 0.23830092749289417
Position 4185: 0.08770613286787948
Position 5295: 0.07394388743898891
Position 1312: 0.05652609949387169
Position 4601: 0.043555672614746986
Position 3170: 0.04267429873681708
Position 5290: 0.03968246869883652
Position 5471: 0.03756378617998522
Position 232: 0.03422566144112979
Position 1158: 0.032500782925141476
Position 1102: 0.01868122344871876
Position 14: 0.01709014920654634
Position 2911: 0.016240699397916922
Position 4180: 0.015032345967952204
Position 4732: 0.01492373647347375
Position 1439: 0.009299483882798578
Position 755: 0.008298410105140559
Position 5695: 0.008165133037921999
Position 5496: 0.004415445427382696
Position 2639: 0.0037513568823246673
Position 2416: 0.0035982527858113896
Position 3999: 0.0033879652379860533
Position 3275: 0.002856984912094037
Position 3178: 0.0027997232444694764
Position 5223: 0.0026294324260294844
Position 5611: 0.0025511141137746596
Position 4008: 0.002480779164944359
Position 5486: 0.002429659988762296
Position 5301: 0.0023705041159528765
Position 1096: 0.001800737518821957
Position 4446: 0.0017743000276574945
Position 5639: 0.001490359940361188
Position 2654: 0.0014828392734578426
Position 4452: 0.0011775990306961068
Position 5810: 0.001163151255282941
Position 359: 0.0009476414074455727
Position 4612: 0.0008763281497136678
Position 82: 0.0008750579066661391
Position 4971: 0.0008674525845330042
Position 1429: 0.0008473385567556581
Position 705: 0.0008115937938893247
Position 2789: 0.0007706366202324306
Position 2005: 0.0006270055388015528
Position 578: 0.0006085062845836438
Position 5708: 0.0005922375570207943
Position 5028: 0.0005216782419317765
Position 477: 0.0004949485321059387
Position 1142: 0.00044432869887632364
Position 4016: 0.00041453818651990157
Position 1134: 0.00035281689732661415
Position 518: 0.0003061895239213254
Position 1027: 0.00030583323767523505
Position 928: 0.00029402244054650565
Position 4623: 0.0002867209623608586
Position 5011: 0.00025613489977698245
Position 555: 0.00024299177098219255
Position 4313: 0.00023734508645766018
Position 5668: 0.00022264677225720752
Position 5802: 0.000219266261223382
Position 1298: 0.00021614527655414642
Position 1195: 0.00019288047790141002
Position 4505: 0.00018316871190121579
Position 719: 0.00017762210848352484
Position 1886: 0.0001730723792556382
Position 4822: 0.00016772397022177233
Position 832: 0.0001571431341316343
Position 2232: 0.00015038372278275783
Position 2256: 0.0001288931372600901
Position 4235: 0.00012395205169379801
Position 4978: 0.0001230829380056087
Position 511: 0.00011820556369747822
Position 2009: 0.00011152324893081252
Position 5500: 0.0001052451236381053
Position 3319: 9.671333175547617e-05
Position 2269: 8.426920207839544e-05
Position 1088: 7.348970381185775e-05
Position 623: 7.291063441374008e-05
Position 255: 6.615569415845212e-05
Position 675: 6.307413683885616e-05
Position 2294: 6.229122294855949e-05
Position 210: 5.495002284041288e-05
Position 4458: 5.4718223072659784e-05
Position 266: 4.695573695245124e-05
Position 5548: 4.1671327128233344e-05
Position 3965: 3.842430750706524e-05
Position 4063: 3.821720417179925e-05
Position 1350: 3.7748461211215966e-05
Position 4285: 3.690373260600248e-05
Position 868: 3.681589272472841e-05
Position 3094: 3.327559793347633e-05
Position 2047: 3.281307782968074e-05
Position 732: 2.817136907626807e-05
Position 2606: 2.706660923247733e-05
Position 18: 2.645576945750577e-05
Position 634: 2.6208769600976995e-05
Position 208: 2.5443529780593994e-05
Position 679: 2.4404486310095314e-05
Position 2480: 2.2654290380605663e-05
Position 1237: 2.203794400446719e-05
Position 84: 2.1643635596894295e-05
Position 1607: 1.8149792499673313e-05
Position 383: 1.7921079255660584e-05
