Gene = aurB
index = 1616
Annotated 5SS: [ 251 1024]
Annotated 3SS: [ 305 1083]
SMsplice 5SS: [ 251 1024]
SMsplice 3SS: [ 305 1083]
top_k =  1000
Partition function (log Z): -2.2111370433551296

Sorted 5' Splice Sites (High to Low Probability):
Position 1024: 0.9779810521290756
Position 251: 0.9741647362413826
Position 255: 0.002568912496069319
Position 177: 0.0005884733690152525
Position 1243: 0.000579367624219185
Position 764: 0.0004491674271339417
Position 463: 0.0004486439147802221
Position 418: 0.0004245560262344636
Position 642: 0.0003985801654050759
Position 1225: 0.00018952779255074345
Position 212: 0.00017497651529646742
Position 633: 0.00014780522814971918
Position 1232: 0.00013713646374926988
Position 876: 0.00011863828759531446
Position 1241: 8.50870051429787e-05
Position 655: 5.5538216896900826e-05
Position 691: 4.054634257952842e-05
Position 1028: 2.7653663171057448e-05
Position 227: 1.9998943055687155e-05
Position 570: 1.836329563230897e-05
Position 900: 1.5386829673600535e-05
Position 458: 1.3167338642791151e-05
Position 838: 1.3008288254253195e-05
Position 768: 1.0324307205584742e-05
Position 528: 8.170747357108121e-06
Position 865: 5.65880835368946e-06
Position 873: 4.7239344815753715e-06
Position 1144: 4.605512812247739e-06
Position 451: 3.6083619915198516e-06
Position 486: 2.0097432761643992e-06
Position 406: 1.7503672029488751e-06
Position 914: 1.2682607794866618e-06
Position 274: 1.1311244103660132e-06
Position 599: 1.0112284578182124e-06
Position 423: 7.888800939911476e-07
Position 108: 7.617430303622779e-07
Position 993: 5.81447038261689e-07
Position 585: 5.684016623920492e-07
Position 804: 4.6256411344441174e-07
Position 1126: 3.540080972030289e-07
Position 891: 3.362248621958373e-07
Position 1120: 2.4860266680092786e-07
Position 907: 2.4038105078876294e-07
Position 927: 2.16785647787928e-07
Position 904: 1.2568383367175672e-07
Position 368: 5.656003467301379e-08
Position 677: 3.8105243871691483e-08
Position 370: 3.439183411106735e-08
Position 1038: 2.0046479610051803e-08
Position 317: 1.3802478847402304e-08
Position 284: 1.106999511399561e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 305: 0.9768876804783048
Position 1083: 0.9732448590473787
Position 1066: 0.003413425584240944
Position 1095: 0.0013545069725948346
Position 1293: 0.0010217517801694258
Position 797: 0.0006778796441520337
Position 734: 0.000613425035566022
Position 834: 0.00035469886694200297
Position 711: 0.00028037002428411763
Position 935: 0.0002777034479680372
Position 1259: 0.00016526788243616873
Position 1149: 0.00016399976051732106
Position 750: 3.1831198433849146e-05
Position 333: 2.6369224776925027e-05
Position 873: 2.143947733919655e-05
Position 462: 1.9432652513347658e-05
Position 1104: 1.767988824314443e-05
Position 717: 1.7431649075119674e-05
Position 317: 1.7243747646480625e-05
Position 792: 1.3211237290573574e-05
Position 417: 1.2201553138903607e-05
Position 456: 1.1892801623799703e-05
Position 900: 1.0801959712137354e-05
Position 642: 1.0212065563106347e-05
Position 1100: 1.0036177701434204e-05
Position 999: 8.6380020735617e-06
Position 655: 7.902006067290769e-06
Position 480: 4.505661100323997e-06
Position 486: 4.260002014891103e-06
Position 591: 1.1224811266236784e-06
Position 498: 9.42697567763018e-07
Position 430: 8.967168197422373e-07
Position 1008: 6.597064156626914e-07
Position 1176: 6.476737499410158e-07
Position 953: 6.13709371501182e-07
Position 248: 5.714196067582865e-07
Position 1182: 4.633317480062344e-07
Position 1166: 4.126905590410319e-07
Position 957: 3.7813991963290884e-07
Position 576: 3.6399266051393473e-07
Position 221: 3.5781637944052384e-07
Position 927: 3.451605345072055e-07
Position 176: 2.2170488079511065e-07
Position 435: 1.8503133286851746e-07
Position 540: 1.5425795304912867e-07
Position 1170: 9.837563894606284e-08
Position 474: 7.345894097101668e-08
Position 942: 7.340255219575384e-08
Position 582: 7.076568538405934e-08
Position 432: 5.225192178483173e-08
Position 1203: 4.8650645317121406e-08
Position 444: 1.4377279215756686e-08
Position 387: 7.0672504123841495e-09
Position 268: 6.387504598482503e-09
Position 1232: 2.6576458439934827e-09
Position 261: 2.1340056558818915e-09
Position 1200: 5.322254931242204e-10
Position 194: 1.621982922514345e-10
Position 185: 7.410118712452608e-11
Position 188: 3.216894751513781e-11
Position 206: 6.679814873929968e-12
Position 197: 2.259709098320557e-12
