Gene = geko
index = 1714
Annotated 5SS: [ 619 4302]
Annotated 3SS: [4099 5519]
SMsplice 5SS: [ 619 4302]
SMsplice 3SS: [4099 5519]
top_k =  1000
Partition function (log Z): -1.5530442771432034

Sorted 5' Splice Sites (High to Low Probability):
Position 4302: 0.9952033333922508
Position 619: 0.978142155738962
Position 5737: 0.07040546254089776
Position 5266: 0.06597091801311916
Position 1721: 0.051952486466076524
Position 5022: 0.05092189722731736
Position 5695: 0.04640426061363902
Position 1989: 0.03059666967676542
Position 2724: 0.01825579816480785
Position 1870: 0.014665016686474634
Position 513: 0.012060045630010192
Position 4700: 0.0116822483646859
Position 289: 0.010693858318007612
Position 1006: 0.009724580819499276
Position 5727: 0.009449797552588486
Position 4479: 0.0070934624875715795
Position 1145: 0.006010952474311766
Position 2419: 0.005298371845589782
Position 3463: 0.005281057593197977
Position 79: 0.004817136558954639
Position 1071: 0.00443003609494262
Position 3998: 0.004388024759523528
Position 5032: 0.004311699557690186
Position 2006: 0.004095301160401854
Position 5380: 0.004009319790995859
Position 3222: 0.003071921931311335
Position 5701: 0.0030071731332928643
Position 1503: 0.002993099972798184
Position 1573: 0.0029868018968518743
Position 5345: 0.002922721358329486
Position 5760: 0.0028643172954650725
Position 5315: 0.002819776134059172
Position 1552: 0.0028000954164168032
Position 1301: 0.002341438650270245
Position 33: 0.0021700995228344034
Position 1872: 0.0020115859011996685
Position 51: 0.001949529163830753
Position 1104: 0.0019205498404961461
Position 5167: 0.0018622845748803788
Position 5282: 0.0017711135486243293
Position 3911: 0.0016841274213527477
Position 167: 0.0014779033256583942
Position 767: 0.001337612446639457
Position 62: 0.0012836102968828108
Position 5896: 0.0010432079378886131
Position 2769: 0.0010180727059628195
Position 48: 0.0009907032508870563
Position 1256: 0.0009870492746015388
Position 197: 0.0009473669655122459
Position 4735: 0.0009188762345513667
Position 3540: 0.0008692469428197557
Position 5288: 0.0008328888099436533
Position 4751: 0.0008088982195612964
Position 1125: 0.0007096098870767216
Position 90: 0.0006545117827286395
Position 5565: 0.000641431666541343
Position 96: 0.0005315499412452571
Position 5112: 0.0005263652063678173
Position 2482: 0.000525948133794108
Position 2303: 0.0004884612887721424
Position 5798: 0.0004630696908227699
