Gene = l(2)34Fd
index = 1743
Annotated 5SS: [ 154  614 1389]
Annotated 3SS: [ 211  666 1448]
SMsplice 5SS: [ 154  614 1389]
SMsplice 3SS: [ 211  666 1448]
top_k =  1000
Partition function (log Z): 4.174669106675984

Sorted 5' Splice Sites (High to Low Probability):
Position 1389: 0.9984074762668687
Position 614: 0.9947159517898351
Position 154: 0.9408277985554125
Position 1550: 0.022113964591467646
Position 779: 0.014851317628995908
Position 772: 0.0076202588112359235
Position 141: 0.0038034638239869524
Position 982: 0.003527558984060093
Position 2215: 0.0017890158578623408
Position 599: 0.0014603722745333543
Position 796: 0.0014336881037143986
Position 605: 0.0012198641465142417
Position 1594: 0.0010462751597574386
Position 975: 0.0008056607245381669
Position 389: 0.0006270073838865811
Position 748: 0.0004871780697926684
Position 2005: 0.0003663693558995732
Position 340: 0.00033030447674941367
Position 1376: 0.0002910936909905196
Position 1971: 0.00028845949370464045
Position 145: 0.0002660484676890446
Position 2018: 0.00018596865523458467
Position 449: 0.00016367387925883678
Position 2254: 0.0001497364438971908
Position 1560: 0.0001471389448243104
Position 379: 0.00014268530030148044
Position 695: 0.00012634534587916045
Position 922: 0.00011861912783010392
Position 158: 8.759239589131357e-05
Position 1726: 8.74774965662248e-05
Position 46: 7.829785774935182e-05
Position 568: 7.389140395657888e-05
Position 391: 5.2791353699178205e-05
Position 1293: 5.1029428916782065e-05
Position 434: 4.9709342630616114e-05
Position 592: 4.8930541767285934e-05
Position 1691: 3.9488249056508766e-05
Position 815: 3.64725447331288e-05
Position 626: 3.633358567386755e-05
Position 943: 3.523340940703364e-05
Position 883: 3.4388764837341644e-05
Position 1393: 3.221944805709982e-05
Position 1704: 2.5044322561815053e-05
Position 1734: 2.14520153867774e-05
Position 1819: 2.089895618081245e-05
Position 1414: 2.014088351538824e-05
Position 374: 1.8471237180183998e-05
Position 2132: 1.7888378015387613e-05
Position 1308: 1.6178620728639045e-05
Position 90: 1.5840101702610896e-05
Position 1605: 1.5164140866015236e-05
Position 1077: 1.290443199168829e-05
Position 1470: 8.564756977031869e-06
Position 94: 7.64504784012071e-06
Position 1171: 7.136591505358434e-06
Position 743: 7.113324904604476e-06
Position 1164: 5.681892074166237e-06
Position 1111: 5.5938507414858215e-06
Position 865: 5.593533726094688e-06
Position 1236: 5.138889754362383e-06
Position 1116: 4.687998163824631e-06
Position 112: 4.411982438819287e-06
Position 1125: 4.293824661195509e-06
Position 32: 3.8278358441890866e-06
Position 2245: 2.931835624442893e-06
Position 830: 2.8392611347886744e-06
Position 873: 2.7575134239938703e-06
Position 400: 2.7356700182276153e-06
Position 1666: 2.2231085857873917e-06
Position 103: 2.012012371458419e-06
