Gene = ValRS-m
index = 1593
Annotated 5SS: [ 237 2059 2564 3253]
Annotated 3SS: [ 304 2113 2622 3312]
SMsplice 5SS: [ 237 2059 2564 3253]
SMsplice 3SS: [ 304 2113 2622 3312]
top_k =  1000
Partition function (log Z): 3.8969781934763774

Sorted 5' Splice Sites (High to Low Probability):
Position 237: 0.9994757606404397
Position 2059: 0.9939862114651412
Position 3253: 0.9363923706984226
Position 2564: 0.9297699976177685
Position 2860: 0.10106999372718009
Position 1405: 0.1004989022459183
Position 2724: 0.06557034665727796
Position 919: 0.027573803205112952
Position 969: 0.024367274902645904
Position 578: 0.0195440966691598
Position 3229: 0.015380083910991344
Position 2851: 0.013954577537278216
Position 592: 0.012351150223424038
Position 2412: 0.009873002954186421
Position 988: 0.00970726216196045
Position 2333: 0.009308892025322651
Position 1461: 0.009252371265105534
Position 998: 0.006126799800524374
Position 460: 0.005983128218983699
Position 1736: 0.0057761002622084626
Position 556: 0.005054812696685293
Position 1132: 0.005004584809816838
Position 547: 0.003611986959142173
Position 892: 0.002908653649899115
Position 901: 0.0022661529343102962
Position 670: 0.0015630866375247973
Position 1016: 0.001240933880821882
Position 2035: 0.001188878315443681
Position 57: 0.001148271898721847
Position 952: 0.0010589252873250015
Position 731: 0.0008025019063444203
Position 1113: 0.0007713808862983132
Position 1820: 0.0007461643014138679
Position 2674: 0.0006968320093715899
Position 2968: 0.0006919627084988265
Position 2833: 0.0006517317358482247
Position 1482: 0.0005516377525323068
Position 2568: 0.0004626316045165019
Position 2274: 0.0004474636442511191
Position 701: 0.00039525742364974353
Position 2821: 0.0003815198294738461
Position 793: 0.0003708309521206609
Position 1067: 0.00035466826521527914
Position 1760: 0.0003508846486288233
Position 598: 0.0003449602828552226
Position 511: 0.00032947992670864464
Position 1639: 0.00032420682047750956
Position 26: 0.0003104403769083373
Position 1288: 0.000295627078977441
Position 3258: 0.00029089856305720426
Position 2294: 0.0002812892362223366
Position 2808: 0.00025674714327422515
Position 2550: 0.0002531443148464986
Position 1626: 0.00024638265897808403
Position 899: 0.00024215702592777914
Position 2906: 0.00023232246072685356
Position 3234: 0.00021935587712741054
Position 1337: 0.00021351615236376786
Position 1021: 0.00020002940405079627
Position 844: 0.00019902483545016156
Position 1216: 0.0001773571154665633
Position 2224: 0.00016839555549737792
Position 2063: 0.00016178872916290432
Position 2787: 0.00015776565761879682
Position 695: 0.00012765536966018819
Position 706: 0.0001249865002487727
Position 1453: 0.00011877078400521108
Position 3003: 0.00011793178242310652
Position 991: 0.0001122194597380601
Position 1771: 9.48357380976175e-05
Position 1684: 8.994639186332354e-05
Position 2586: 7.717887430056693e-05
Position 2414: 7.686360538289491e-05
Position 1084: 6.585546876927065e-05
Position 168: 6.40790075379479e-05
Position 3177: 6.164755703026215e-05
Position 855: 5.345910395151626e-05
Position 1442: 5.1519127892208304e-05
Position 2051: 5.01289382690271e-05
Position 225: 4.867738179545126e-05
Position 241: 4.7334045396976974e-05
Position 2572: 4.147646527711628e-05
Position 3156: 3.9890051724222276e-05
Position 3435: 3.834534813772752e-05
Position 1072: 3.455003788472328e-05
Position 1369: 3.387948906523685e-05
Position 33: 3.1764789201362406e-05
Position 2467: 2.6007250907320027e-05
Position 206: 2.598539101469509e-05
Position 2170: 2.397660452121497e-05
Position 1572: 2.341010807322925e-05
Position 208: 2.315001109656191e-05
Position 3268: 2.2967762509502125e-05
Position 931: 1.4670776794785009e-05
Position 251: 1.447786363164986e-05
Position 3358: 1.1857823552086737e-05
Position 80: 9.27218511523083e-06
Position 187: 6.904764470409317e-06
Position 3428: 6.742899532308277e-06
Position 2038: 5.854680370912023e-06
Position 2737: 5.375402451055407e-06
Position 1033: 4.706398580823817e-06
Position 3405: 4.408957801098101e-06
Position 3309: 2.7581433514968697e-06
Position 162: 2.4777118058954874e-06
Position 787: 1.8309639944463577e-06
Position 595: 1.5404593997248981e-06
Position 2471: 1.4066439757141273e-06
Position 1200: 1.3857600236454184e-06
Position 1036: 9.133567666792939e-07
Position 3439: 7.593404546329692e-07
Position 416: 1.9713246212885788e-07
Position 2867: 1.2943600923488907e-07
Position 2444: 7.789421036617787e-08
Position 502: 4.7200697571827734e-08
Position 847: 1.4549146657321997e-08
Position 650: 1.0046762741928191e-08
Position 635: 7.52828731360482e-09
Position 269: 6.974112813327149e-09
Position 869: 6.7719326393395786e-09
Position 193: 4.7289270244636685e-09
Position 352: 1.5067952999514912e-09
Position 2761: 1.413000092432873e-09
Position 1038: 6.90944272782248e-10
Position 1154: 1.7180325480339136e-10
Position 2989: 5.124027511691514e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 304: 0.9973492041144716
Position 3312: 0.955473110873179
Position 2113: 0.9127794849842861
Position 2622: 0.7199957993303497
Position 2644: 0.1718085043305401
Position 2919: 0.1466883514169427
Position 1532: 0.0693039305807853
Position 2168: 0.05001863754389811
Position 2776: 0.038880060546832025
Position 1049: 0.03345945654530641
Position 1816: 0.032688923650077265
Position 1869: 0.03255280766716969
Position 2482: 0.01714216319538879
Position 1950: 0.012421401117964128
Position 991: 0.01164636748562222
