Gene = byn
index = 1638
Annotated 5SS: [ 331 4654 5702 5979 6846 7657]
Annotated 3SS: [4307 5580 5834 6046 7271 7734]
SMsplice 5SS: [ 331 4654 5702 5979 6846 7657]
SMsplice 3SS: [4307 5580 5834 6046 7271 7734]
top_k =  1000
Partition function (log Z): 19.87757040983623

Sorted 5' Splice Sites (High to Low Probability):
Position 5979: 0.9997211858610313
Position 5702: 0.9865970843086267
Position 331: 0.980836842610009
Position 4654: 0.952235666045009
Position 7657: 0.8790165519812801
Position 6846: 0.8552627760888561
Position 5478: 0.572748940531067
Position 202: 0.10713914085027552
Position 2948: 0.10507721421193833
Position 6182: 0.10013460982311266
Position 2960: 0.07224451730788475
Position 3298: 0.06790079109132861
Position 5279: 0.058046046282487364
Position 2208: 0.050216621597599174
Position 1689: 0.046572074357637945
Position 4658: 0.037322820044646716
Position 6202: 0.036900385706449
Position 5070: 0.03324871949061172
Position 6407: 0.030295362790914014
Position 2229: 0.02616559758708866
Position 2204: 0.019079975057921757
Position 4155: 0.01837423507674673
Position 3585: 0.017756924170309274
Position 5274: 0.011866178628378046
Position 1876: 0.011836140142872383
Position 335: 0.010750409554171099
Position 7670: 0.009607779714033055
Position 7126: 0.008851972694568302
Position 5209: 0.008515066278153623
Position 5683: 0.008417013988354346
Position 5417: 0.006030226724378728
Position 2444: 0.00452854327439941
Position 5694: 0.003883921894521044
Position 3477: 0.0037475968416654654
Position 6632: 0.0034840631485627874
Position 2917: 0.0033438371816074943
Position 5453: 0.0032791821589586837
Position 7099: 0.003230324931675601
Position 8123: 0.0031860894042792997
Position 4920: 0.0030311447169403135
Position 8103: 0.0025357866348474645
Position 3997: 0.0025141516293817664
Position 1119: 0.0024794656047735513
Position 3954: 0.0023997660034706146
Position 6158: 0.0023948468875022856
Position 2975: 0.002372188500138618
Position 2680: 0.0023561291271370515
Position 4932: 0.002317036727432837
Position 1716: 0.0020888371214613133
Position 6620: 0.0017604253077734514
Position 4484: 0.0017013924553237506
Position 5424: 0.0016594447865580129
Position 7661: 0.001643538920895493
Position 3244: 0.0015763110305130835
Position 770: 0.0015378352876700282
Position 3644: 0.0015347710312632263
Position 811: 0.0013503968964998939
Position 3386: 0.0013138235650936357
Position 7967: 0.0013015015681304332
Position 7135: 0.0012925758023511166
Position 6098: 0.0012611215408248051
Position 2185: 0.0011655616094897912
Position 206: 0.0010375008526395675
Position 1815: 0.0010201403565567686
Position 4051: 0.0010170983205326101
Position 662: 0.0008771777177096528
Position 6715: 0.0008760505792378096
Position 7458: 0.0008664810276583934
Position 6739: 0.0008606210407567134
Position 6678: 0.0008557680570204767
Position 3831: 0.000827469080813693
Position 7680: 0.0007674968124204532
Position 6070: 0.0007262054125680098
Position 4968: 0.0007083542646870461
Position 6987: 0.0006812823039160647
Position 6850: 0.0006711206776849558
Position 2979: 0.0006700413836712836
Position 2656: 0.0006580497760591603
Position 3937: 0.0005835059183315738
Position 6672: 0.0005391859211841975
Position 5770: 0.0005273218014884934
Position 171: 0.0004829093949906393
Position 613: 0.00048259911534368074
Position 6166: 0.00047681798210501557
Position 1812: 0.00041527782955594046
Position 1848: 0.0003586826661880138
Position 974: 0.0003547947900168966
