Gene = Nuf2
index = 1334
Annotated 5SS: [373 806]
Annotated 3SS: [432 862]
SMsplice 5SS: [373 806]
SMsplice 3SS: [432 862]
top_k =  1000
Partition function (log Z): -0.24706284131192607

Sorted 5' Splice Sites (High to Low Probability):
Position 373: 0.9945577397216258
Position 806: 0.989300711153296
Position 561: 0.010539203566417018
Position 1017: 0.0019329425139544348
Position 99: 0.0009564590700239594
Position 1151: 0.0007618638919411246
Position 618: 0.0007170940933285087
Position 789: 0.0004880848512562826
Position 574: 0.00029352814125864404
Position 733: 0.00026646899452612466
Position 344: 0.00015529314476787296
Position 1194: 0.00014506710280710744
Position 507: 0.000122431902485424
Position 28: 0.00010572903450299092
Position 927: 9.594693793062589e-05
Position 1221: 6.112340800409346e-05
Position 519: 2.8340770534600317e-05
Position 306: 2.0136058033074784e-05
Position 388: 1.5192751509732272e-05
Position 492: 1.4839859188469413e-05
Position 916: 1.2232440131174674e-05
Position 192: 1.0131527229829646e-05
Position 810: 8.148970207246003e-06
Position 774: 7.291686379869873e-06
Position 784: 5.956918400209846e-06
Position 771: 4.711701353611503e-06
Position 1078: 4.580055120672999e-06
Position 294: 3.8991140424346e-06
Position 256: 3.3849482911576997e-06
Position 1227: 2.6786094754403638e-06
Position 1083: 2.5411788159342378e-06
Position 84: 1.7593242418401828e-06
Position 263: 1.4641956315119611e-06
Position 815: 1.1323925164035895e-06
Position 961: 1.1226584880095448e-06
Position 435: 9.651052658039344e-07
Position 859: 8.289298703579254e-07
Position 1056: 8.13867193677723e-07
Position 318: 8.094129629186741e-07
Position 77: 7.527125914241464e-07
Position 999: 6.981720893325792e-07
Position 688: 6.36518667333905e-07
Position 683: 5.611123416304808e-07
Position 754: 4.825840935766266e-07
Position 296: 3.894936147436691e-07
Position 208: 3.811654426254934e-07
Position 1010: 3.2783576277658753e-07
Position 279: 1.6246170217105316e-07
Position 494: 1.6029674747709227e-07
Position 1246: 3.602324575431976e-08
Position 1141: 2.6373680930462638e-08
Position 177: 1.062681195971883e-09
Position 849: 8.14801342999915e-12
Position 835: 1.3207188671795223e-12
Position 888: 8.778135608908964e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 862: 0.9888567698874042
Position 432: 0.9825808862318938
Position 491: 0.0074946994913569175
Position 725: 0.0063813811116248285
Position 680: 0.003449560314342747
Position 683: 0.0032186233955272914
Position 650: 0.0022240949898278094
Position 1097: 0.0009465149960026525
Position 1094: 0.0008636651211359963
Position 148: 0.0007443876464437323
Position 872: 0.0005638350175479023
Position 1214: 0.0004929572811520689
Position 1106: 0.0004279484054624032
Position 731: 0.00029938493730808844
Position 1281: 0.000296549880384075
Position 1220: 0.00029539853253321804
Position 728: 0.00017852817994102696
Position 926: 0.00016803299173947085
Position 691: 0.00012723659963586107
Position 185: 0.00010370227350227198
Position 1083: 0.0001025768857178573
Position 972: 0.00010101290307080392
Position 506: 8.949728942065147e-05
Position 638: 8.780698695992742e-05
Position 503: 7.550792970070797e-05
Position 170: 7.002543180682084e-05
Position 84: 5.353551591634446e-05
Position 1046: 5.215820643767736e-05
Position 97: 4.677617616400252e-05
Position 989: 4.149283057578435e-05
Position 1016: 3.929248138288312e-05
Position 961: 3.0797294275441576e-05
Position 1361: 2.6978023224376688e-05
Position 642: 2.4058179646740205e-05
Position 665: 1.3605533792672423e-05
Position 522: 1.0736285290741318e-05
Position 323: 8.668167392113643e-06
Position 560: 8.381529949628738e-06
Position 239: 7.519227915327736e-06
Position 581: 6.952863986516339e-06
Position 1241: 4.578076524297217e-06
Position 1193: 4.083734689885431e-06
Position 1162: 3.243205832085078e-06
Position 227: 3.170507085336576e-06
Position 566: 2.8295723876501743e-06
Position 767: 2.794018973184598e-06
Position 1277: 2.547827485325838e-06
Position 1157: 2.438662255803456e-06
Position 306: 2.085728866151391e-06
Position 110: 1.9582925535067946e-06
Position 372: 1.9245507607095598e-06
Position 1340: 1.8687016990374494e-06
Position 608: 1.4858074403399612e-06
Position 1169: 1.0196101110698644e-06
Position 208: 8.632611163459434e-07
Position 1113: 7.705122318885821e-07
Position 660: 6.425684274438876e-07
Position 536: 6.421919033224655e-07
Position 986: 5.59126775846611e-07
Position 460: 5.331494369530971e-07
Position 542: 4.863189950792397e-07
Position 341: 4.478946816380375e-07
Position 1127: 4.1138594865970356e-07
Position 893: 3.521174509595836e-07
Position 1232: 3.3937970608879584e-07
Position 1043: 2.875593597920991e-07
Position 574: 2.7194171609363215e-07
Position 587: 2.4379655700389397e-07
Position 595: 2.1766331532790658e-07
Position 618: 1.8961068039716437e-07
Position 1184: 1.7939854380806005e-07
Position 328: 1.7757930523045794e-07
Position 1302: 1.679655511073743e-07
Position 1286: 1.5892916416201881e-07
Position 829: 1.4432183088505446e-07
Position 1115: 1.385325368409953e-07
