Gene = nSMase
index = 1812
Annotated 5SS: [189]
Annotated 3SS: [274]
SMsplice 5SS: [189]
SMsplice 3SS: [274]
top_k =  1000
Partition function (log Z): -8.346337562611783

Sorted 5' Splice Sites (High to Low Probability):
Position 189: 0.9764524877296172
Position 109: 0.020061779600107105
Position 474: 0.018228513923849422
Position 485: 0.003262767098380898
Position 1544: 0.003195102521484135
Position 644: 0.0022376819533271404
Position 372: 0.0020568233065116244
Position 574: 0.000891605595445032
Position 518: 0.0008207278408911366
Position 347: 0.0008080203486425777
Position 284: 0.0007282177877353135
Position 907: 0.0005192644468148404
Position 522: 0.00044065427831604123
Position 1098: 0.000435667614240696
Position 948: 0.00034827141141921
Position 1110: 0.00034436674402179575
Position 466: 0.0003347486670978181
Position 1143: 0.00033351593754560104
Position 1072: 0.0003318931129435001
Position 665: 0.00028271066110419947
Position 930: 0.00027593232492912354
Position 1521: 0.00022347834942891597
Position 792: 0.00022189522670762932
Position 612: 0.00019596152821942046
Position 681: 0.00015973064415153245
Position 1569: 0.00011384007043059986
Position 1120: 7.269319511396923e-05
Position 123: 6.237250159299623e-05
Position 72: 6.207323058207664e-05
Position 35: 5.6788830910178355e-05
Position 1550: 5.2308601271374074e-05
Position 1678: 3.938696808920875e-05
Position 1283: 3.336149464071585e-05
Position 142: 2.802849723309299e-05
Position 1349: 2.3515070129625862e-05
Position 453: 2.197290536271471e-05
Position 27: 2.1483201767791718e-05
Position 541: 1.431800040212128e-05
Position 1134: 1.364786599448073e-05
Position 1613: 1.1466534609267694e-05
Position 1606: 1.139644784694159e-05
Position 1645: 1.1000741807667982e-05
Position 98: 1.0972352206285696e-05
Position 374: 9.098091856039519e-06
Position 479: 7.045679543493139e-06
Position 1608: 6.341479051896113e-06
Position 1634: 3.8863111698501176e-06
Position 1325: 2.783808451322573e-06
Position 150: 2.5364088726788664e-06
Position 1421: 1.9912753905910246e-06
Position 1049: 1.956848120489828e-06
Position 295: 7.964016194548657e-08
Position 913: 3.0153468579835315e-08
Position 560: 2.9125172863106208e-08
Position 515: 2.5919243562395165e-08
Position 263: 1.5232081298934603e-08
Position 506: 6.289377893214074e-09
Position 420: 4.443443278040752e-09
Position 288: 3.3914873946324658e-09
Position 576: 3.286307884866688e-09
Position 597: 2.6863318948256883e-09
Position 357: 9.6385606828996e-10
Position 359: 6.800427399494241e-10
Position 290: 6.553257557217179e-10
Position 584: 6.341014551278301e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 274: 0.9340104864198311
Position 253: 0.05075603694151519
Position 548: 0.01385840660615387
Position 304: 0.004965692510833211
Position 1733: 0.004404682940806292
Position 717: 0.004108404831559123
Position 368: 0.0029277253509836904
Position 1304: 0.0022876826208561704
Position 1611: 0.0021391289507838957
Position 743: 0.0019405631562245595
Position 1333: 0.0015061962763758328
Position 689: 0.0013275127807867802
Position 448: 0.0012607268126008874
Position 1502: 0.0011630410475935206
Position 1252: 0.001054186601552631
Position 963: 0.0007044655509091692
Position 573: 0.0006889297783565894
Position 1272: 0.0006589895320814372
Position 776: 0.0005701299681530294
Position 608: 0.00037442972679354295
Position 724: 0.00036952248053672554
Position 1421: 0.00036857314546374535
Position 433: 0.0002747397383728447
Position 1167: 0.0002281979974452633
Position 812: 0.00022743492078850238
Position 791: 0.00018556669695496468
Position 407: 0.00016341696589784074
Position 823: 0.00014131812794502413
Position 1645: 0.00013237470605180005
Position 371: 0.00012333407296383328
Position 332: 0.0001194967943344311
Position 881: 0.00010124740731409821
Position 329: 9.186980264632017e-05
Position 1012: 8.878474971751131e-05
Position 1138: 8.66061291511691e-05
Position 162: 8.121490951958296e-05
Position 1146: 7.75673657097522e-05
Position 198: 4.475006030826747e-05
Position 644: 4.4262197396245024e-05
Position 1196: 3.884375293851384e-05
Position 1028: 3.840969710110037e-05
Position 1577: 3.502530096032437e-05
Position 1742: 2.8802885983406154e-05
Position 1753: 2.2488972492129328e-05
Position 1643: 1.9907300852530267e-05
Position 770: 1.827387284420231e-05
Position 1202: 1.2216738508670243e-05
Position 113: 5.024781271571065e-06
Position 1625: 4.746773640427094e-06
Position 213: 3.985843853869389e-06
Position 142: 1.7482834885373686e-06
Position 139: 9.351983250621938e-07
Position 72: 1.039024789028538e-07
Position 485: 3.672538816050737e-08
Position 295: 3.4230354872269324e-08
Position 416: 3.319047117611331e-09
Position 340: 2.6414465717560912e-09
Position 347: 2.623029182999449e-10
Position 391: 1.920459297900442e-10
Position 193: 1.5485498417026052e-10
Position 384: 1.756697602260115e-11
Position 223: 1.0410356941192146e-11
Position 386: 4.2953741662506385e-12
Position 395: 2.2387826700145285e-12
Position 195: 6.332964887410926e-14
