Gene = SCOT
index = 1462
Annotated 5SS: [1467 2131 3164]
Annotated 3SS: [1931 2186 3221]
SMsplice 5SS: [ 365 1467 2131 3164]
SMsplice 3SS: [1245 1931 2186 3221]
top_k =  1000
Partition function (log Z): 7.640783781222239

Sorted 5' Splice Sites (High to Low Probability):
Position 3164: 0.9994424850065836
Position 2131: 0.998726047468004
Position 365: 0.659008994276646
Position 1467: 0.5624511822256203
Position 868: 0.2179340911076323
Position 873: 0.14071599232942844
Position 349: 0.11745538751218862
Position 864: 0.08414900530046063
Position 862: 0.07713578815318849
Position 2240: 0.06538290547216753
Position 900: 0.041867561149566204
Position 2276: 0.03900831748276281
Position 696: 0.03327906558258757
Position 60: 0.02470337727357179
Position 448: 0.0170705744723578
Position 1637: 0.008768423556471307
Position 2866: 0.005244467775182963
Position 700: 0.005020265629367497
Position 1148: 0.004649489558608054
Position 2820: 0.0043862136654660875
Position 218: 0.004192286491688518
Position 1042: 0.0032258198926468393
Position 119: 0.0026185451894369977
Position 108: 0.0024083301638035703
Position 1123: 0.002320882189176718
Position 242: 0.0021479630505336286
Position 555: 0.002133466925746087
Position 2813: 0.0018864086531227143
Position 1190: 0.0018516662233673301
Position 671: 0.0016899125663847774
Position 475: 0.0016759976782395266
Position 1422: 0.0016643243560325292
Position 259: 0.0014711209215034558
Position 1083: 0.0014117567161327164
Position 1530: 0.0012798325692275356
Position 100: 0.0008541463881007006
Position 1294: 0.0008157732581412398
Position 2990: 0.000776423810501764
Position 373: 0.0007641539578799682
Position 2115: 0.0007365619635042847
Position 471: 0.0006863065684482253
Position 2742: 0.0006549395080246728
Position 2501: 0.0006474808475481006
Position 1826: 0.0006442763790103632
Position 1652: 0.000528876416814422
Position 903: 0.00046886776254021666
Position 1322: 0.00046635378509599405
Position 2272: 0.0004594367621395326
Position 1589: 0.0004582913682079992
Position 210: 0.00043259612416786267
Position 418: 0.00042675197340552194
Position 423: 0.0003730951297423193
Position 1884: 0.0003349977500458583
Position 892: 0.00030668780058828576
Position 223: 0.0003066107373108378
Position 2930: 0.00027077815468840564
Position 2642: 0.00024190286477479418
Position 163: 0.0002080448001382753
Position 1365: 0.00020419222645561247
Position 1639: 0.00019603837269135743
Position 1355: 0.00018729330179220627
Position 1071: 0.00015065840262889867
Position 2428: 0.00014738339899960905
Position 3168: 0.00013513629801547043
Position 398: 0.0001284178883624503
Position 933: 0.00012219592762906188
Position 2447: 0.00010327044872139615
Position 379: 8.953990235617371e-05
Position 662: 8.888449518254434e-05
Position 919: 8.714433075870026e-05
Position 698: 8.545192023498552e-05
Position 247: 8.381305990461732e-05
Position 1537: 8.165912439553229e-05
Position 1553: 8.04063286354398e-05
Position 3282: 5.696077431771447e-05
Position 133: 5.438695849275703e-05
Position 1046: 4.805082768145373e-05
Position 887: 4.753635571856775e-05
Position 85: 4.2965443517387014e-05
Position 2744: 4.0112524292958384e-05
Position 783: 3.949835204276589e-05
Position 1337: 3.849626546401409e-05
Position 3024: 3.8222533385805624e-05
Position 158: 3.7851407858713844e-05
Position 876: 3.729778937823048e-05
Position 1441: 3.661332314707587e-05
Position 1375: 3.4434951097151e-05
Position 3364: 2.7276627182611294e-05
Position 2611: 2.6245742174880503e-05
Position 262: 2.5949711483957526e-05
Position 1025: 2.4321531155279312e-05
Position 2097: 2.284992420252207e-05
Position 315: 2.270298690639313e-05
Position 426: 2.261153293258427e-05
Position 353: 2.2138882447897558e-05
Position 2654: 2.095095996894168e-05
Position 2482: 1.9499391240799483e-05
Position 1028: 1.8431392592928897e-05
Position 831: 1.829204795737986e-05
Position 1271: 1.8256717165658496e-05
Position 993: 1.6586471807960505e-05
Position 2573: 1.5656541555477577e-05
Position 2690: 1.1764540683712825e-05
Position 469: 1.111153400388368e-05
Position 3316: 1.0989567311000217e-05
Position 123: 1.0137772746101138e-05
Position 1036: 9.695150815506105e-06
Position 415: 9.693590236822813e-06
Position 1031: 8.881009650318784e-06
Position 432: 8.73601527773782e-06
Position 2280: 8.10024491457038e-06
Position 1039: 7.389032647095506e-06
Position 991: 6.614009639871569e-06
Position 2851: 5.617767703216884e-06
Position 3125: 4.234589360873126e-06
Position 1339: 4.078155642865282e-06
Position 1009: 3.1163252933612044e-06
Position 966: 3.0034884947847215e-06
Position 2231: 2.645226925792008e-06
Position 2575: 2.4575562452975317e-06
Position 720: 2.3800672352175656e-06
Position 3448: 2.2146793192901984e-06
Position 1200: 2.1742333241148908e-06
Position 3405: 1.7468372199249807e-06
Position 2020: 1.5460284955934375e-06
Position 35: 1.3382320175313168e-06
Position 2537: 1.1548737557223784e-06
Position 485: 1.146642327540273e-06
Position 3438: 1.1182821392795317e-06
Position 3035: 9.791509663796345e-07
Position 3032: 8.563732187662512e-07
Position 265: 6.882915709758119e-07
Position 3488: 6.526967874139343e-07
Position 2033: 5.86857048157844e-07
Position 3261: 4.300473358062273e-07
Position 3417: 3.2860389889638106e-07
Position 3095: 2.3940609705205915e-07
Position 94: 2.3424277216624468e-07
Position 3084: 1.2719409324831304e-07
Position 3366: 1.125035051991896e-07
Position 3127: 9.414313056086499e-08
Position 3231: 7.181606427183773e-08
Position 3087: 6.898663883912477e-08
Position 2512: 4.891837409218324e-08
Position 2474: 3.94819284136073e-08
Position 2010: 2.189207613880803e-08
Position 3495: 2.04577730628892e-08
Position 2202: 1.942091900943877e-08
Position 3531: 1.2565735958623944e-08
Position 2255: 1.156406755126451e-08
Position 2633: 4.6513207550458e-09
Position 2306: 4.047798789419327e-09
Position 749: 3.392173021043217e-09
Position 972: 1.6135058727600217e-09
Position 2840: 1.1760731086475995e-09
Position 2233: 3.043929828265069e-10
Position 3090: 2.469717503608855e-12
Position 2402: 2.4167572014808305e-12
Position 2941: 1.4017645127366797e-12
Position 2835: 8.588078736849388e-13
Position 3026: 3.0157624315848424e-13
Position 3244: 1.4266465244899004e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 2186: 0.9995717115265113
Position 3221: 0.9991516349451908
Position 1931: 0.8584960296095426
Position 1245: 0.4996992559969251
Position 763: 0.49888212134527377
Position 1916: 0.07363247938084518
Position 2812: 0.05525593495722847
Position 3069: 0.023364870242902198
Position 736: 0.02000203258277709
Position 1693: 0.016105453995358267
Position 2616: 0.010345017463509893
Position 1523: 0.009368231335197501
Position 740: 0.008442878647035676
Position 2920: 0.008421018560979899
Position 778: 0.00697905644323196
Position 2722: 0.0053743188916487074
Position 297: 0.004419932867089567
Position 2941: 0.0044054510356683375
Position 1567: 0.004325547551193799
Position 689: 0.003558761352946734
Position 1964: 0.003304554164941264
Position 2324: 0.0031879608914820393
Position 455: 0.0026638071848472883
Position 1600: 0.00253443983873149
Position 925: 0.002140100548853376
Position 1533: 0.0020662939792232896
Position 586: 0.002040275671021
Position 2407: 0.0020399121504491064
Position 2983: 0.0018713252350964812
Position 2947: 0.0018442166490313847
Position 1401: 0.0017963389636487211
Position 432: 0.0014874736392462978
Position 1190: 0.0013848851129098937
Position 1815: 0.001228079820916205
Position 201: 0.0011935628759688099
Position 2333: 0.0011013324700285194
Position 2015: 0.0010482422386337486
Position 1995: 0.0010185227141450302
Position 1872: 0.0008325669833471162
Position 240: 0.0006500829338402571
Position 638: 0.0006050306378115029
Position 520: 0.0005564505862570176
Position 3236: 0.0005329512044245492
Position 1046: 0.0004957928635128182
Position 662: 0.0004173367927068046
Position 1313: 0.0003882757101899265
Position 2585: 0.0003687696509210908
Position 1285: 0.0003459904897467547
Position 671: 0.0003006680154619784
Position 2297: 0.000290931004499105
Position 836: 0.00028011808921043954
Position 2683: 0.00027945486888970205
Position 2294: 0.0002645634244996681
Position 3019: 0.0002615308937216136
Position 2542: 0.00020710159224808817
Position 694: 0.00018512705801660017
Position 1573: 0.00018502497105311628
Position 1259: 0.00016804612586024427
Position 138: 0.0001543463343871893
Position 2460: 0.00015430017479816402
Position 415: 0.00013377307671296598
Position 1636: 0.0001306760947531709
Position 1355: 0.00011483521858844644
Position 2341: 9.691368514921431e-05
Position 2437: 9.608414730533741e-05
Position 595: 9.14752636163433e-05
Position 1159: 8.823356669175436e-05
Position 3392: 7.694579330176572e-05
Position 2773: 6.134541309241594e-05
Position 1537: 5.763961843590476e-05
Position 2470: 5.160568124292357e-05
Position 2525: 4.955903282183443e-05
Position 1432: 4.284953896860869e-05
Position 2781: 3.5358712646033686e-05
Position 145: 3.5114043594932754e-05
Position 1712: 3.167697654822249e-05
Position 1658: 2.9263754778742945e-05
Position 3413: 2.903503282700868e-05
Position 2548: 2.753629715183068e-05
Position 2467: 2.676018573384832e-05
Position 2411: 2.4014562766871838e-05
Position 2224: 2.3965218261609343e-05
Position 485: 1.7857027474323386e-05
Position 2479: 1.532505353701212e-05
Position 3281: 1.4773800391169289e-05
Position 3362: 1.3787328532565377e-05
Position 491: 1.1933381941898858e-05
Position 2551: 1.1769171758547637e-05
Position 1792: 1.163228169078693e-05
Position 203: 1.0770499525017857e-05
Position 1717: 1.0763945148543382e-05
Position 2221: 9.459481962484591e-06
