Gene = ninaA
index = 1817
Annotated 5SS: [570]
Annotated 3SS: [667]
SMsplice 5SS: [570]
SMsplice 3SS: [667]
top_k =  1000
Partition function (log Z): -4.247253564719751

Sorted 5' Splice Sites (High to Low Probability):
Position 570: 0.9963519487221477
Position 48: 0.021651908338324036
Position 28: 0.004046116660582905
Position 21: 0.002849681567365452
Position 26: 0.0016341695999714076
Position 531: 0.00161288084415623
Position 177: 0.000700061083450348
Position 795: 0.0004019759403697901
Position 601: 0.0003389728347818063
Position 15: 0.0003015395534668164
Position 52: 0.00029591806418073245
Position 574: 0.0002265383218729989
Position 43: 0.00021773857763949972
Position 424: 0.00016379731476220808
Position 156: 6.610485464669405e-05
Position 200: 4.2459400702440576e-05
Position 405: 3.778196815568459e-05
Position 333: 3.181715512193259e-05
Position 4: 2.9585124453065667e-05
Position 297: 2.2861002756702964e-05
Position 497: 1.8529771425781044e-05
Position 276: 1.7942147081992892e-05
Position 9: 1.6258994459500454e-05
Position 118: 1.457007787529184e-05
Position 300: 1.3268056997217897e-05
Position 862: 1.3063407187327482e-05
Position 225: 1.2644651356423159e-05
Position 486: 1.0691474204077716e-05
Position 803: 1.0068911657557948e-05
Position 519: 9.493533576870149e-06
Position 633: 4.129318724556555e-06
Position 137: 4.060629806067326e-06
Position 132: 2.830869579984017e-06
Position 65: 8.351974765990106e-07
Position 477: 8.255268815942559e-07
Position 668: 8.1434540710882e-07
Position 470: 6.307612768622393e-07
Position 191: 4.0957649751731557e-07
Position 115: 3.2842808050016026e-07
Position 742: 3.1904353193198964e-07
Position 748: 2.124822311513477e-07
Position 315: 1.5596105762942465e-07
Position 821: 7.565399872140202e-08
Position 89: 1.6582859799795794e-08
Position 108: 1.3275711828230933e-08
Position 707: 1.0348436624239805e-08
Position 704: 3.0613906208815245e-09
Position 695: 1.8010176243793134e-10
Position 661: 2.0051653892352368e-19

Sorted 3' Splice Sites (High to Low Probability):
Position 667: 0.9981950707357571
Position 94: 0.030762872112306754
Position 628: 0.0013547082174754817
Position 853: 0.0004618320453245051
Position 115: 0.00019006015045260733
Position 321: 5.7188330978880054e-05
Position 617: 4.3827675435911194e-05
Position 637: 2.193579994841032e-05
Position 742: 1.7456023277178654e-05
Position 361: 1.4135636404923319e-05
Position 907: 1.1811206418989197e-05
Position 470: 5.7058095068568425e-06
Position 497: 5.614262703766022e-06
Position 395: 5.536042994794134e-06
Position 913: 4.353489817063404e-06
Position 530: 3.032628981621293e-06
Position 872: 2.9091274136605875e-06
Position 184: 2.7041475979919584e-06
Position 810: 2.689072111924457e-06
Position 209: 2.5449901907405893e-06
Position 271: 1.7041577554146386e-06
Position 221: 1.4065139002519995e-06
Position 65: 1.3367717719730798e-06
Position 739: 1.0141585833220593e-06
Position 916: 1.0111485620799448e-06
Position 173: 9.450603446278901e-07
Position 161: 6.476247010911526e-07
Position 418: 5.545835035305238e-07
Position 748: 5.207215977252017e-07
Position 787: 3.242371677109498e-07
Position 389: 2.645198158624005e-07
Position 888: 1.6641078234705264e-07
Position 170: 1.1353052683876924e-07
Position 512: 4.304149913725612e-08
Position 47: 7.821508143129924e-09
Position 582: 4.67709681539278e-09
Position 882: 2.390181544616863e-09
Position 539: 2.2502549479725606e-09
Position 410: 1.305619587379124e-09
Position 727: 4.0468411404655815e-10
Position 566: 3.325386514668038e-10
Position 124: 3.0285520028808256e-11
