Gene = UK114
index = 1579
Annotated 5SS: [170 472]
Annotated 3SS: [241 700]
SMsplice 5SS: [170 472]
SMsplice 3SS: [241 700]
top_k =  1000
Partition function (log Z): -0.10634393941476201

Sorted 5' Splice Sites (High to Low Probability):
Position 472: 0.9861757187442289
Position 170: 0.9737938395001094
Position 625: 0.011967911476773476
Position 190: 0.003939475691980866
Position 843: 0.002001677828709498
Position 184: 0.0018318581380031712
Position 459: 0.0009400669775018742
Position 618: 0.0007441111227831283
Position 16: 0.0005214344077765906
Position 831: 0.00032274020768258247
Position 593: 0.00018116629027665655
Position 476: 0.00012329087764240926
Position 402: 8.128900405416481e-05
Position 494: 6.387065965550575e-05
Position 117: 5.69389374361472e-05
Position 33: 4.0235263034439976e-05
Position 419: 1.2502900372551904e-05
Position 5: 1.1090260590189933e-05
Position 269: 1.0579759584122136e-05
Position 417: 9.623055658445127e-06
Position 814: 7.517937605144838e-06
Position 450: 7.0783185291133985e-06
Position 156: 4.148702942010978e-06
Position 799: 3.960965606044451e-06
Position 766: 3.1462963233842406e-06
Position 544: 2.4614937435662177e-06
Position 393: 2.128436837319961e-06
Position 315: 2.052614134818039e-06
Position 89: 1.1624326571065996e-06
Position 369: 1.1258474011601337e-06
Position 777: 1.045452239558863e-06
Position 66: 6.009485078750712e-07
Position 520: 5.751703066454681e-07
Position 84: 3.1274243743904675e-07
Position 223: 2.8883933613660107e-07
Position 852: 2.777656100535341e-07
Position 739: 1.7752653945377796e-07
Position 289: 1.7479990609300317e-07
Position 523: 8.692105818354849e-08
Position 262: 4.502480127437006e-08
Position 107: 2.7909655564054525e-08
Position 694: 9.66278174998902e-09
Position 252: 8.307607559087903e-09
Position 249: 7.98491120058348e-09
Position 267: 7.82875528946309e-09
Position 283: 6.390919137024259e-09
Position 679: 5.248215873979973e-09
Position 275: 2.524828047775031e-09
Position 238: 2.351447964670241e-09
Position 702: 1.8466050357248247e-10
Position 273: 1.5475702615597428e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 700: 0.9384054433496997
Position 241: 0.8804462451824401
Position 245: 0.09698377794245577
Position 728: 0.04025190296050614
Position 738: 0.014311441779649854
Position 518: 0.006957770155927804
Position 891: 0.002016918939632965
Position 642: 0.0009384979164789078
Position 711: 0.0008634909610695357
Position 84: 0.0005672845631966935
Position 886: 0.00041016515441585905
Position 580: 0.0003226472679296841
Position 597: 0.000106671489405976
Position 299: 0.0001015918821930741
Position 897: 3.5595602602032944e-05
Position 324: 3.241213270828759e-05
Position 747: 3.16641812312583e-05
Position 377: 2.9382358446570207e-05
Position 450: 1.7989696209951235e-05
Position 344: 1.792944668555504e-05
Position 347: 6.818661675113672e-06
Position 505: 2.8538705065473127e-06
Position 428: 2.8526077370928183e-06
Position 417: 1.596961102511812e-06
Position 98: 1.5773716614956919e-06
Position 133: 8.45677599903252e-07
Position 402: 6.080539144247342e-07
Position 339: 4.511582965501519e-07
Position 777: 3.669800369943092e-07
Position 852: 2.8743335686186457e-07
Position 855: 2.0828841366451972e-07
Position 822: 1.8309002010076952e-07
Position 196: 1.609447564417602e-07
Position 410: 7.804212254805164e-08
Position 47: 3.609880727639265e-08
Position 121: 3.097135326764268e-08
Position 174: 1.8028568146386613e-08
Position 156: 1.772721227254376e-08
Position 482: 1.1088848264496538e-08
Position 152: 8.116741105449609e-09
Position 467: 8.044865533810596e-09
Position 365: 6.265289841697045e-09
Position 458: 5.768343212805382e-09
Position 847: 4.58446690522913e-09
Position 863: 3.889046882497084e-09
Position 170: 2.1848038753513228e-09
Position 804: 1.938651747793095e-09
Position 356: 1.0061359656657633e-09
Position 393: 7.169538698591597e-11
