Gene = Sfp77F
index = 1494
Annotated 5SS: [98]
Annotated 3SS: [154]
SMsplice 5SS: [98]
SMsplice 3SS: [154]
top_k =  1000
Partition function (log Z): -5.8879585146259

Sorted 5' Splice Sites (High to Low Probability):
Position 98: 0.9661764993133701
Position 345: 0.17127428518723858
Position 431: 0.12085796553928761
Position 403: 0.11072243413634504
Position 461: 0.10216117489054267
Position 421: 0.04421048191572168
Position 241: 0.03649052869436348
Position 692: 0.003787121194654544
Position 304: 0.001919807293312966
Position 425: 0.0018029541898944518
Position 824: 0.0012479040454968539
Position 349: 0.0008596037062427162
Position 208: 0.0006062368624014808
Position 245: 0.0005595277225445224
Position 133: 0.0005279253484012602
Position 828: 0.0003627447625945216
Position 753: 0.0003349413686480274
Position 778: 0.00020056532820038518
Position 838: 0.00019608205948498224
Position 265: 0.000184000207749191
Position 106: 0.00010179138311517236
Position 543: 9.623769437798562e-05
Position 765: 8.584535108631905e-05
Position 916: 8.205402433045765e-05
Position 274: 6.365992345455758e-05
Position 158: 5.8396098222985126e-05
Position 28: 4.8156175102013616e-05
Position 33: 4.0233602579164266e-05
Position 505: 3.599053825568447e-05
Position 854: 2.0011844555321215e-05
Position 154: 1.5440578639092453e-05
Position 465: 1.4735027392252062e-05
Position 407: 1.2621886074303878e-05
Position 224: 1.078842802914993e-05
Position 435: 9.455145130007707e-06
Position 206: 8.724539842824357e-06
Position 508: 7.74905126980027e-06
Position 613: 7.556256980066583e-06
Position 817: 7.2450614011071865e-06
Position 683: 6.026545840892862e-06
Position 782: 2.782415855052674e-06
Position 957: 1.7620897499994887e-06
Position 490: 1.3006247190702646e-06
Position 31: 6.636387240488547e-07
Position 5: 5.872903643105258e-10
Position 479: 7.521548144315362e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 154: 0.9438338452365916
Position 525: 0.5010634893491744
Position 622: 0.035481053817383514
Position 494: 0.033193808582131994
Position 809: 0.014076518676719557
Position 673: 0.012054780186890029
Position 185: 0.005977496015882625
Position 403: 0.0030553041690207037
Position 236: 0.0029161163349055606
Position 911: 0.002797017728260111
Position 583: 0.002736574367416572
Position 503: 0.0013160677461199507
Position 530: 0.0008937442266726163
Position 765: 0.0008863648505277266
Position 854: 0.0008180900998364171
Position 216: 0.0004760613725864359
Position 546: 0.0004695698481609132
Position 658: 0.0004581346673578062
Position 1083: 0.00041058291876246015
Position 431: 0.0003474874950740601
Position 508: 0.00034081292228752957
Position 557: 0.00031130908289612774
Position 1072: 0.00030489368468155633
Position 265: 0.00019287008044965712
Position 319: 0.0001373933951959052
Position 162: 0.00012747440723519872
Position 286: 0.00011400063334262012
Position 1132: 9.640354850368687e-05
Position 1046: 8.478279092097258e-05
Position 329: 7.971269120940975e-05
Position 368: 4.590789031260134e-05
Position 641: 4.396997261133201e-05
Position 303: 2.7196917376309102e-05
Position 980: 2.1197007711245512e-05
Position 1043: 1.6589337668444397e-05
Position 241: 4.110121948371112e-06
Position 916: 3.3120826492560154e-06
Position 691: 3.1868491778865827e-06
Position 244: 2.9193705338624232e-06
Position 645: 1.1787159497207172e-06
Position 75: 5.565711735260151e-07
Position 336: 8.75811133056011e-08
Position 133: 2.6471975521067765e-08
Position 102: 7.6253836186787e-09
Position 90: 3.7087937802104474e-09
Position 539: 1.0886603408350704e-09
Position 49: 3.195522121437332e-11
Position 53: 4.726128607691124e-12
Position 59: 3.347700807839477e-12
