Gene = Trf
index = 1565
Annotated 5SS: [231]
Annotated 3SS: [301]
SMsplice 5SS: [231]
SMsplice 3SS: [301]
top_k =  1000
Partition function (log Z): -7.422692694173342

Sorted 5' Splice Sites (High to Low Probability):
Position 231: 0.6452628006449869
Position 235: 0.33701705232478624
Position 193: 0.01592294544917649
Position 361: 0.0032479253952314895
Position 428: 0.0024665278325124848
Position 818: 0.0013720834188792376
Position 732: 0.0012990729637469228
Position 44: 0.0008009196825585034
Position 459: 0.0005116166683171632
Position 842: 0.0004460895428858263
Position 377: 0.0004164188794215709
Position 546: 0.0003481052608898051
Position 512: 0.0003166993597410285
Position 472: 0.00025516563223149905
Position 848: 0.00020373775120165866
Position 49: 0.00017496070521527023
Position 13: 0.00016202908630215152
Position 821: 0.0001330672084577747
Position 752: 0.0001000060142459108
Position 551: 9.627004050922095e-05
Position 858: 7.608048560032975e-05
Position 184: 6.109498262295298e-05
Position 641: 5.418406228123367e-05
Position 94: 4.30460956666433e-05
Position 630: 2.2864699339925e-05
Position 805: 1.974512267747438e-05
Position 402: 1.847638307184026e-05
Position 588: 1.6878079388308346e-05
Position 735: 1.3754823236187064e-05
Position 824: 1.333473747341895e-05
Position 690: 9.466670023253426e-06
Position 324: 8.919676658958874e-06
Position 124: 6.155224409018757e-06
Position 646: 5.3673591567380055e-06
Position 59: 4.256976506866855e-06
Position 397: 3.990638875721187e-06
Position 81: 3.373484504383284e-06
Position 953: 2.452153722106824e-06
Position 579: 1.888932938408444e-06
Position 909: 1.354786806807485e-06
Position 331: 1.3352789009589182e-06
Position 720: 2.0614507180648616e-07
Position 918: 9.296273231039822e-08
Position 665: 3.4878591758796596e-10
Position 309: 9.614582750753996e-11
Position 705: 1.596896831483777e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 301: 0.997735258267114
Position 909: 0.004125715672216924
Position 427: 0.0039052285478386704
Position 530: 0.001762453635653605
Position 94: 0.0007963216337934475
Position 672: 0.0007241157496743497
Position 641: 0.0004242614676718201
Position 853: 0.000188356050921085
Position 695: 0.00016768688283364886
Position 572: 0.0001517790378683895
Position 250: 0.00015042838492353896
Position 458: 0.00013371579798480772
Position 81: 9.129967663375697e-05
Position 551: 9.090528872828499e-05
Position 617: 8.560571550214843e-05
Position 731: 7.924449372031248e-05
Position 533: 7.623629598198e-05
Position 964: 4.4936636811140236e-05
Position 347: 4.1257227680862365e-05
Position 566: 2.9275732287855168e-05
Position 858: 2.834236908826728e-05
Position 805: 2.529309150194848e-05
Position 163: 1.7718211568187827e-05
Position 996: 1.6059089942025524e-05
Position 272: 9.361114311606688e-06
Position 752: 8.988077792904328e-06
Position 646: 8.041463340427588e-06
Position 662: 4.826760943665039e-06
Position 137: 4.263698635235179e-06
Position 110: 3.1429213890731773e-06
Position 512: 2.2829203321262107e-06
Position 435: 1.962976726042425e-06
Position 389: 1.7496260797119848e-06
Position 782: 1.1998155557578655e-06
Position 116: 1.1904165491996307e-06
Position 821: 9.169231045186205e-07
Position 252: 7.021977605820822e-07
Position 815: 6.521477647492401e-07
Position 491: 5.077502410441154e-07
Position 974: 3.8640437744400833e-07
Position 485: 8.012814401790017e-08
Position 171: 4.429513609421563e-08
Position 231: 1.0921756993227836e-08
Position 180: 7.924636196391952e-09
Position 204: 5.877823412538967e-10
Position 377: 3.3039709211355745e-11
Position 367: 4.0986680650319656e-12
Position 219: 6.104283273774687e-13
Position 198: 5.1097532146561624e-15
