Gene = jp
index = 1736
Annotated 5SS: [  318 11117 11467 12751 12948 13163 15034 16547]
Annotated 3SS: [10351 11251 12481 12810 13021 13223 16345 17084]
SMsplice 5SS: [  318 11117 11467 12751 12948 13163 15034 16547]
SMsplice 3SS: [10351 11251 12481 12810 13021 13223 16345 17084]
top_k =  1000
Partition function (log Z): 21.884980659078924

Sorted 5' Splice Sites (High to Low Probability):
Position 11117: 0.9957316693872562
Position 11467: 0.9951653034734088
Position 13163: 0.9917833616718205
Position 16547: 0.9812230695036949
Position 15034: 0.9786749076053058
Position 12948: 0.9301629451811999
Position 12751: 0.9034530274947259
Position 318: 0.4222673135318346
Position 17661: 0.31928752835921975
Position 210: 0.26483764661150233
Position 16272: 0.2413547781320615
Position 1747: 0.1665214163473439
Position 17343: 0.1491154437141868
Position 17650: 0.1436916953037437
Position 15477: 0.11183920881827344
Position 17254: 0.08697062824391785
Position 104: 0.07796941316221007
Position 12964: 0.06671983014631487
Position 18557: 0.06558462876170397
Position 13706: 0.05031485376140424
Position 10196: 0.047923784628816204
Position 736: 0.03855138557309871
Position 694: 0.032733042344283085
Position 4231: 0.02930564688551954
Position 3452: 0.027283077248391
Position 15218: 0.02477573916958814
Position 13909: 0.023304454403334406
Position 15339: 0.02000545636601246
Position 18109: 0.01899544532616649
Position 4469: 0.018597710925898715
Position 859: 0.016600804152911493
Position 1974: 0.015905043176591235
Position 108: 0.014622904291300169
Position 549: 0.014289058372759338
Position 13286: 0.011628677804974305
Position 4104: 0.011598796751686305
Position 82: 0.010971096835853098
Position 4913: 0.010056181060229251
Position 13305: 0.01003382177045297
Position 18232: 0.009524808608443205
Position 16019: 0.009315449580699854
Position 4098: 0.009310744884120077
Position 13534: 0.009130235276180593
Position 9962: 0.008812761337748724
Position 14063: 0.007549927446412947
Position 722: 0.007210099335945998
Position 2771: 0.007079112039202388
Position 13102: 0.006750034405587737
Position 16529: 0.00627190750271266
Position 12611: 0.005993052587978754
Position 10524: 0.00575888299955505
Position 5634: 0.0051529740638778096
Position 13939: 0.005103380968192946
Position 18248: 0.004997491051188182
Position 322: 0.004407971859095267
Position 18387: 0.004345652959703821
Position 672: 0.0040225119123191815
Position 120: 0.0037799927893697946
Position 205: 0.0035397208559903586
