Gene = Gem2
index = 1186
Annotated 5SS: [ 20 310]
Annotated 3SS: [ 86 360]
SMsplice 5SS: [310]
SMsplice 3SS: [360]
top_k =  1000
Partition function (log Z): -3.5318523708681733

Sorted 5' Splice Sites (High to Low Probability):
Position 310: 0.9991271488901206
Position 20: 0.014666761585105912
Position 965: 0.009544391455059774
Position 461: 0.009537986250252593
Position 883: 0.003171542117013031
Position 649: 0.0027193214544877988
Position 847: 0.0020856365412041263
Position 48: 0.0017459447702285545
Position 88: 0.001674706345949932
Position 1140: 0.0006687406105424243
Position 687: 0.0006070909157983882
Position 300: 0.0003211851102910089
Position 244: 0.00029486344374446617
Position 799: 0.0002874780563464999
Position 448: 0.00026123681410069314
Position 25: 0.0002212449279077121
Position 1041: 0.00018873483759865092
Position 700: 6.444989521055283e-05
Position 86: 6.121625219176422e-05
Position 314: 5.913227757972279e-05
Position 146: 5.3018904831500524e-05
Position 418: 2.6067234562874125e-05
Position 1113: 2.4868970184742422e-05
Position 241: 2.1353231119438658e-05
Position 897: 1.9370686633495483e-05
Position 624: 1.4610841353352228e-05
Position 198: 1.4218520509262182e-05
Position 1126: 1.3121991401582575e-05
Position 937: 1.0735534170851186e-05
Position 381: 9.559533195231354e-06
Position 454: 9.540629357018821e-06
Position 732: 7.470518867500537e-06
Position 186: 7.132750151848967e-06
Position 1089: 6.7770574772207034e-06
Position 213: 4.368409310274793e-06
Position 730: 3.7492494304995427e-06
Position 841: 3.611498578849268e-06
Position 667: 2.769595097000907e-06
Position 468: 2.699239634301028e-06
Position 973: 2.5038388244779602e-06
Position 492: 2.401710958416984e-06
Position 992: 6.506146214959583e-07
Position 233: 2.159593382716101e-07
Position 338: 1.210887021281012e-07
Position 161: 8.593815228194454e-09
Position 375: 1.5242300759298563e-09
Position 366: 3.4003735132133757e-10
Position 354: 4.486956198373745e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 360: 0.9950111098510503
Position 1045: 0.010268550265941506
Position 522: 0.009176619660939698
Position 99: 0.006854760020593264
Position 86: 0.006537414963978229
Position 132: 0.004265303109261729
Position 381: 0.0023992243731975568
Position 997: 0.0014982888378191313
Position 436: 0.001471530748710582
Position 1012: 0.0014158607987262955
Position 1197: 0.00133011309294694
Position 902: 0.001058832531469712
Position 1109: 0.0008446139600703843
Position 846: 0.0007996107521554201
Position 949: 0.0006689760540084363
Position 737: 0.0006295759825736794
Position 174: 0.00046314670645693126
Position 918: 0.00044142146303075935
Position 366: 0.00039420562533528335
Position 858: 0.00038090863668399167
Position 789: 0.0003743976414113558
Position 897: 0.00037436226089411533
Position 1052: 0.0002720412503458798
Position 161: 9.417319040376331e-05
Position 1168: 7.701817904347868e-05
Position 177: 5.553104032378328e-05
Position 158: 5.234622416388938e-05
Position 555: 5.11694869099819e-05
Position 433: 3.382877971093205e-05
Position 1140: 2.9659172524783032e-05
Position 882: 2.9408589562673018e-05
Position 1171: 2.6746483039807688e-05
Position 1076: 2.346962747737789e-05
Position 447: 2.1397044607220412e-05
Position 492: 2.0806337674845287e-05
Position 620: 2.0400947887366384e-05
Position 1126: 1.7901954880701334e-05
Position 295: 1.7189994594718936e-05
Position 525: 1.1097484983399681e-05
Position 792: 9.115179568100549e-06
Position 465: 7.181665510498369e-06
Position 652: 7.027183042049807e-06
Position 956: 5.542803876177246e-06
Position 269: 4.759699429108807e-06
Position 338: 4.054403262873256e-06
Position 870: 2.6472617040525898e-06
Position 552: 2.636002419138366e-06
Position 141: 2.4942564865219285e-06
Position 633: 2.4757079030958158e-06
Position 117: 2.4107374538909235e-06
Position 811: 2.056579979604773e-06
Position 254: 1.0280366961344007e-06
Position 600: 9.796293334226073e-07
Position 112: 9.512392067346056e-07
Position 454: 4.479821784126149e-07
Position 238: 3.0739014779853963e-07
Position 418: 2.571537768743462e-07
Position 224: 8.674495640229676e-08
Position 228: 6.391409141594488e-08
Position 184: 5.7252923902511556e-08
Position 105: 5.074126755188227e-08
Position 196: 4.329999453194157e-08
Position 222: 3.436238901742851e-08
Position 297: 1.8668077367726334e-08
Position 198: 1.7626065173130258e-08
Position 534: 7.342393927315713e-10
Position 186: 6.372753642036383e-10
Position 624: 5.780618312382511e-10
Position 468: 1.539763780762703e-11
Position 314: 5.05392518149251e-12
Position 150: 4.322811232526809e-12
Position 414: 1.348252723837884e-13
