Gene = Chro
index = 1070
Annotated 5SS: [ 351 1048 1535 2528 3861]
Annotated 3SS: [ 965 1108 1595 2593 4284]
SMsplice 5SS: [1048 1535 2528 3861]
SMsplice 3SS: [1108 1595 2593 4284]
top_k =  1000
Partition function (log Z): 4.2107367448565745

Sorted 5' Splice Sites (High to Low Probability):
Position 1048: 0.9995469798126763
Position 3861: 0.9891083298546893
Position 1535: 0.954995560939103
Position 2528: 0.7937424838816044
Position 351: 0.307221583659194
Position 1815: 0.2646770385179334
Position 1840: 0.25151365729450775
Position 243: 0.15463288225424146
Position 4098: 0.14764659007539918
Position 834: 0.1223882729767259
Position 4851: 0.1206798128014366
Position 3479: 0.11886494893053631
Position 282: 0.11105467747375215
Position 498: 0.10287179849763675
Position 3449: 0.07292834456592243
Position 4118: 0.05214682926653156
Position 704: 0.05049100751384273
Position 75: 0.04747063951340906
Position 2054: 0.04321442077284356
Position 4184: 0.04136751553994742
Position 859: 0.03821982677914637
Position 4458: 0.02866340888252104
Position 3550: 0.02667401880371145
Position 448: 0.024928542890860304
Position 4742: 0.024246910072931976
Position 4379: 0.020461749326110275
Position 3722: 0.019773771248958596
Position 470: 0.016927621835151452
Position 2116: 0.01637795611805311
Position 1608: 0.014652714413180886
Position 2266: 0.010018430251183255
Position 1348: 0.00819510073997146
Position 2250: 0.007187546224365589
Position 634: 0.00682355748226412
Position 3002: 0.006534445743255302
Position 2906: 0.005981574811162346
Position 5017: 0.005808968290663364
Position 111: 0.0054298840214354206
Position 2858: 0.005189295706623063
Position 4102: 0.004296576435596027
Position 2888: 0.004196721535064696
Position 4389: 0.004106776582621811
Position 828: 0.003972011462178018
Position 156: 0.00378514763798727
Position 303: 0.0028991141449509717
Position 3957: 0.0027973074267788845
Position 1844: 0.002777270584735698
Position 1877: 0.0026691395802738785
Position 1835: 0.0022735139278120464
Position 1519: 0.002036174083166381
Position 2420: 0.0018322907826105145
Position 2451: 0.0016739108180684997
Position 4396: 0.0015477966382338776
Position 607: 0.0013853258916372234
Position 2642: 0.0011366696564218965
Position 286: 0.0011317225517376058
Position 1828: 0.0010713286057549706
Position 3635: 0.0010316669029430583
Position 4993: 0.001025571599286921
Position 3833: 0.0009872736398875508
Position 253: 0.0009566943293351804
Position 875: 0.0009317180314708265
Position 5152: 0.0008169143047149607
Position 590: 0.0007904264577625219
Position 3018: 0.0007679240671226765
Position 2008: 0.0006573229465972175
Position 811: 0.000590695764741916
Position 227: 0.0005415428702223928
Position 3934: 0.0005046853355913197
Position 1447: 0.0004832790320284257
Position 235: 0.00044661293187064547
Position 4045: 0.00044016051860964886
Position 4795: 0.00042836740270989394
Position 1468: 0.00041977130126072203
Position 320: 0.00039968559633763194
Position 3064: 0.0003956495740110918
Position 1621: 0.00036695405504715196
Position 3836: 0.0003638868050091704
Position 761: 0.0003357276324745345
Position 2328: 0.000332024734982143
Position 677: 0.0003312233845650773
Position 2423: 0.0003270320465553445
Position 3029: 0.0003256076207213886
Position 267: 0.00029894400007890427
Position 543: 0.00028807733430538283
Position 4138: 0.00028767566298365136
Position 4898: 0.0002690193581299231
Position 265: 0.00025337864357666593
Position 355: 0.00020232929606783782
Position 2120: 0.00018174563160677936
Position 79: 0.00017158452602790894
Position 1465: 0.00015946916854204466
Position 648: 0.00015136580300180547
Position 1896: 0.0001383022851122283
Position 1326: 0.00012542210209220105
Position 4053: 0.00012244823404464113
Position 4402: 0.0001141509900541643
Position 2491: 0.00011243049420813605
Position 1674: 9.61258511409428e-05
Position 690: 8.952459618805596e-05
Position 4454: 7.273344871390178e-05
Position 2813: 6.516419407954732e-05
Position 341: 6.426657228610904e-05
Position 1712: 6.28405114191142e-05
Position 1569: 6.126174022657438e-05
Position 1052: 5.62992419985456e-05
Position 1144: 5.592964057796742e-05
Position 1335: 5.042622974636313e-05
Position 2321: 4.911477777696768e-05
Position 14: 4.616190348306095e-05
Position 576: 4.39449161343021e-05
Position 817: 4.333023145915273e-05
Position 365: 4.1243432114116907e-05
Position 1918: 4.082189288101516e-05
Position 601: 3.985034854612498e-05
Position 711: 3.81860896324079e-05
Position 437: 3.616107687549383e-05
Position 1366: 3.325719516832963e-05
Position 363: 3.2959749776126054e-05
Position 1404: 3.0292348957844873e-05
Position 1778: 2.7921793043045135e-05
Position 1962: 2.734176213748194e-05
Position 638: 2.4032469223146774e-05
Position 1384: 2.1398693298066174e-05
Position 713: 1.673748443813603e-05
Position 3985: 1.333284271492788e-05
Position 650: 1.1527251979821631e-05
Position 4518: 1.1429308119536748e-05
Position 2726: 1.135755708258092e-05
Position 619: 8.782747857142194e-06
Position 3672: 7.010366899263741e-06
Position 1560: 6.71926101375019e-06
Position 1377: 6.447825304148867e-06
Position 2895: 5.343585074396599e-06
Position 1185: 5.0481708418916595e-06
Position 1663: 5.0449932534217775e-06
Position 2356: 4.912918722672325e-06
Position 196: 4.139237248521034e-06
Position 1314: 3.0905660439665644e-06
Position 2044: 2.6000926165080324e-06
Position 4041: 1.7887773595572071e-06
Position 2062: 1.4924539995088394e-06
Position 1068: 1.0405831503604853e-06
Position 1177: 6.965909330901043e-07
Position 353: 6.459231966517789e-07
Position 3865: 5.454702963917473e-07
Position 1694: 4.2722542398856576e-07
Position 396: 3.9498116406550264e-07
Position 992: 3.2090057059112e-07
Position 3793: 2.1459971172367582e-07
Position 2132: 1.8204901058473353e-07
Position 2763: 1.7936563261917678e-07
Position 568: 1.0831751558986417e-07
Position 983: 8.04660369061265e-08
Position 2047: 3.2164273872581506e-09
Position 1138: 1.372659150811738e-10
Position 570: 1.0525539992026946e-10
Position 939: 3.2027498697138687e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1108: 0.9988156587666885
Position 2593: 0.9375185358965736
Position 1595: 0.9206136151084209
Position 4284: 0.7925934516909203
Position 1915: 0.4212685140268833
Position 758: 0.39334981224027693
Position 965: 0.2350779884487812
Position 565: 0.21053249582138883
Position 3523: 0.18464623146572667
Position 4170: 0.14147778067314074
Position 4009: 0.1410329830622921
Position 4914: 0.10719531391174407
Position 3932: 0.09683819217229277
Position 404: 0.05647373641723279
Position 3605: 0.04567599841748775
Position 3956: 0.0400764136282564
Position 5079: 0.030498532500628978
Position 4518: 0.029486965021310478
Position 131: 0.02478081153424474
Position 3773: 0.02425609809161824
Position 1694: 0.02136390866294892
Position 926: 0.018620434454631428
Position 4316: 0.016586651868308714
Position 2326: 0.014759346978732369
Position 1639: 0.01404188588451714
Position 898: 0.01237603045562342
Position 711: 0.012114215504912446
Position 2194: 0.011599836703918964
Position 4736: 0.010568339134231605
Position 677: 0.010254581292623901
Position 4795: 0.010127721127037415
Position 3560: 0.009923579273616388
Position 596: 0.008751511359570809
Position 2116: 0.008210455063396583
Position 4445: 0.007635605683670913
Position 5030: 0.00702791893646032
Position 4494: 0.006239938497088909
Position 2923: 0.005440441408475529
Position 939: 0.00515173410044838
Position 3698: 0.0050933955579912475
Position 5083: 0.004479609274077531
Position 201: 0.004224049224379848
Position 2599: 0.004091831576706449
Position 1953: 0.003520120349254165
Position 4808: 0.0032304466792797202
Position 350: 0.003230190611177886
Position 2053: 0.0031794700661554056
Position 136: 0.0020576509178917004
Position 225: 0.002036705067154477
Position 801: 0.0017597339764738418
Position 141: 0.0017383216232358788
Position 2174: 0.0013646494297330947
Position 5055: 0.0013192230308464196
Position 437: 0.001232707201366472
Position 4918: 0.001115429666416005
Position 3566: 0.0011003703863790648
Position 2031: 0.0010453566676437063
Position 1987: 0.0010327556142993531
Position 5214: 0.0009739089779430324
Position 733: 0.0008518920716867723
Position 2113: 0.0007763047302369406
Position 1437: 0.0007174197332183151
Position 371: 0.0007010310924570514
Position 634: 0.000692046667023226
Position 915: 0.0006903222798688392
Position 2356: 0.0006446391433160612
Position 5155: 0.000628131822781965
Position 3960: 0.0005771919515588433
Position 1612: 0.000545186461358945
Position 165: 0.0004756184759583908
Position 1625: 0.0004378173939573441
Position 528: 0.0003383231269796836
Position 4429: 0.0003362606607246146
Position 1116: 0.00025614394159907276
Position 320: 0.00025273345468752433
Position 4287: 0.00023863233941578843
Position 4056: 0.0002284903537258683
Position 3634: 0.00022395507973731532
Position 2557: 0.0002224158446987507
Position 1499: 0.00019806479881280447
Position 541: 0.00018829498239385654
Position 3977: 0.00018319674366369928
