Gene = DNApol-epsilon58
index = 1127
Annotated 5SS: [762]
Annotated 3SS: [818]
SMsplice 5SS: [762]
SMsplice 3SS: [818]
top_k =  1000
Partition function (log Z): -5.440131228987995

Sorted 5' Splice Sites (High to Low Probability):
Position 762: 0.9990032960989969
Position 991: 0.009956347188728705
Position 290: 0.007274150851980032
Position 897: 0.0030480669642040854
Position 314: 0.002866422047202883
Position 1340: 0.0014577077085265457
Position 355: 0.0011943310918418899
Position 200: 0.0010485777872402445
Position 750: 0.0006696635272819265
Position 1004: 0.00047771069141649654
Position 341: 0.0003679503328666651
Position 1030: 0.00024352434058695855
Position 1137: 0.00021254450310197897
Position 1337: 0.00017359175812863638
Position 919: 0.000142245108261006
Position 403: 0.00010749551932092392
Position 1366: 8.641810268205613e-05
Position 457: 7.864066844054103e-05
Position 948: 6.896480103125498e-05
Position 766: 5.993726313284057e-05
Position 1198: 3.139333535969837e-05
Position 1436: 3.119004870495586e-05
Position 1318: 2.1986127780444445e-05
Position 245: 1.5179278751607972e-05
Position 776: 1.417817296514954e-05
Position 1034: 1.3410129288798141e-05
Position 667: 1.285993971945132e-05
Position 986: 1.1976525470294835e-05
Position 1077: 1.0665188205484412e-05
Position 1402: 9.579212361008608e-06
Position 138: 7.862072876045605e-06
Position 1190: 7.754189644264226e-06
Position 62: 5.340874474280186e-06
Position 1551: 5.26050858244172e-06
Position 971: 4.885219040030017e-06
Position 1027: 4.3996561268724345e-06
Position 752: 3.7181037744668303e-06
Position 1347: 3.317776484445239e-06
Position 596: 2.411912164710642e-06
Position 553: 2.3030565409975472e-06
Position 1050: 2.174740679378704e-06
Position 657: 1.9620429532892015e-06
Position 1510: 1.67104852248736e-06
Position 111: 1.3957156167191902e-06
Position 1067: 1.3361408206383114e-06
Position 348: 1.0435949667398801e-06
Position 1007: 1.0151370189003592e-06
Position 1507: 1.0047317580920065e-06
Position 577: 7.047851245914312e-07
Position 722: 5.79858445617381e-07
Position 1291: 4.967297753973322e-07
Position 634: 4.772424610177397e-07
Position 1446: 4.201104872191877e-07
Position 599: 3.8080258665180893e-07
Position 1233: 3.7905587180607473e-07
Position 1438: 3.2608098520309467e-07
Position 1306: 2.8758004175597296e-07
Position 1454: 1.6615072505127355e-07
Position 500: 1.6222749073264683e-07
Position 861: 1.3040797687137787e-07
Position 687: 9.590084462654676e-08
Position 662: 2.7086296560388812e-08
Position 515: 2.1763089879789216e-08
Position 641: 1.315830063097365e-09
Position 800: 5.414702552679963e-11
Position 818: 2.0270226994441103e-12
Position 809: 3.3741507408669504e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 818: 0.9918473431305019
Position 1060: 0.015262792529164676
Position 364: 0.007279196422864645
Position 1318: 0.0021354335935974984
Position 1397: 0.0021074083971418054
Position 1259: 0.0017686713587272871
Position 1481: 0.0016168409120447106
Position 497: 0.0014320202555258533
Position 442: 0.0013579618511314544
Position 466: 0.0012301150522711158
Position 394: 0.0006779290916614821
Position 508: 0.0006262862130562932
Position 858: 0.0005016064372995471
Position 1205: 0.00019528142094215806
Position 619: 9.492882577054614e-05
Position 1148: 6.464568585152579e-05
Position 1092: 4.9506638591679356e-05
Position 1444: 4.677738977173036e-05
Position 667: 4.482624985696162e-05
Position 1291: 4.241853002714846e-05
Position 1417: 3.9931780399560256e-05
Position 1333: 3.600353600007601e-05
Position 861: 3.553299800317636e-05
Position 1428: 3.0127293080004196e-05
Position 373: 2.739077877050446e-05
Position 1408: 2.4357051910005636e-05
Position 403: 2.386775382488039e-05
Position 1555: 2.21380426947414e-05
Position 1018: 1.989470141016684e-05
Position 1612: 1.6623226317418246e-05
Position 728: 1.5096107546165635e-05
Position 553: 1.2614490921017181e-05
Position 1015: 1.0119508055896877e-05
Position 547: 8.976969761587912e-06
Position 800: 8.545883469879817e-06
Position 1098: 7.249332009712899e-06
Position 1643: 5.3875425042123085e-06
Position 671: 5.263277112875868e-06
Position 1273: 5.080927093961703e-06
Position 626: 4.789408695969142e-06
Position 937: 4.610725214213434e-06
Position 926: 2.949605032886272e-06
Position 1366: 2.841995587499174e-06
Position 268: 2.6231372645676836e-06
Position 1330: 2.324982094677415e-06
Position 133: 2.0454089601318947e-06
Position 1631: 1.6783604591967165e-06
Position 919: 1.4785118999887708e-06
Position 798: 1.446898881996347e-06
Position 1618: 1.3886976798932239e-06
Position 106: 1.1922298312702415e-06
Position 532: 1.1674694084465956e-06
Position 138: 1.0846098853398077e-06
Position 1027: 9.9863742290341e-07
Position 176: 9.620913146693323e-07
Position 1067: 8.23778580139477e-07
Position 910: 5.528134168891957e-07
Position 760: 4.5569573313910967e-07
Position 1566: 4.175468910174494e-07
Position 634: 2.170424828482598e-07
Position 1162: 1.8928744507230672e-07
Position 1717: 1.6750422517971428e-07
Position 589: 1.437103836747716e-07
Position 1563: 1.3965945535044893e-07
Position 1414: 1.2887990894936796e-07
Position 646: 8.733532412294487e-08
Position 712: 6.673757687785069e-08
Position 683: 6.241392040209283e-08
Position 538: 5.4394347793715014e-08
Position 222: 5.379989254848004e-08
Position 305: 4.993425343001486e-08
Position 265: 3.234253948637275e-08
Position 157: 2.5626059437430346e-08
Position 229: 2.3516063096422198e-08
Position 526: 2.1311259500816076e-08
Position 310: 1.2541971329876352e-08
Position 592: 8.699836997142845e-09
Position 562: 4.164905516634922e-09
Position 628: 2.7062586900377487e-09
Position 250: 2.1498130114805545e-09
Position 596: 2.0160789242300226e-10
Position 254: 1.3810719076886776e-10
Position 733: 6.215362766831407e-11
Position 154: 2.76277344587526e-11
Position 769: 1.1683087096375584e-11
Position 211: 1.2541088358284595e-13
