Gene = Pomp
index = 1386
Annotated 5SS: [130 460]
Annotated 3SS: [193 746]
SMsplice 5SS: [130 460]
SMsplice 3SS: [193 746]
top_k =  1000
Partition function (log Z): -1.2858780537620969

Sorted 5' Splice Sites (High to Low Probability):
Position 130: 0.9456073917670585
Position 460: 0.7889421358560853
Position 431: 0.19127019337915382
Position 986: 0.06479130945918254
Position 657: 0.0035339007706494344
Position 630: 0.002475160846018241
Position 1198: 0.0006822276220663112
Position 665: 0.0006146093744634503
Position 476: 0.0005955206522831018
Position 1129: 0.0005405444673566404
Position 970: 0.0005197039054163301
Position 426: 0.00046298632731182194
Position 23: 0.00035618352607500234
Position 677: 0.0003541382606083696
Position 1351: 0.00034943919822744905
Position 1219: 0.0003294879796380373
Position 66: 0.00024701831585577003
Position 1276: 0.00024144294125600567
Position 39: 0.00020358571184273517
Position 648: 0.00020034990056440698
Position 853: 0.00019314982530672535
Position 134: 0.00018209690584483732
Position 646: 0.00012061587703452031
Position 1065: 0.00011921426360122833
Position 343: 8.783192397264066e-05
Position 898: 6.947787094280031e-05
Position 389: 6.893505170282541e-05
Position 836: 6.347986796709618e-05
Position 850: 6.192044470268031e-05
Position 1032: 5.692958967724161e-05
Position 1369: 5.1625936576608966e-05
Position 492: 3.851274020720038e-05
Position 883: 2.935867079086496e-05
Position 254: 2.183050631883214e-05
Position 1025: 2.123577281398377e-05
Position 229: 1.8693929332736192e-05
Position 1241: 1.3006622375273065e-05
Position 299: 1.0914772231229452e-05
Position 1135: 7.104798530738436e-06
Position 227: 5.755040529595455e-06
Position 12: 5.5361364372765225e-06
Position 539: 4.284426279377408e-06
Position 1178: 4.188131896419142e-06
Position 1150: 3.3171845155158854e-06
Position 1069: 2.9574245769005646e-06
Position 155: 2.6644467473226824e-06
Position 212: 2.008292743778887e-06
Position 252: 1.8561521386241963e-06
Position 146: 1.664445438548468e-06
Position 1036: 1.534468132317333e-06
Position 454: 1.316381069197268e-06
Position 70: 1.1193990556577258e-06
Position 779: 5.996448675234377e-07
Position 1132: 3.199414205867922e-07
Position 193: 2.200468335296527e-07
Position 233: 1.2281948433041417e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 746: 0.9908341989861813
Position 193: 0.9199692623349008
Position 1065: 0.049194521959371476
Position 199: 0.016482397851792664
Position 1250: 0.011385547466475783
Position 677: 0.005350901055383622
Position 1396: 0.0023781252121725053
Position 1125: 0.002190373348560999
Position 1338: 0.0013906979794658944
Position 1436: 0.0008422722508502046
Position 212: 0.0006218610039906027
Position 700: 0.0005444493456506178
Position 1263: 0.00043540949455578645
Position 361: 0.00036309428888202676
Position 1128: 0.00029270080340671476
Position 79: 0.00018534343527783638
Position 217: 0.00018299524223171432
Position 115: 0.00013458495607087312
Position 554: 0.00012147615655305054
Position 1340: 9.132056947566469e-05
Position 589: 6.761159624235444e-05
Position 920: 6.419332375589387e-05
Position 492: 5.2417718375775326e-05
Position 1169: 4.103737876058515e-05
Position 226: 3.69542537333991e-05
Position 1369: 3.4250053186625696e-05
Position 657: 3.2673341235168584e-05
Position 322: 2.7139584172006763e-05
Position 501: 2.5288119074437934e-05
Position 1285: 2.3768140815120466e-05
Position 946: 2.3685105678084e-05
Position 514: 2.327488947380303e-05
Position 1145: 2.1672675267845e-05
Position 459: 2.1508712255423472e-05
Position 1213: 1.7544716367018877e-05
Position 158: 1.614246251655967e-05
Position 979: 1.1006021209329534e-05
Position 400: 8.016993952043896e-06
Position 343: 6.761761875277089e-06
Position 155: 6.454576862796931e-06
Position 1215: 6.2586916319383725e-06
Position 824: 6.120203000986006e-06
Position 271: 6.018733439786482e-06
Position 522: 4.8855759750264885e-06
Position 935: 4.580619498792825e-06
Position 430: 3.985340172519522e-06
Position 1351: 1.954480282883912e-06
Position 951: 1.5741935584325175e-06
Position 819: 1.0773105048163246e-06
Position 898: 1.038546655812125e-06
Position 883: 8.805811112710623e-07
Position 798: 6.542510533860427e-07
Position 134: 3.368985082880242e-07
Position 529: 1.8828919091732197e-07
Position 337: 4.0069379582257586e-08
Position 412: 3.7008225737976296e-08
Position 146: 3.0029299561279073e-08
Position 379: 1.2489094637699123e-08
Position 840: 1.0625998505445657e-08
Position 983: 3.547517381365664e-10
Position 471: 1.0612775766218914e-11
Position 573: 4.729399951725642e-12
Position 564: 2.9249820853571122e-12
Position 160: 1.2683945648613358e-14
