Gene = Cpr62Bc
index = 1093
Annotated 5SS: [ 95 324]
Annotated 3SS: [191 896]
SMsplice 5SS: [ 95 324]
SMsplice 3SS: [191 896]
top_k =  1000
Partition function (log Z): -2.1720785563360168

Sorted 5' Splice Sites (High to Low Probability):
Position 324: 0.9928367099463009
Position 95: 0.9560162724511025
Position 612: 0.009598929930115588
Position 1685: 0.007550858580323
Position 129: 0.004898847368731216
Position 1359: 0.002489279001167978
Position 328: 0.0011293466848426438
Position 1305: 0.0010389656811391423
Position 969: 0.000489052662024474
Position 1297: 0.00046489986091721676
Position 1026: 0.0004271974784901882
Position 136: 0.00033259351867624974
Position 1236: 0.00032213133674360373
Position 364: 0.0003157953997139787
Position 578: 0.0002941061834736236
Position 116: 0.0002795693023622804
Position 99: 0.00022243489461678224
Position 626: 0.00015503755733632633
Position 29: 0.00011886856209308597
Position 1021: 8.632179117612426e-05
Position 1119: 6.931082281369002e-05
Position 1714: 6.760338791036499e-05
Position 745: 4.530185647291831e-05
Position 979: 3.792752802678279e-05
Position 1040: 2.0768096421622207e-05
Position 818: 2.0720495371038733e-05
Position 1375: 8.651131014023014e-06
Position 697: 6.363793148851693e-06
Position 1008: 5.766439252433838e-06
Position 813: 5.286351903818964e-06
Position 951: 3.72717785672334e-06
Position 1122: 3.063739639176554e-06
Position 751: 3.0086614714227094e-06
Position 475: 2.9645033375146495e-06
Position 1531: 2.7324334385046786e-06
Position 46: 2.5157724442830963e-06
Position 735: 2.1448223347585253e-06
Position 1732: 1.7540415321227731e-06
Position 1560: 1.5791353298368071e-06
Position 1098: 1.4558072222763867e-06
Position 973: 1.296584801364953e-06
Position 645: 1.261027942841469e-06
Position 250: 1.0882558029487955e-06
Position 1587: 1.020305495753101e-06
Position 1730: 3.3672576788994525e-07
Position 5: 2.818641085920875e-07
Position 1607: 2.4501360964496277e-07
Position 12: 1.896425419849152e-07
Position 295: 1.2723685790215555e-08
Position 1143: 9.734413478175252e-09
Position 725: 6.857840674600141e-09
Position 820: 4.021790026389009e-09
Position 432: 3.988173422118214e-09
Position 405: 3.556967218149816e-09
Position 1035: 3.018953994403896e-09
Position 1077: 2.197749031983861e-09
Position 1074: 2.1179937761330927e-09
Position 486: 1.180317195145969e-09
Position 256: 8.8591230836629e-10
Position 234: 1.062042124904742e-10
Position 183: 7.554095223544729e-11
Position 861: 5.090891072726563e-11
Position 908: 2.2189368449922457e-11
Position 210: 1.2829628113580598e-13
Position 191: 2.0082623068936143e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 896: 0.8954131284370886
Position 191: 0.8285564086419506
Position 153: 0.13221567364246167
Position 455: 0.028838259992094165
Position 528: 0.014298785043707551
Position 856: 0.014011490670742859
Position 853: 0.009744441065301814
Position 395: 0.0076522977616614194
Position 1371: 0.007498797442309202
Position 1743: 0.006774948236317929
Position 697: 0.006314309303812567
Position 1433: 0.004297399735191192
Position 785: 0.003844174215201448
Position 840: 0.003305428572726555
Position 768: 0.0032784982449425774
Position 1787: 0.0031554571517246515
Position 908: 0.0021540642571801364
Position 1607: 0.001756724978388451
Position 1416: 0.0011567506631150512
Position 1173: 0.001058064229991528
Position 634: 0.0006115686074525739
Position 616: 0.0005431376501260226
Position 1235: 0.0004354483535800167
Position 1441: 0.000416448674522634
Position 535: 0.0003473094151047802
Position 1488: 0.0002620548486921326
Position 530: 0.0002556599946313724
Position 794: 0.00020679028127294907
Position 1537: 0.0002050436131760499
Position 626: 0.00014573454153296494
Position 1085: 0.00010531488276744675
Position 367: 9.812124578193229e-05
Position 992: 9.514616573467158e-05
Position 1750: 7.480119248659256e-05
Position 743: 6.976498018173392e-05
Position 486: 4.473305113100438e-05
Position 948: 2.3678124038273416e-05
Position 803: 1.8743853386526836e-05
Position 1040: 1.724123432164856e-05
Position 962: 1.3634004277257407e-05
Position 95: 1.1573388786861787e-05
Position 1789: 9.98227158954984e-06
Position 956: 8.750832111388026e-06
Position 1293: 8.37875896862239e-06
Position 1611: 8.003791782149117e-06
Position 234: 7.425080164531039e-06
Position 1305: 5.973275467473811e-06
Position 1328: 3.547790927051747e-06
Position 1645: 3.4780932789014757e-06
Position 1648: 1.914363951075214e-06
Position 106: 6.228544964236963e-07
Position 217: 4.09703731959317e-07
Position 122: 4.267432115061067e-08
Position 99: 3.356632947830475e-08
Position 111: 5.577507785870794e-09
Position 349: 4.7047976996147644e-09
Position 364: 4.152471782740006e-09
Position 129: 4.05996820232252e-09
Position 54: 1.6188118679297028e-09
Position 336: 2.1963668745971957e-10
Position 377: 1.8983289241177622e-10
Position 328: 1.7810586969910463e-10
Position 308: 3.2056568408745145e-15
