Gene = Qtzl
index = 1398
Annotated 5SS: [204]
Annotated 3SS: [261]
SMsplice 5SS: [204]
SMsplice 3SS: [261]
top_k =  1000
Partition function (log Z): -6.277208917593577

Sorted 5' Splice Sites (High to Low Probability):
Position 204: 0.9987768451353977
Position 411: 0.00694892792360804
Position 279: 0.0021644494955730697
Position 519: 0.001373104651716692
Position 751: 0.0011937376745456993
Position 532: 0.0005795273473838461
Position 415: 0.00044967822902388743
Position 653: 0.0003890635632228091
Position 313: 0.00031830773500297194
Position 637: 0.00024087446751626165
Position 707: 0.00018832247788107647
Position 363: 0.00018501839130778008
Position 146: 0.00017644632116274223
Position 728: 0.00010603495370185454
Position 21: 8.07459493259679e-05
Position 9: 7.729291007002389e-05
Position 790: 6.80200121313059e-05
Position 651: 6.69408384506049e-05
Position 716: 6.666523866772875e-05
Position 521: 4.821556187752407e-05
Position 254: 3.792224042126524e-05
Position 361: 3.223771973798901e-05
Position 30: 3.059406634233753e-05
Position 143: 1.9881660991587096e-05
Position 603: 1.70837725170597e-05
Position 619: 1.2606185549670344e-05
Position 584: 1.195884388874464e-05
Position 481: 6.2643633824114565e-06
Position 601: 5.283435638270749e-06
Position 815: 4.967533035162778e-06
Position 765: 4.429530975917463e-06
Position 107: 4.3007567068872245e-06
Position 248: 4.0129061637818256e-06
Position 229: 3.7017082879476255e-06
Position 805: 1.8901888864206508e-06
Position 595: 1.3839188511695115e-06
Position 733: 4.1626942908308806e-07
Position 258: 3.2973163609037644e-07
Position 755: 2.848735576866132e-07
Position 726: 2.6938274313770203e-07
Position 621: 2.0135704018625406e-07
Position 83: 1.62681280633364e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 261: 0.9633241516529275
Position 595: 0.009410477710481069
Position 564: 0.008256540298278417
Position 726: 0.0072305054332647625
Position 305: 0.005705199636110651
Position 278: 0.0041647760329370336
Position 338: 0.002669928423142787
Position 839: 0.0020843464712656974
Position 879: 0.00203016857594173
Position 716: 0.0015632792887663497
Position 580: 0.001298693470095564
Position 524: 0.0012172792111614338
Position 768: 0.001214844911152882
Position 296: 0.0010210159054831797
Position 519: 0.0009453180689676786
Position 545: 0.0005380840911621862
Position 751: 0.0003842148243337466
Position 316: 0.00013313363227817677
Position 614: 0.00011790450728984349
Position 72: 9.956801359014822e-05
Position 311: 7.064970730608703e-05
Position 444: 5.552475121334102e-05
Position 61: 3.646611491527851e-05
Position 528: 2.837052510906689e-05
Position 660: 2.5634873523386337e-05
Position 83: 2.415203627476045e-05
Position 52: 1.263925581027833e-05
Position 203: 1.036199987967015e-05
Position 645: 7.815562971858158e-06
Position 106: 6.392340215310904e-06
Position 100: 6.1757897573795015e-06
Position 171: 1.5475773577779417e-06
Position 272: 1.2969331956373553e-06
Position 668: 8.618397945959388e-07
Position 208: 3.505145845072928e-07
Position 137: 3.020582098085623e-07
Position 150: 2.5132149522365855e-07
Position 229: 1.568994250685492e-07
Position 157: 9.953335508512187e-09
Position 176: 7.430042507317785e-09
Position 188: 3.5650004458871225e-09
Position 221: 7.965510375293946e-10
Position 274: 3.1585956950247896e-14
